#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-20.22, 14.42, -6.71 	-0.17, 1.80, -6.76 	0.00, 10.00 	14,49,3,683		-nan,inf	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.17, 1.80, -6.77 	0.00, 10.00 	14,49,3,683		inf,-nan	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.17, 1.80, -6.77 	0.00, 10.00 	14,49,3,683		inf,-nan	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.17, 1.82, -6.79 	0.00, 10.00 	14,49,3,683		-nan,inf	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.15, 1.83, -6.79 	0.00, 10.00 	14,49,3,683		-nan,inf	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.15, 1.82, -6.79 	0.00, 10.00 	14,49,3,683		-nan,inf	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.15, 1.80, -6.79 	0.00, 10.00 	14,49,3,683		-nan,inf	0,0 	0
0       	-20.21, 14.40, -6.71 	-0.14, 1.80, -6.79 	0.00, 10.00 	14,49,3,683		inf,inf	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.11, 1.81, -6.79 	0.00, 10.00 	14,49,3,684		inf,inf	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.11, 1.81, -6.79 	0.00, 10.00 	14,49,3,684		-nan,-nan	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.11, 1.82, -6.79 	0.00, 10.00 	14,49,3,684		inf,inf	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.13, 1.81, -6.79 	0.00, 10.00 	14,49,3,684		inf,inf	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.13, 1.81, -6.79 	0.00, 10.00 	14,49,3,684		inf,-nan	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.15, 1.81, -6.79 	0.00, 10.00 	14,49,3,684		inf,inf	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.15, 1.81, -6.79 	0.00, 10.00 	14,49,3,684		-nan,-nan	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.19, 1.82, -6.78 	0.00, 10.00 	14,49,3,684		-nan,inf	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.17, 1.81, -6.77 	0.00, 10.00 	14,49,3,684		-nan,inf	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.19, 1.80, -6.76 	0.00, 10.00 	14,49,3,684		-nan,inf	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.19, 1.80, -6.76 	0.00, 10.00 	14,49,3,684		-nan,-nan	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.14, 1.80, -6.75 	0.00, 10.00 	14,49,3,684		-nan,inf	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.14, 1.78, -6.76 	0.00, 10.00 	14,49,3,684		-nan,inf	0,0 	0
0       	-20.22, 14.41, -6.72 	-0.13, 1.79, -6.77 	0.00, 10.00 	14,49,3,684		inf,inf	0,0 	0
0       	-20.22, 14.41, -6.72 	-0.15, 1.79, -6.77 	0.00, 10.00 	14,49,3,684		-nan,inf	0,0 	0
0       	-20.22, 14.41, -6.72 	-0.12, 1.79, -6.77 	0.00, 10.00 	14,49,3,684		-nan,inf	0,0 	0
0       	-20.22, 14.41, -6.72 	-0.12, 1.80, -6.76 	0.00, 10.00 	14,49,3,685		-nan,inf	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.12, 1.79, -6.76 	0.00, 10.00 	14,49,3,685		inf,inf	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.14, 1.79, -6.76 	0.00, 10.00 	14,49,3,685		inf,inf	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.14, 1.79, -6.76 	0.00, 10.00 	14,49,3,685		-nan,-nan	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.14, 1.79, -6.76 	0.00, 10.00 	14,49,3,685		-nan,-nan	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.14, 1.79, -6.76 	0.00, 10.00 	14,49,3,685		inf,-nan	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.14, 1.79, -6.76 	0.00, 10.00 	14,49,3,685		-nan,-nan	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.14, 1.79, -6.76 	0.00, 10.00 	14,49,3,685		-nan,-nan	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.14, 1.79, -6.76 	0.00, 10.00 	14,49,3,685		-nan,-nan	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.15, 1.78, -6.77 	0.00, 10.00 	14,49,3,685		inf,inf	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.15, 1.79, -6.76 	0.00, 10.00 	14,49,3,685		-nan,inf	0,0 	0
0       	-20.20, 14.40, -6.71 	-0.10, 1.81, -6.78 	0.00, 10.00 	14,49,3,685		inf,inf	0,0 	0
0       	-20.21, 14.40, -6.71 	-0.10, 1.81, -6.78 	0.00, 10.00 	14,49,3,685		inf,-nan	0,0 	0
0       	-20.20, 14.40, -6.71 	-0.11, 1.81, -6.78 	0.00, 10.00 	14,49,3,685		inf,inf	0,0 	0
0       	-20.21, 14.39, -6.71 	-0.11, 1.79, -6.79 	0.00, 10.00 	14,49,3,685		inf,inf	0,0 	0
