#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	8.99, -6.59, -11.03 	126.19, -251.16, -11.98 	0.00, 10.00 	15,3,48,915		inf,inf	0,0 	0
0       	8.99, -6.61, -11.03 	126.81, -252.35, -11.98 	0.00, 10.00 	15,3,48,915		inf,inf	0,0 	0
0       	8.97, -6.62, -11.03 	126.81, -252.35, -11.98 	0.00, 10.00 	15,3,48,915		inf,-nan	0,0 	0
0       	9.04, -6.62, -11.03 	127.45, -253.60, -11.96 	0.00, 10.00 	15,3,48,915		inf,inf	0,0 	0
0       	9.03, -6.60, -11.04 	127.07, -252.88, -11.96 	0.00, 10.00 	15,3,48,915		inf,inf	0,0 	0
0       	9.02, -6.60, -11.04 	127.70, -254.07, -11.96 	0.00, 10.00 	15,3,48,915		inf,inf	0,0 	0
0       	9.01, -6.60, -11.04 	127.59, -253.89, -11.96 	0.00, 10.00 	15,3,48,915		inf,inf	0,0 	0
0       	9.02, -6.63, -11.02 	127.70, -254.07, -11.96 	0.00, 10.00 	15,3,48,915		inf,inf	0,0 	0
0       	9.01, -6.63, -11.03 	127.44, -253.57, -11.96 	0.00, 10.00 	15,3,48,915		inf,inf	0,0 	0
0       	9.01, -6.63, -11.03 	127.46, -253.62, -11.96 	0.00, 10.00 	15,3,48,915		-nan,inf	0,0 	0
0       	8.99, -6.65, -11.04 	127.83, -254.34, -11.96 	0.00, 10.00 	15,3,48,915		inf,inf	0,0 	0
0       	9.03, -6.65, -11.03 	127.84, -254.37, -11.97 	0.00, 10.00 	15,3,48,915		inf,inf	0,0 	0
0       	9.03, -6.66, -11.02 	127.82, -254.31, -11.95 	0.00, 10.00 	15,3,48,916		inf,inf	0,0 	0
0       	9.02, -6.66, -11.03 	128.19, -255.03, -11.95 	0.00, 10.00 	15,3,48,916		inf,inf	0,0 	0
0       	9.06, -6.62, -11.02 	128.20, -255.05, -11.95 	0.00, 10.00 	15,3,48,916		inf,inf	0,0 	0
0       	9.05, -6.63, -11.02 	128.20, -255.05, -11.95 	0.00, 10.00 	15,3,48,916		inf,-nan	0,0 	0
0       	9.12, -6.62, -11.02 	128.20, -255.05, -11.95 	0.00, 10.00 	15,3,48,916		inf,-nan	0,0 	0
0       	9.07, -6.62, -11.02 	128.69, -255.98, -11.96 	0.00, 10.00 	15,3,48,916		inf,inf	0,0 	0
0       	9.08, -6.65, -10.99 	128.44, -255.50, -11.97 	0.00, 10.00 	15,3,48,916		inf,inf	0,0 	0
0       	9.08, -6.65, -10.99 	128.33, -255.29, -11.96 	0.00, 10.00 	15,3,48,916		-nan,inf	0,0 	0
0       	9.10, -6.64, -11.00 	128.47, -255.58, -11.94 	0.00, 10.00 	15,3,48,916		inf,inf	0,0 	0
0       	9.10, -6.64, -11.00 	128.96, -256.51, -11.95 	0.00, 10.00 	15,3,48,916		-nan,inf	0,0 	0
0       	9.10, -6.66, -11.00 	128.94, -256.46, -11.95 	0.00, 10.00 	15,3,48,916		inf,inf	0,0 	0
0       	9.15, -6.62, -10.99 	128.95, -256.48, -11.95 	0.00, 10.00 	15,3,48,916		inf,inf	0,0 	0
0       	9.16, -6.65, -10.99 	128.82, -256.25, -11.94 	0.00, 10.00 	15,3,48,916		inf,inf	0,0 	0
0       	9.14, -6.64, -10.98 	128.68, -255.95, -11.94 	0.00, 10.00 	15,3,48,916		inf,inf	0,0 	0
0       	9.14, -6.64, -10.98 	128.68, -255.95, -11.94 	0.00, 10.00 	15,3,48,916		-nan,-nan	0,0 	0
0       	9.14, -6.64, -10.99 	128.92, -256.38, -11.93 	0.00, 10.00 	15,3,48,916		-nan,inf	0,0 	0
0       	9.13, -6.62, -10.99 	129.16, -256.85, -11.94 	0.00, 10.00 	15,3,48,916		inf,inf	0,0 	0
0       	9.12, -6.62, -10.98 	129.17, -256.88, -11.92 	0.00, 10.00 	15,3,48,916		inf,inf	0,0 	0
0       	9.11, -6.66, -10.98 	129.17, -256.88, -11.92 	0.00, 10.00 	15,3,48,916		inf,-nan	0,0 	0
0       	9.10, -6.66, -10.99 	129.06, -256.70, -11.91 	0.00, 10.00 	15,3,48,916		inf,inf	0,0 	0
0       	9.10, -6.67, -10.96 	128.94, -256.46, -11.92 	0.00, 10.00 	15,3,48,916		inf,inf	0,0 	0
0       	9.12, -6.66, -10.97 	128.94, -256.46, -11.90 	0.00, 10.00 	15,3,48,917		inf,-nan	0,0 	0
0       	9.12, -6.66, -10.96 	128.71, -256.03, -11.89 	0.00, 10.00 	15,3,48,917		-nan,inf	0,0 	0
0       	9.11, -6.66, -10.96 	128.82, -256.25, -11.91 	0.00, 10.00 	15,3,48,917		inf,inf	0,0 	0
0       	9.10, -6.65, -10.96 	128.83, -256.27, -11.91 	0.00, 10.00 	15,3,48,917		inf,inf	0,0 	0
0       	9.10, -6.70, -10.94 	128.72, -256.06, -11.90 	0.00, 10.00 	15,3,48,917		inf,inf	0,0 	0
0       	9.09, -6.70, -10.94 	128.72, -256.06, -11.90 	0.00, 10.00 	15,3,48,917		inf,-nan	0,0 	0
0       	9.15, -6.65, -10.95 	128.59, -255.82, -11.90 	0.00, 10.00 	15,3,48,917		inf,inf	0,0 	0
0       	9.15, -6.67, -10.95 	128.60, -255.85, -11.89 	0.00, 10.00 	15,3,48,917		inf,inf	0,0 	0
0       	9.11, -6.65, -10.95 	128.71, -256.03, -11.88 	0.00, 10.00 	15,3,48,917		inf,inf	0,0 	0
0       	9.13, -6.65, -10.96 	128.73, -256.09, -11.87 	0.00, 10.00 	15,3,48,917		inf,inf	0,0 	0
0       	9.18, -6.65, -10.96 	128.61, -255.88, -11.85 	0.00, 10.00 	15,3,48,917		inf,inf	0,0 	0
0       	9.17, -6.64, -10.94 	128.73, -256.09, -11.87 	0.00, 10.00 	15,3,48,917		inf,inf	0,0 	0
0       	9.17, -6.63, -10.93 	128.59, -255.82, -11.88 	0.00, 10.00 	15,3,48,917		inf,inf	0,0 	0
0       	9.17, -6.64, -10.93 	128.48, -255.61, -11.87 	0.00, 10.00 	15,3,48,917		inf,inf	0,0 	0
0       	9.20, -6.63, -10.94 	128.47, -255.58, -11.87 	0.00, 10.00 	15,3,48,917		inf,inf	0,0 	0
0       	9.21, -6.65, -10.91 	128.48, -255.61, -11.87 	0.00, 10.00 	15,3,48,917		inf,inf	0,0 	0
0       	9.18, -6.66, -10.92 	128.70, -256.01, -11.87 	0.00, 10.00 	15,3,48,917		inf,inf	0,0 	0
0       	9.18, -6.61, -10.92 	129.08, -256.75, -11.87 	0.00, 10.00 	15,3,48,917		inf,inf	0,0 	0
0       	9.17, -6.63, -10.92 	128.94, -256.46, -11.85 	0.00, 10.00 	15,3,48,917		inf,inf	0,0 	0
0       	9.20, -6.64, -10.92 	129.21, -256.99, -11.87 	0.00, 10.00 	15,3,48,917		inf,inf	0,0 	0
0       	9.21, -6.66, -10.94 	129.31, -257.17, -11.85 	0.00, 10.00 	15,3,48,917		inf,inf	0,0 	0
0       	9.14, -6.64, -10.94 	129.19, -256.93, -11.85 	0.00, 10.00 	15,3,48,917		inf,inf	0,0 	0
0       	9.14, -6.66, -10.93 	129.55, -257.62, -11.85 	0.00, 10.00 	15,3,48,918		inf,inf	0,0 	0
0       	9.17, -6.66, -10.94 	128.92, -256.40, -11.86 	0.00, 10.00 	15,3,48,918		inf,inf	0,0 	0
0       	9.17, -6.64, -10.92 	129.18, -256.91, -11.86 	0.00, 10.00 	15,3,48,918		inf,inf	0,0 	0
0       	9.17, -6.64, -10.91 	129.18, -256.91, -11.86 	0.00, 10.00 	15,3,48,918		-nan,-nan	0,0 	0
0       	9.18, -6.65, -10.91 	129.20, -256.96, -11.84 	0.00, 10.00 	15,3,48,918		inf,inf	0,0 	0
0       	9.14, -6.67, -10.92 	129.44, -257.41, -11.83 	0.00, 10.00 	15,3,48,918		inf,inf	0,0 	0
0       	9.14, -6.67, -10.91 	129.45, -257.44, -11.83 	0.00, 10.00 	15,3,48,918		-nan,inf	0,0 	0
0       	9.17, -6.66, -10.92 	128.83, -256.27, -11.83 	0.00, 10.00 	15,3,48,918		inf,inf	0,0 	0
0       	9.20, -6.68, -10.92 	129.17, -256.88, -11.84 	0.00, 10.00 	15,3,48,918		inf,inf	0,0 	0
0       	9.16, -6.65, -10.92 	129.43, -257.38, -11.83 	0.00, 10.00 	15,3,48,918		inf,inf	0,0 	0
0       	9.19, -6.66, -10.92 	129.68, -257.86, -11.83 	0.00, 10.00 	15,3,48,918		inf,inf	0,0 	0
0       	9.23, -6.66, -10.94 	129.92, -258.31, -11.84 	0.00, 10.00 	15,3,48,918		inf,inf	0,0 	0
0       	9.25, -6.63, -10.94 	129.68, -257.86, -11.84 	0.00, 10.00 	15,3,48,918		inf,inf	0,0 	0
0       	9.23, -6.63, -10.93 	129.91, -258.28, -11.84 	0.00, 10.00 	15,3,48,918		inf,inf	0,0 	0
0       	9.26, -6.61, -10.94 	130.17, -258.79, -11.84 	0.00, 10.00 	15,3,48,918		inf,inf	0,0 	0
0       	9.21, -6.62, -10.92 	129.78, -258.02, -11.86 	0.00, 10.00 	15,3,48,918		inf,inf	0,0 	0
0       	9.25, -6.63, -10.90 	130.03, -258.49, -11.86 	0.00, 10.00 	15,3,48,918		inf,inf	0,0 	0
0       	9.22, -6.64, -10.91 	130.28, -259.00, -11.85 	0.00, 10.00 	15,3,48,918		inf,inf	0,0 	0
0       	9.24, -6.63, -10.91 	130.79, -259.98, -11.84 	0.00, 10.00 	15,3,48,918		inf,inf	0,0 	0
0       	9.22, -6.63, -10.92 	130.92, -260.24, -11.83 	0.00, 10.00 	15,3,48,918		inf,inf	0,0 	0
0       	9.26, -6.61, -10.92 	130.55, -259.53, -11.83 	0.00, 10.00 	15,3,48,918		inf,inf	0,0 	0
0       	9.26, -6.61, -10.91 	130.55, -259.53, -11.84 	0.00, 10.00 	15,3,48,919		-nan,-nan	0,0 	0
0       	9.33, -6.61, -10.92 	129.94, -258.39, -11.82 	0.00, 10.00 	15,3,48,919		inf,inf	0,0 	0
0       	9.31, -6.61, -10.92 	130.68, -259.80, -11.83 	0.00, 10.00 	15,3,48,919		inf,inf	0,0 	0
0       	9.28, -6.62, -10.91 	130.42, -259.29, -11.82 	0.00, 10.00 	15,3,48,919		inf,inf	0,0 	0
0       	9.26, -6.64, -10.91 	131.05, -260.51, -11.84 	0.00, 10.00 	15,3,48,919		inf,inf	0,0 	0
0       	9.22, -6.64, -10.92 	130.81, -260.03, -11.84 	0.00, 10.00 	15,3,48,919		inf,inf	0,0 	0
0       	9.26, -6.63, -10.91 	131.54, -261.41, -11.87 	0.00, 10.00 	15,3,48,919		inf,inf	0,0 	0
0       	9.30, -6.62, -10.89 	131.29, -260.93, -11.86 	0.00, 10.00 	15,3,48,919		inf,inf	0,0 	0
0       	9.30, -6.63, -10.89 	131.54, -261.41, -11.87 	0.00, 10.00 	15,3,48,919		inf,inf	0,0 	0
0       	9.28, -6.62, -10.91 	132.26, -262.76, -11.87 	0.00, 10.00 	15,3,48,919		inf,inf	0,0 	0
0       	9.31, -6.62, -10.92 	132.27, -262.81, -11.88 	0.00, 10.00 	15,3,48,919		inf,inf	0,0 	0
0       	9.28, -6.60, -10.90 	132.01, -262.28, -11.88 	0.00, 10.00 	15,3,48,919		inf,inf	0,0 	0
0       	9.38, -6.60, -10.92 	132.79, -263.82, -11.89 	0.00, 10.00 	15,3,48,919		inf,inf	0,0 	0
0       	9.35, -6.62, -10.91 	133.27, -264.72, -11.90 	0.00, 10.00 	15,3,48,919		inf,inf	0,0 	0
0       	9.38, -6.61, -10.90 	133.14, -264.48, -11.88 	0.00, 10.00 	15,3,48,919		inf,inf	0,0 	0
0       	9.35, -6.62, -10.90 	132.16, -262.60, -11.86 	0.00, 10.00 	15,3,48,919		inf,inf	0,0 	0
0       	9.33, -6.63, -10.91 	132.92, -264.09, -11.86 	0.00, 10.00 	15,3,48,919		inf,inf	0,0 	0
0       	9.33, -6.69, -10.91 	132.81, -263.90, -11.86 	0.00, 10.00 	15,3,48,919		inf,inf	0,0 	0
0       	9.39, -6.67, -10.92 	133.07, -264.41, -11.86 	0.00, 10.00 	15,3,48,919		inf,inf	0,0 	0
0       	9.37, -6.71, -10.92 	133.19, -264.62, -11.87 	0.00, 10.00 	15,3,48,919		inf,inf	0,0 	0
0       	9.40, -6.69, -10.92 	133.19, -264.62, -11.87 	0.00, 10.00 	15,3,48,919		inf,-nan	0,0 	0
0       	9.40, -6.70, -10.92 	133.55, -265.31, -11.88 	0.00, 10.00 	15,3,48,920		inf,inf	0,0 	0
0       	9.43, -6.69, -10.92 	133.68, -265.57, -11.85 	0.00, 10.00 	15,3,48,920		inf,inf	0,0 	0
0       	9.43, -6.68, -10.92 	133.06, -264.38, -11.85 	0.00, 10.00 	15,3,48,920		inf,inf	0,0 	0
0       	9.44, -6.66, -10.92 	133.07, -264.41, -11.86 	0.00, 10.00 	15,3,48,920		inf,inf	0,0 	0
0       	9.42, -6.69, -10.91 	132.58, -263.48, -11.85 	0.00, 10.00 	15,3,48,920		inf,inf	0,0 	0
0       	9.42, -6.69, -10.91 	132.46, -263.24, -11.85 	0.00, 10.00 	15,3,48,920		-nan,inf	0,0 	0
0       	9.46, -6.68, -10.92 	132.71, -263.72, -11.86 	0.00, 10.00 	15,3,48,920		inf,inf	0,0 	0
0       	9.46, -6.69, -10.94 	132.96, -264.22, -11.86 	0.00, 10.00 	15,3,48,920		inf,inf	0,0 	0
0       	9.46, -6.69, -10.93 	133.09, -264.46, -11.86 	0.00, 10.00 	15,3,48,920		-nan,inf	0,0 	0
0       	9.48, -6.69, -10.94 	133.34, -264.97, -11.86 	0.00, 10.00 	15,3,48,920		inf,inf	0,0 	0
0       	9.49, -6.69, -10.92 	133.22, -264.73, -11.85 	0.00, 10.00 	15,3,48,920		inf,inf	0,0 	0
0       	9.52, -6.69, -10.93 	133.07, -264.41, -11.87 	0.00, 10.00 	15,3,48,920		inf,inf	0,0 	0
0       	9.53, -6.68, -10.93 	133.72, -265.68, -11.86 	0.00, 10.00 	15,3,48,920		inf,inf	0,0 	0
0       	9.49, -6.66, -10.92 	133.45, -265.15, -11.86 	0.00, 10.00 	15,3,48,920		inf,inf	0,0 	0
0       	9.49, -6.67, -10.92 	133.19, -264.62, -11.87 	0.00, 10.00 	15,3,48,920		inf,inf	0,0 	0
0       	9.50, -6.67, -10.93 	133.58, -265.42, -11.86 	0.00, 10.00 	15,3,48,920		inf,inf	0,0 	0
