#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-1.14, 0.47, -6.89 	13.31, -23.31, -8.65 	0.00, 10.00 	13,28,18,336		inf,inf	0,0 	0
0       	-1.14, 0.46, -6.89 	13.32, -23.33, -8.65 	0.00, 10.00 	13,28,18,336		inf,inf	0,0 	0
0       	-1.14, 0.46, -6.89 	13.36, -23.31, -8.66 	0.00, 10.00 	13,28,18,336		-nan,inf	0,0 	0
0       	-1.11, 0.45, -6.89 	13.30, -23.35, -8.66 	0.00, 10.00 	13,28,18,336		inf,inf	0,0 	0
0       	-1.14, 0.45, -6.89 	13.31, -23.31, -8.64 	0.00, 10.00 	13,28,18,336		inf,inf	0,0 	0
0       	-1.14, 0.45, -6.89 	13.34, -23.32, -8.63 	0.00, 10.00 	13,28,18,336		-nan,inf	0,0 	0
0       	-1.14, 0.45, -6.89 	13.29, -23.35, -8.62 	0.00, 10.00 	13,28,18,336		-nan,inf	0,0 	0
0       	-1.14, 0.46, -6.90 	13.28, -23.31, -8.66 	0.00, 10.00 	13,28,18,336		inf,inf	0,0 	0
0       	-1.14, 0.47, -6.90 	13.27, -23.31, -8.68 	0.00, 10.00 	13,28,18,336		inf,inf	0,0 	0
0       	-1.12, 0.48, -6.90 	13.29, -23.27, -8.69 	0.00, 10.00 	13,28,18,336		inf,inf	0,0 	0
0       	-1.09, 0.48, -6.90 	13.33, -23.27, -8.69 	0.00, 10.00 	13,28,18,336		inf,inf	0,0 	0
0       	-1.09, 0.48, -6.90 	13.36, -23.28, -8.67 	0.00, 10.00 	13,28,18,336		-nan,inf	0,0 	0
0       	-1.09, 0.48, -6.90 	13.39, -23.28, -8.64 	0.00, 10.00 	13,28,18,337		-nan,inf	0,0 	0
0       	-1.10, 0.48, -6.90 	13.33, -23.32, -8.63 	0.00, 10.00 	13,28,18,337		inf,inf	0,0 	0
0       	-1.07, 0.49, -6.90 	13.32, -23.34, -8.65 	0.00, 10.00 	13,28,18,337		inf,inf	0,0 	0
0       	-1.07, 0.49, -6.91 	13.35, -23.36, -8.64 	0.00, 10.00 	13,28,18,337		-nan,inf	0,0 	0
0       	-1.07, 0.49, -6.91 	13.32, -23.33, -8.64 	0.00, 10.00 	13,28,18,337		-nan,inf	0,0 	0
0       	-1.07, 0.49, -6.91 	13.31, -23.32, -8.67 	0.00, 10.00 	13,28,18,337		-nan,inf	0,0 	0
0       	-1.05, 0.48, -6.91 	13.31, -23.32, -8.67 	0.00, 10.00 	13,28,18,337		inf,-nan	0,0 	0
0       	-1.05, 0.48, -6.90 	13.31, -23.32, -8.67 	0.00, 10.00 	13,28,18,337		-nan,-nan	0,0 	0
0       	-1.03, 0.49, -6.90 	13.29, -23.29, -8.67 	0.00, 10.00 	13,28,18,337		inf,inf	0,0 	0
0       	-1.03, 0.49, -6.90 	13.22, -23.31, -8.67 	0.00, 10.00 	13,28,18,337		-nan,inf	0,0 	0
0       	-1.03, 0.49, -6.92 	13.26, -23.34, -8.66 	0.00, 10.00 	13,28,18,337		-nan,inf	0,0 	0
0       	-1.03, 0.49, -6.92 	13.27, -23.35, -8.64 	0.00, 10.00 	13,28,18,337		-nan,inf	0,0 	0
0       	-1.08, 0.50, -6.92 	13.26, -23.31, -8.66 	0.00, 10.00 	13,28,18,337		inf,inf	0,0 	0
0       	-1.08, 0.50, -6.92 	13.28, -23.30, -8.66 	0.00, 10.00 	13,28,18,337		-nan,inf	0,0 	0
0       	-1.10, 0.48, -6.92 	13.33, -23.34, -8.67 	0.00, 10.00 	13,28,18,337		inf,inf	0,0 	0
0       	-1.10, 0.46, -6.90 	13.35, -23.32, -8.67 	0.00, 10.00 	13,28,18,338		inf,inf	0,0 	0
0       	-1.09, 0.47, -6.90 	13.31, -23.31, -8.68 	0.00, 10.00 	13,28,18,338		inf,inf	0,0 	0
0       	-1.07, 0.48, -6.91 	13.30, -23.29, -8.66 	0.00, 10.00 	13,28,18,338		inf,inf	0,0 	0
0       	-1.09, 0.47, -6.92 	13.35, -23.27, -8.66 	0.00, 10.00 	13,28,18,338		inf,inf	0,0 	0
0       	-1.09, 0.47, -6.91 	13.33, -23.27, -8.67 	0.00, 10.00 	13,28,18,338		-nan,inf	0,0 	0
0       	-1.06, 0.47, -6.91 	13.32, -23.25, -8.67 	0.00, 10.00 	13,28,18,338		inf,inf	0,0 	0
0       	-1.06, 0.47, -6.91 	13.26, -23.28, -8.67 	0.00, 10.00 	13,28,18,338		-nan,inf	0,0 	0
0       	-1.14, 0.48, -6.91 	13.33, -23.32, -8.67 	0.00, 10.00 	13,28,18,338		inf,inf	0,0 	0
0       	-1.13, 0.48, -6.93 	13.34, -23.31, -8.67 	0.00, 10.00 	13,28,18,338		inf,inf	0,0 	0
0       	-1.14, 0.48, -6.93 	13.33, -23.24, -8.67 	0.00, 10.00 	13,28,18,338		inf,inf	0,0 	0
0       	-1.13, 0.48, -6.93 	13.30, -23.24, -8.69 	0.00, 10.00 	13,28,18,338		inf,inf	0,0 	0
0       	-1.10, 0.49, -6.92 	13.32, -23.26, -8.71 	0.00, 10.00 	13,28,18,338		inf,inf	0,0 	0
0       	-1.13, 0.47, -6.92 	13.32, -23.26, -8.71 	0.00, 10.00 	13,28,18,338		inf,-nan	0,0 	0
0       	-1.13, 0.47, -6.92 	13.33, -23.22, -8.73 	0.00, 10.00 	13,28,18,338		-nan,inf	0,0 	0
0       	-1.10, 0.47, -6.90 	13.36, -23.25, -8.70 	0.00, 10.00 	13,28,18,338		inf,inf	0,0 	0
0       	-1.12, 0.49, -6.90 	13.32, -23.21, -8.69 	0.00, 10.00 	13,28,18,339		inf,inf	0,0 	0
0       	-1.14, 0.47, -6.90 	13.28, -23.22, -8.67 	0.00, 10.00 	13,28,18,339		inf,inf	0,0 	0
0       	-1.11, 0.47, -6.91 	13.31, -23.23, -8.66 	0.00, 10.00 	13,28,18,339		inf,inf	0,0 	0
0       	-1.12, 0.48, -6.91 	13.32, -23.24, -8.66 	0.00, 10.00 	13,28,18,339		inf,inf	0,0 	0
0       	-1.12, 0.48, -6.92 	13.28, -23.28, -8.65 	0.00, 10.00 	13,28,18,339		-nan,inf	0,0 	0
0       	-1.08, 0.47, -6.92 	13.25, -23.25, -8.69 	0.00, 10.00 	13,28,18,339		inf,inf	0,0 	0
0       	-1.12, 0.43, -6.90 	13.26, -23.24, -8.69 	0.00, 10.00 	13,28,18,339		inf,inf	0,0 	0
0       	-1.12, 0.43, -6.90 	13.24, -23.26, -8.70 	0.00, 10.00 	13,28,18,339		-nan,inf	0,0 	0
0       	-1.11, 0.45, -6.91 	13.23, -23.26, -8.70 	0.00, 10.00 	13,28,18,339		inf,inf	0,0 	0
0       	-1.08, 0.44, -6.91 	13.25, -23.25, -8.71 	0.00, 10.00 	13,28,18,339		inf,inf	0,0 	0
0       	-1.09, 0.44, -6.91 	13.24, -23.22, -8.71 	0.00, 10.00 	13,28,18,339		inf,inf	0,0 	0
0       	-1.08, 0.44, -6.91 	13.23, -23.23, -8.71 	0.00, 10.00 	13,28,18,339		inf,inf	0,0 	0
0       	-1.09, 0.44, -6.91 	13.24, -23.26, -8.69 	0.00, 10.00 	13,28,18,339		inf,inf	0,0 	0
0       	-1.08, 0.44, -6.91 	13.26, -23.26, -8.69 	0.00, 10.00 	13,28,18,339		inf,inf	0,0 	0
0       	-1.15, 0.44, -6.90 	13.27, -23.26, -8.69 	0.00, 10.00 	13,28,18,339		inf,inf	0,0 	0
0       	-1.15, 0.44, -6.90 	13.29, -23.26, -8.69 	0.00, 10.00 	13,28,18,340		-nan,inf	0,0 	0
0       	-1.17, 0.42, -6.92 	13.31, -23.26, -8.68 	0.00, 10.00 	13,28,18,340		inf,inf	0,0 	0
0       	-1.13, 0.40, -6.90 	13.26, -23.24, -8.70 	0.00, 10.00 	13,28,18,340		inf,inf	0,0 	0
0       	-1.11, 0.41, -6.90 	13.26, -23.24, -8.70 	0.00, 10.00 	13,28,18,340		inf,-nan	0,0 	0
0       	-1.11, 0.41, -6.90 	13.28, -23.28, -8.69 	0.00, 10.00 	13,28,18,340		-nan,inf	0,0 	0
0       	-1.11, 0.41, -6.90 	13.29, -23.26, -8.67 	0.00, 10.00 	13,28,18,340		-nan,inf	0,0 	0
0       	-1.10, 0.42, -6.90 	13.23, -23.27, -8.67 	0.00, 10.00 	13,28,18,340		inf,inf	0,0 	0
0       	-1.10, 0.42, -6.90 	13.23, -23.30, -8.67 	0.00, 10.00 	13,28,18,340		-nan,inf	0,0 	0
0       	-1.07, 0.41, -6.90 	13.29, -23.29, -8.64 	0.00, 10.00 	13,28,18,340		inf,inf	0,0 	0
0       	-1.08, 0.42, -6.92 	13.31, -23.28, -8.64 	0.00, 10.00 	13,28,18,340		inf,inf	0,0 	0
0       	-1.07, 0.41, -6.91 	13.32, -23.23, -8.66 	0.00, 10.00 	13,28,18,340		inf,inf	0,0 	0
0       	-1.13, 0.42, -6.90 	13.31, -23.24, -8.66 	0.00, 10.00 	13,28,18,340		inf,inf	0,0 	0
0       	-1.10, 0.41, -6.91 	13.37, -23.26, -8.65 	0.00, 10.00 	13,28,18,340		inf,inf	0,0 	0
0       	-1.05, 0.40, -6.91 	13.35, -23.22, -8.65 	0.00, 10.00 	13,28,18,340		inf,inf	0,0 	0
0       	-1.06, 0.41, -6.91 	13.33, -23.19, -8.67 	0.00, 10.00 	13,28,18,340		inf,inf	0,0 	0
0       	-1.06, 0.41, -6.91 	13.37, -23.21, -8.67 	0.00, 10.00 	13,28,18,341		-nan,inf	0,0 	0
0       	-1.06, 0.41, -6.91 	13.33, -23.18, -8.66 	0.00, 10.00 	13,28,18,341		-nan,inf	0,0 	0
0       	-1.06, 0.41, -6.91 	13.34, -23.19, -8.66 	0.00, 10.00 	13,28,18,341		-nan,inf	0,0 	0
0       	-1.11, 0.40, -6.89 	13.38, -23.21, -8.65 	0.00, 10.00 	13,28,18,341		inf,inf	0,0 	0
0       	-1.11, 0.41, -6.89 	13.40, -23.21, -8.64 	0.00, 10.00 	13,28,18,341		inf,inf	0,0 	0
0       	-1.08, 0.39, -6.88 	13.47, -23.23, -8.62 	0.00, 10.00 	13,28,18,341		inf,inf	0,0 	0
0       	-1.09, 0.40, -6.88 	13.45, -23.20, -8.63 	0.00, 10.00 	13,28,18,341		inf,inf	0,0 	0
0       	-1.09, 0.42, -6.90 	13.45, -23.19, -8.63 	0.00, 10.00 	13,28,18,341		inf,inf	0,0 	0
0       	-1.11, 0.40, -6.90 	13.42, -23.19, -8.64 	0.00, 10.00 	13,28,18,341		inf,inf	0,0 	0
0       	-1.11, 0.40, -6.90 	13.44, -23.23, -8.64 	0.00, 10.00 	13,28,18,341		-nan,inf	0,0 	0
0       	-1.11, 0.40, -6.90 	13.37, -23.25, -8.64 	0.00, 10.00 	13,28,18,341		-nan,inf	0,0 	0
0       	-1.09, 0.42, -6.90 	13.34, -23.22, -8.64 	0.00, 10.00 	13,28,18,341		inf,inf	0,0 	1
0       	-1.09, 0.42, -6.90 	13.34, -23.22, -8.64 	0.00, 10.00 	13,28,18,341		-nan,-nan	0,0 	0
0       	-1.09, 0.40, -6.88 	13.33, -23.22, -8.63 	0.00, 10.00 	13,28,18,341		inf,inf	0,0 	0
0       	-1.09, 0.40, -6.88 	13.41, -23.24, -8.61 	0.00, 10.00 	13,28,18,341		-nan,inf	0,0 	0
0       	-1.10, 0.38, -6.89 	13.37, -23.27, -8.60 	0.00, 10.00 	13,28,18,342		inf,inf	0,0 	0
0       	-1.07, 0.38, -6.91 	13.38, -23.26, -8.60 	0.00, 10.00 	13,28,18,342		inf,inf	0,0 	0
0       	-1.11, 0.37, -6.91 	13.35, -23.22, -8.64 	0.00, 10.00 	13,28,18,342		inf,inf	0,0 	0
0       	-1.10, 0.38, -6.91 	13.37, -23.22, -8.64 	0.00, 10.00 	13,28,18,342		inf,inf	0,0 	0
0       	-1.11, 0.37, -6.91 	13.35, -23.22, -8.64 	0.00, 10.00 	13,28,18,342		inf,inf	0,0 	0
0       	-1.08, 0.38, -6.91 	13.35, -23.22, -8.64 	0.00, 10.00 	13,28,18,342		inf,-nan	0,0 	0
0       	-1.11, 0.37, -6.90 	13.38, -23.23, -8.64 	0.00, 10.00 	13,28,18,342		inf,inf	0,0 	0
0       	-1.09, 0.41, -6.90 	13.40, -23.24, -8.63 	0.00, 10.00 	13,28,18,342		inf,inf	0,0 	0
0       	-1.07, 0.41, -6.90 	13.41, -23.21, -8.63 	0.00, 10.00 	13,28,18,342		inf,inf	0,0 	1
0       	-1.09, 0.41, -6.90 	13.34, -23.23, -8.62 	0.00, 10.00 	13,28,18,342		inf,inf	0,0 	0
0       	-1.06, 0.41, -6.90 	13.38, -23.22, -8.60 	0.00, 10.00 	13,28,18,342		inf,inf	0,0 	0
0       	-1.08, 0.38, -6.90 	13.39, -23.21, -8.60 	0.00, 10.00 	13,28,18,342		inf,inf	0,0 	0
0       	-1.08, 0.38, -6.90 	13.38, -23.21, -8.60 	0.00, 10.00 	13,28,18,342		-nan,inf	0,0 	0
0       	-1.08, 0.38, -6.90 	13.38, -23.19, -8.60 	0.00, 10.00 	13,28,18,342		-nan,inf	0,0 	0
0       	-1.11, 0.37, -6.90 	13.35, -23.19, -8.60 	0.00, 10.00 	13,28,18,342		inf,inf	0,0 	0
0       	-1.10, 0.40, -6.90 	13.36, -23.18, -8.58 	0.00, 10.00 	13,28,18,343		inf,inf	0,0 	0
0       	-1.07, 0.37, -6.91 	13.35, -23.16, -8.60 	0.00, 10.00 	13,28,18,343		inf,inf	0,0 	0
0       	-1.05, 0.38, -6.90 	13.36, -23.16, -8.60 	0.00, 10.00 	13,28,18,343		inf,inf	0,0 	0
0       	-1.05, 0.39, -6.89 	13.36, -23.17, -8.60 	0.00, 10.00 	13,28,18,343		inf,inf	0,0 	0
0       	-1.05, 0.38, -6.89 	13.31, -23.21, -8.60 	0.00, 10.00 	13,28,18,343		inf,inf	0,0 	0
0       	-1.05, 0.39, -6.89 	13.32, -23.22, -8.60 	0.00, 10.00 	13,28,18,343		inf,inf	0,0 	0
0       	-1.05, 0.38, -6.89 	13.30, -23.27, -8.59 	0.00, 10.00 	13,28,18,343		inf,inf	0,0 	0
0       	-1.05, 0.39, -6.89 	13.32, -23.25, -8.59 	0.00, 10.00 	13,28,18,343		inf,inf	0,0 	0
