#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-19.82, 13.65, -6.71 	25.54, 27.13, -9.08 	0.00, 40.00 	14,48,40,942		inf,inf	0,0 	0
0       	-19.82, 13.65, -6.71 	25.56, 27.20, -9.07 	0.00, 40.00 	14,48,40,942		-nan,inf	0,0 	0
0       	-19.82, 13.65, -6.71 	25.60, 27.25, -9.04 	0.00, 40.00 	14,48,40,942		-nan,inf	0,0 	0
0       	-19.82, 13.65, -6.71 	25.59, 27.26, -9.00 	0.00, 40.00 	14,48,40,942		-nan,inf	0,0 	0
0       	-19.82, 13.65, -6.71 	25.53, 27.26, -8.98 	0.00, 40.00 	14,48,40,942		-nan,inf	0,0 	0
0       	-19.81, 13.66, -6.72 	25.46, 27.23, -8.96 	0.00, 40.00 	14,48,40,942		inf,inf	0,0 	0
0       	-19.81, 13.66, -6.72 	25.38, 27.22, -8.93 	0.00, 40.00 	14,48,40,942		-nan,inf	0,0 	0
0       	-19.81, 13.66, -6.72 	25.28, 27.20, -8.91 	0.00, 40.00 	14,48,40,943		-nan,inf	0,0 	0
0       	-19.81, 13.66, -6.72 	25.24, 27.19, -8.89 	0.00, 40.00 	14,48,40,943		-nan,inf	0,0 	0
0       	-19.78, 13.68, -6.72 	25.23, 27.20, -8.88 	0.00, 40.00 	14,48,40,943		inf,inf	0,0 	0
0       	-19.77, 13.67, -6.71 	25.23, 27.19, -8.86 	0.00, 40.00 	14,48,40,943		inf,inf	0,0 	0
0       	-19.77, 13.67, -6.71 	25.26, 27.22, -8.85 	0.00, 40.00 	14,48,40,943		-nan,inf	0,0 	0
0       	-19.77, 13.67, -6.71 	25.30, 27.25, -8.85 	0.00, 40.00 	14,48,40,943		-nan,inf	0,0 	0
0       	-19.78, 13.66, -6.71 	25.33, 27.28, -8.85 	0.00, 40.00 	14,48,40,943		inf,inf	0,0 	0
0       	-19.80, 13.66, -6.71 	25.35, 27.28, -8.83 	0.00, 40.00 	14,48,40,943		inf,inf	0,0 	0
0       	-19.80, 13.66, -6.71 	25.33, 27.31, -8.82 	0.00, 40.00 	14,48,40,943		-nan,inf	0,0 	0
0       	-19.80, 13.67, -6.71 	25.29, 27.30, -8.80 	0.00, 40.00 	14,48,40,943		inf,inf	0,0 	0
0       	-19.80, 13.67, -6.71 	25.26, 27.27, -8.81 	0.00, 40.00 	14,48,40,943		-nan,inf	0,0 	0
0       	-19.77, 13.67, -6.71 	25.22, 27.26, -8.80 	0.00, 40.00 	14,48,40,943		inf,inf	0,0 	0
0       	-19.77, 13.67, -6.71 	25.22, 27.24, -8.80 	0.00, 40.00 	14,48,40,943		-nan,inf	0,0 	0
