#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-0.21, -1.01, -6.97 	14.83, -22.33, -4.35 	0.00, 30.00 	13,28,47,193		inf,inf	0,0 	0
0       	-0.21, -1.01, -6.97 	14.88, -22.33, -4.35 	0.00, 30.00 	13,28,47,193		-nan,inf	0,0 	0
0       	-0.21, -1.01, -6.97 	14.88, -22.32, -4.35 	0.00, 30.00 	13,28,47,193		-nan,inf	0,0 	0
0       	-0.17, -1.00, -6.97 	14.85, -22.32, -4.37 	0.00, 30.00 	13,28,47,193		inf,inf	0,0 	0
0       	-0.18, -1.01, -6.97 	14.84, -22.32, -4.37 	0.00, 30.00 	13,28,47,193		inf,inf	0,0 	0
0       	-0.19, -1.00, -6.97 	14.82, -22.34, -4.37 	0.00, 30.00 	13,28,47,193		inf,inf	0,0 	0
0       	-0.19, -1.00, -6.97 	14.81, -22.39, -4.38 	0.00, 30.00 	13,28,47,193		-nan,inf	0,0 	0
0       	-0.16, -1.00, -6.97 	14.84, -22.39, -4.39 	0.00, 30.00 	13,28,47,194		inf,inf	0,0 	0
0       	-0.17, -0.99, -6.96 	14.86, -22.37, -4.41 	0.00, 30.00 	13,28,47,194		inf,inf	0,0 	0
0       	-0.17, -1.00, -6.97 	14.88, -22.39, -4.41 	0.00, 30.00 	13,28,47,194		inf,inf	0,0 	0
0       	-0.15, -0.99, -6.97 	14.87, -22.38, -4.39 	0.00, 30.00 	13,28,47,194		inf,inf	0,0 	0
0       	-0.15, -0.99, -6.97 	14.92, -22.39, -4.40 	0.00, 30.00 	13,28,47,194		-nan,inf	0,0 	0
0       	-0.15, -1.00, -6.97 	14.93, -22.38, -4.41 	0.00, 30.00 	13,28,47,194		inf,inf	0,0 	0
0       	-0.17, -1.00, -6.96 	14.91, -22.38, -4.42 	0.00, 30.00 	13,28,47,194		inf,inf	0,0 	0
0       	-0.17, -0.99, -6.97 	14.92, -22.37, -4.43 	0.00, 30.00 	13,28,47,194		inf,inf	0,0 	0
