#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-1.48, 8.04, -7.29 	-0.44, -0.78, -7.78 	0.00, 10.00 	12,31,18,293		inf,inf	0,0 	0
0       	-1.46, 8.04, -7.28 	-0.48, -0.80, -7.78 	0.00, 10.00 	12,31,18,293		inf,inf	0,0 	0
0       	-1.43, 8.04, -7.30 	-0.47, -0.80, -7.77 	0.00, 10.00 	12,31,18,293		inf,inf	0,0 	0
0       	-1.49, 8.04, -7.30 	-0.45, -0.80, -7.77 	0.00, 10.00 	12,31,18,293		inf,inf	0,0 	0
0       	-1.49, 8.04, -7.29 	-0.47, -0.80, -7.77 	0.00, 10.00 	12,31,18,293		inf,inf	0,0 	0
0       	-1.53, 8.03, -7.25 	-0.48, -0.76, -7.79 	0.00, 10.00 	12,31,18,293		inf,inf	0,0 	0
0       	-1.58, 8.02, -7.26 	-0.46, -0.77, -7.79 	0.00, 10.00 	12,31,18,293		inf,inf	0,0 	0
0       	-1.72, 8.01, -7.24 	-0.43, -0.79, -7.77 	0.00, 10.00 	12,31,18,293		inf,inf	0,0 	0
0       	-1.78, 8.00, -7.25 	-0.44, -0.78, -7.77 	0.00, 10.00 	12,31,18,293		inf,inf	0,0 	0
0       	-1.77, 8.00, -7.25 	-0.45, -0.78, -7.77 	0.00, 10.00 	12,31,18,293		inf,inf	0,0 	0
0       	-1.67, 8.01, -7.25 	-0.44, -0.78, -7.76 	0.00, 10.00 	12,31,18,293		inf,inf	0,0 	0
0       	-1.63, 8.02, -7.26 	-0.48, -0.80, -7.76 	0.00, 10.00 	12,31,18,293		inf,inf	0,0 	0
0       	-1.62, 8.02, -7.26 	-0.48, -0.80, -7.77 	0.00, 10.00 	12,31,18,293		inf,-nan	0,0 	0
0       	-1.60, 8.02, -7.24 	-0.46, -0.79, -7.77 	0.00, 10.00 	12,31,18,293		inf,inf	0,0 	0
0       	-1.65, 8.02, -7.26 	-0.44, -0.80, -7.76 	0.00, 10.00 	12,31,18,293		inf,inf	0,0 	0
0       	-1.69, 8.01, -7.28 	-0.45, -0.80, -7.76 	0.00, 10.00 	12,31,18,294		inf,inf	0,0 	0
0       	-1.75, 8.00, -7.28 	-0.44, -0.78, -7.78 	0.00, 10.00 	12,31,18,294		inf,inf	0,0 	0
0       	-1.80, 8.00, -7.29 	-0.44, -0.78, -7.77 	0.00, 10.00 	12,31,18,294		inf,-nan	0,0 	0
0       	-1.81, 7.99, -7.29 	-0.44, -0.78, -7.78 	0.00, 10.00 	12,31,18,294		inf,-nan	0,0 	0
0       	-1.82, 7.99, -7.31 	-0.44, -0.78, -7.77 	0.00, 10.00 	12,31,18,294		inf,-nan	0,0 	0
0       	-1.87, 7.99, -7.29 	-0.48, -0.81, -7.78 	0.00, 10.00 	12,31,18,294		inf,inf	0,0 	0
0       	-1.92, 7.98, -7.29 	-0.48, -0.81, -7.79 	0.00, 10.00 	12,31,18,294		inf,-nan	0,0 	0
0       	-1.93, 7.98, -7.32 	-0.48, -0.81, -7.78 	0.00, 10.00 	12,31,18,294		inf,-nan	0,0 	0
0       	-1.95, 7.98, -7.29 	-0.48, -0.81, -7.79 	0.00, 10.00 	12,31,18,294		inf,-nan	0,0 	0
0       	-1.88, 7.99, -7.29 	-0.49, -0.85, -7.75 	0.00, 10.00 	12,31,18,294		inf,inf	0,0 	0
0       	-2.01, 7.97, -7.29 	-0.50, -0.83, -7.76 	0.00, 10.00 	12,31,18,294		inf,inf	0,0 	0
0       	-1.99, 7.97, -7.28 	-0.45, -0.82, -7.76 	0.00, 10.00 	12,31,18,294		inf,inf	0,0 	0
0       	-2.04, 7.97, -7.28 	-0.46, -0.81, -7.75 	0.00, 10.00 	12,31,18,294		inf,inf	0,0 	0
0       	-2.08, 7.96, -7.30 	-0.46, -0.82, -7.77 	0.00, 10.00 	12,31,18,294		inf,inf	0,0 	0
0       	-2.06, 7.96, -7.31 	-0.46, -0.82, -7.77 	0.00, 10.00 	12,31,18,294		inf,-nan	0,0 	0
0       	-2.11, 7.96, -7.33 	-0.46, -0.82, -7.75 	0.00, 10.00 	12,31,18,294		inf,-nan	0,0 	0
0       	-2.14, 7.96, -7.33 	-0.42, -0.82, -7.77 	0.00, 10.00 	12,31,18,294		inf,inf	0,0 	0
0       	-2.06, 7.96, -7.33 	-0.47, -0.81, -7.76 	0.00, 10.00 	12,31,18,294		inf,inf	0,0 	0
0       	-2.05, 7.97, -7.31 	-0.46, -0.82, -7.77 	0.00, 10.00 	12,31,18,294		inf,inf	0,0 	0
0       	-2.10, 7.96, -7.30 	-0.42, -0.86, -7.75 	0.00, 10.00 	12,31,18,294		inf,inf	0,0 	0
0       	-2.11, 7.96, -7.32 	-0.41, -0.84, -7.75 	0.00, 10.00 	12,31,18,294		inf,inf	0,0 	0
0       	-2.15, 7.95, -7.32 	-0.41, -0.88, -7.73 	0.00, 10.00 	12,31,18,294		inf,inf	0,0 	0
