#Time 	Sensor1         	Sensor2         	Target         
#================================================================

16      	-0.33, -15.98 	-94.47, 353.83 	-6.35, 1.41
32      	-0.33, -15.97 	-1.73, -17.06 	-6.35, 1.41
47      	-0.33, -15.97 	-1.73, -17.02 	-6.35, 1.41
63      	-0.33, -15.97 	-1.70, -16.38 	-6.35, 1.41
78      	-0.34, -15.94 	-1.72, -16.91 	-6.35, 1.41
94      	-0.33, -15.94 	-1.72, -16.95 	-6.35, 1.41
170     	-0.34, -15.89 	-1.69, -16.35 	-6.35, 1.41
185     	-0.34, -15.85 	-1.69, -16.35 	-6.35, 1.41
200     	-0.34, -15.85 	-1.69, -16.35 	-6.35, 1.41
215     	-0.34, -15.85 	-1.73, -17.02 	-6.35, 1.41
230     	-0.34, -15.77 	-1.73, -17.07 	-6.35, 1.41
311     	-0.32, -15.93 	-1.75, -16.99 	-6.35, 1.41
327     	-0.33, -15.93 	-1.75, -16.99 	-6.35, 1.41
342     	-0.33, -15.81 	-1.75, -16.99 	-6.35, 1.41
358     	-0.34, -15.90 	-1.74, -17.02 	-6.35, 1.41
437     	-0.34, -15.85 	-1.76, -17.03 	-6.35, 1.41
452     	-0.34, -15.85 	-1.76, -17.03 	-6.35, 1.41
467     	-0.34, -15.85 	-1.74, -16.99 	-6.35, 1.41
482     	-0.34, -15.85 	-1.75, -16.99 	-6.35, 1.41
497     	-0.34, -15.85 	-1.75, -17.11 	-6.35, 1.41
578     	-0.35, -15.77 	-1.74, -17.11 	-6.35, 1.41
596     	-0.34, -15.89 	-1.74, -17.11 	-6.35, 1.41
616     	-0.35, -15.77 	-1.74, -17.03 	-6.35, 1.41
636     	-0.35, -15.74 	-1.74, -17.03 	-6.35, 1.41
656     	-0.35, -15.74 	-1.73, -17.07 	-6.35, 1.41
737     	-0.34, -15.77 	-1.74, -16.98 	-6.35, 1.41
756     	-0.35, -15.81 	-1.74, -16.98 	-6.35, 1.41
776     	-0.33, -15.81 	-1.74, -17.03 	-6.35, 1.41
795     	-0.34, -15.89 	-1.73, -17.11 	-6.35, 1.41
814     	-0.34, -15.89 	-1.73, -17.11 	-6.35, 1.41
834     	-0.35, -15.93 	-1.72, -17.07 	-6.35, 1.41
915     	-0.34, -15.85 	-1.68, -16.26 	-6.35, 1.41
934     	-0.33, -15.89 	-1.66, -16.26 	-6.35, 1.41
954     	-0.33, -15.89 	-1.66, -16.34 	-6.35, 1.41
973     	-0.35, -15.81 	-1.62, -16.53 	-6.35, 1.41
992     	-0.33, -15.89 	-1.63, -16.37 	-6.35, 1.41
1063    	-0.33, -15.97 	-1.60, -16.76 	-6.35, 1.41
1082    	-0.33, -15.97 	-1.64, -16.64 	-6.35, 1.41
1101    	-0.33, -15.97 	-1.61, -16.62 	-6.35, 1.41
1120    	-0.33, -15.97 	-1.64, -16.68 	-6.35, 1.41
1139    	-0.33, -15.97 	-1.63, -16.53 	-6.35, 1.41
1159    	-0.33, -16.01 	-1.65, -16.47 	-6.35, 1.41
1263    	-0.29, -16.01 	-1.74, -15.82 	-6.35, 1.41
1282    	-0.29, -16.01 	-1.88, -15.54 	-6.35, 1.41
1301    	-0.30, -16.09 	-1.96, -14.15 	-6.35, 1.41
1320    	-0.30, -15.93 	-2.06, -13.84 	-6.35, 1.41
1339    	-0.30, -15.93 	-2.15, -13.19 	-6.35, 1.41
1358    	-0.30, -15.96 	-3.13, -12.95 	-6.35, 1.41
1377    	-0.29, -15.93 	-3.34, -11.68 	-6.35, 1.41
1443    	-0.27, -16.13 	-5.04, -3.59 	-6.35, 1.41
1460    	-0.27, -16.08 	-5.02, -7.76 	-6.35, 1.41
1480    	-0.26, -16.13 	-5.14, -6.67 	-6.35, 1.41
1498    	-0.27, -16.01 	-6.34, -0.40 	-6.35, 1.41
