#Time 	Sensor1         	Sensor2         	Target         
#================================================================

16      	-0.61, -15.52 	-1.85, -15.78 	9.52, 9.73
32      	-0.61, -15.52 	-1.85, -15.78 	9.52, 9.73
48      	-0.61, -15.52 	-1.85, -15.82 	9.52, 9.73
64      	-0.61, -15.52 	-1.85, -15.82 	9.52, 9.73
80      	-0.60, -15.52 	-1.85, -15.90 	9.52, 9.73
96      	-0.61, -15.52 	-1.85, -15.90 	9.52, 9.73
111     	-0.61, -15.52 	-1.85, -15.90 	9.52, 9.73
194     	-0.60, -15.56 	-1.85, -15.82 	9.52, 9.73
209     	-0.60, -15.56 	-1.85, -15.82 	9.52, 9.73
225     	-0.61, -15.52 	-1.85, -15.86 	9.52, 9.73
241     	-0.61, -15.52 	-1.85, -15.90 	9.52, 9.73
320     	-0.61, -15.51 	-1.87, -15.78 	9.52, 9.73
335     	-0.61, -15.51 	-94.46, 353.62 	9.52, 9.73
350     	-0.61, -15.51 	-1.87, -15.78 	9.52, 9.73
365     	-0.61, -15.51 	-1.87, -15.78 	9.52, 9.73
380     	-0.61, -15.51 	-1.87, -15.78 	9.52, 9.73
460     	-0.61, -15.51 	-1.85, -15.87 	9.52, 9.73
480     	-0.61, -15.51 	-1.85, -15.87 	9.52, 9.73
495     	-0.61, -15.51 	-1.85, -15.87 	9.52, 9.73
510     	-0.61, -15.51 	-1.85, -15.87 	9.52, 9.73
525     	-0.61, -15.51 	-1.85, -15.99 	9.52, 9.73
607     	-0.61, -15.51 	-1.84, -15.94 	9.52, 9.73
623     	-0.61, -15.51 	-1.84, -15.94 	9.52, 9.73
639     	-0.61, -15.51 	-1.84, -15.94 	9.52, 9.73
655     	-0.61, -15.51 	-1.84, -15.94 	9.52, 9.73
734     	-0.61, -15.51 	-1.84, -15.94 	9.52, 9.73
749     	-0.61, -15.51 	-94.43, 353.63 	9.52, 9.73
764     	-0.61, -15.51 	-1.84, -15.94 	9.52, 9.73
779     	-0.61, -15.51 	-1.85, -15.83 	9.52, 9.73
794     	-0.61, -15.51 	-1.85, -15.83 	9.52, 9.73
873     	-0.59, -15.56 	-1.85, -15.83 	9.52, 9.73
889     	-0.59, -15.51 	-1.85, -15.83 	9.52, 9.73
905     	-0.58, -15.50 	-1.85, -15.82 	9.52, 9.73
921     	-0.58, -15.50 	-1.85, -15.82 	9.52, 9.73
999     	-0.58, -15.58 	-1.85, -15.94 	9.52, 9.73
1014    	-0.59, -15.51 	-1.85, -15.90 	9.52, 9.73
1029    	-0.63, -15.51 	-94.49, 353.61 	9.52, 9.73
1044    	-0.61, -15.27 	-1.83, -15.82 	9.52, 9.73
1059    	-0.86, -9.99 	-1.84, -15.86 	9.52, 9.73
1139    	-0.43, -15.67 	-1.83, -15.87 	9.52, 9.73
1155    	-0.41, -15.17 	-1.82, -15.98 	9.52, 9.73
1171    	-0.35, -14.34 	-1.80, -16.05 	9.52, 9.73
1187    	-0.46, -8.39 	-1.81, -15.90 	9.52, 9.73
1264    	1.25, -5.19 	-1.74, -15.93 	9.52, 9.73
1279    	1.76, -9.30 	-1.73, -15.89 	9.52, 9.73
1294    	1.87, -9.10 	-1.72, -15.96 	9.52, 9.73
1309    	1.93, -2.43 	-1.72, -15.96 	9.52, 9.73
1324    	3.12, -1.03 	-1.72, -16.08 	9.52, 9.73
1404    	5.21, 4.29 	-1.71, -16.05 	9.52, 9.73
1420    	5.49, 5.58 	-1.73, -16.02 	9.52, 9.73
1436    	5.66, 6.52 	-1.71, -16.01 	9.52, 9.73
1452    	6.78, 7.81 	-1.71, -16.02 	9.52, 9.73
