#Time 	Sensor1         	Sensor2         	Target         
#================================================================

2689    	-0.27, -15.50 	-0.70, -16.21 	0.00, -6.58
2706    	-0.27, -15.50 	-0.70, -16.17 	0.00, -6.58
2722    	-0.27, -15.50 	-0.70, -16.17 	0.00, -6.58
2738    	-0.47, -10.30 	-0.71, -16.17 	0.00, -6.58
2754    	-0.27, -15.50 	-0.70, -16.26 	0.00, -6.58
2833    	-0.47, -10.30 	-0.70, -16.26 	0.00, -6.58
2850    	-0.47, -10.30 	-0.70, -16.22 	0.00, -6.58
2866    	-0.47, -10.30 	-0.70, -16.22 	0.00, -6.58
2883    	-0.47, -10.30 	-0.70, -16.22 	0.00, -6.58
2899    	-0.27, -15.50 	-0.71, -16.29 	0.00, -6.58
2982    	-0.27, -15.42 	-0.70, -16.29 	0.00, -6.58
2999    	-0.27, -15.54 	-0.69, -16.30 	0.00, -6.58
3015    	-0.26, -15.54 	-0.70, -16.21 	0.00, -6.58
3032    	-0.26, -15.54 	-0.70, -16.21 	0.00, -6.58
3108    	-0.27, -15.42 	-0.71, -16.17 	0.00, -6.58
3124    	-0.27, -15.42 	-0.71, -16.17 	0.00, -6.58
3140    	-0.47, -10.29 	-0.68, -16.17 	0.00, -6.58
3156    	-0.47, -10.30 	-0.68, -16.21 	0.00, -6.58
3173    	-0.47, -10.30 	-0.70, -16.21 	0.00, -6.58
3256    	-0.47, -10.30 	-0.70, -16.17 	0.00, -6.58
3272    	-0.27, -15.50 	-0.70, -16.21 	0.00, -6.58
3300    	-0.27, -15.51 	-0.70, -16.17 	0.00, -6.58
3316    	-0.27, -15.51 	-0.70, -16.17 	0.00, -6.58
3374    	-0.27, -15.47 	-0.70, -16.17 	0.00, -6.58
3399    	-0.25, -15.46 	-0.70, -16.17 	0.00, -6.58
3420    	-0.27, -15.47 	-0.71, -16.13 	0.00, -6.58
3436    	-0.27, -15.47 	-0.71, -16.13 	0.00, -6.58
3457    	-0.47, -10.26 	-0.71, -16.13 	0.00, -6.58
3474    	-0.46, -10.26 	-0.71, -16.13 	0.00, -6.58
3553    	-0.27, -15.46 	-0.71, -16.13 	0.00, -6.58
3578    	-0.46, -10.26 	-0.70, -16.14 	0.00, -6.58
3600    	-0.46, -10.26 	-0.71, -16.13 	0.00, -6.58
3617    	-0.27, -15.46 	-0.71, -16.13 	0.00, -6.58
3633    	-0.27, -15.46 	-0.71, -16.13 	0.00, -6.58
3650    	-0.27, -15.46 	-0.71, -16.17 	0.00, -6.58
3732    	-0.27, -15.46 	-0.71, -16.13 	0.00, -6.58
3748    	-0.27, -15.46 	-0.71, -16.13 	0.00, -6.58
3764    	-0.27, -15.46 	-0.71, -16.13 	0.00, -6.58
3785    	-0.27, -15.46 	-0.71, -16.13 	0.00, -6.58
3808    	-0.27, -15.46 	-0.71, -16.13 	0.00, -6.58
3824    	-0.27, -15.46 	-0.71, -16.13 	0.00, -6.58
3909    	-0.26, -15.47 	-0.70, -16.14 	0.00, -6.58
3930    	-0.26, -15.47 	-0.70, -16.14 	0.00, -6.58
3946    	-0.26, -15.47 	-0.70, -16.14 	0.00, -6.58
3961    	-0.26, -15.47 	-0.70, -16.14 	0.00, -6.58
3978    	-0.26, -15.47 	-0.70, -16.14 	0.00, -6.58
4059    	-0.26, -15.42 	-0.71, -16.13 	0.00, -6.58
4075    	-0.27, -15.42 	-0.71, -16.13 	0.00, -6.58
4091    	-0.26, -15.47 	-0.71, -16.13 	0.00, -6.58
4107    	-0.26, -15.47 	-0.71, -16.13 	0.00, -6.58
4124    	-0.26, -15.47 	-0.71, -16.13 	0.00, -6.58
4207    	-0.27, -15.51 	-0.71, -16.13 	0.00, -6.58
4223    	-0.27, -15.51 	-0.71, -16.13 	0.00, -6.58
4239    	-0.27, -15.51 	-0.71, -16.13 	0.00, -6.58
4255    	-0.27, -15.51 	-0.71, -16.13 	0.00, -6.58
4272    	-0.27, -15.46 	-0.71, -16.13 	0.00, -6.58
4355    	-0.27, -15.46 	-0.70, -16.17 	0.00, -6.58
4371    	-0.27, -15.46 	-0.70, -16.17 	0.00, -6.58
4387    	-0.27, -15.46 	-0.70, -16.17 	0.00, -6.58
4408    	-0.27, -15.46 	-0.70, -16.17 	0.00, -6.58
4474    	-0.27, -15.46 	-0.70, -16.17 	0.00, -6.58
4490    	-0.27, -15.46 	-0.70, -16.17 	0.00, -6.58
