#Time 	Sensor1         	Sensor2         	Target         
#================================================================

20      	-0.36, -14.58 	-2.13, -15.63 	6.10, -7.90
38      	-0.38, -14.62 	-2.15, -15.66 	6.10, -7.90
57      	-0.36, -14.58 	-2.15, -15.54 	6.10, -7.90
77      	-0.36, -14.58 	-2.14, -15.59 	6.10, -7.90
96      	-0.38, -14.58 	-2.15, -15.54 	6.10, -7.90
115     	-0.38, -14.58 	-2.15, -15.66 	6.10, -7.90
134     	-0.38, -14.58 	-2.15, -15.71 	6.10, -7.90
153     	-0.38, -14.62 	-2.15, -15.66 	6.10, -7.90
172     	-0.38, -14.50 	-2.15, -15.66 	6.10, -7.90
254     	-0.37, -14.54 	-2.15, -15.59 	6.10, -7.90
273     	-0.37, -14.54 	-2.15, -15.59 	6.10, -7.90
292     	-0.35, -14.70 	-2.15, -15.59 	6.10, -7.90
311     	-0.35, -14.54 	-2.15, -15.59 	6.10, -7.90
330     	-0.35, -14.54 	-2.15, -15.62 	6.10, -7.90
349     	-0.35, -14.54 	-2.15, -15.62 	6.10, -7.90
430     	-0.36, -14.58 	-2.17, -15.58 	6.10, -7.90
449     	-0.36, -14.45 	-2.17, -15.58 	6.10, -7.90
468     	-0.35, -14.50 	-2.18, -15.54 	6.10, -7.90
487     	-0.35, -14.62 	-2.18, -15.54 	6.10, -7.90
506     	-0.35, -14.62 	-2.18, -15.54 	6.10, -7.90
525     	-0.35, -14.62 	-2.18, -15.54 	6.10, -7.90
606     	-0.34, -14.65 	-2.19, -15.49 	6.10, -7.90
625     	-0.34, -14.54 	-2.20, -15.53 	6.10, -7.90
644     	-0.34, -14.74 	-2.19, -15.57 	6.10, -7.90
662     	-0.35, -14.58 	-2.19, -15.57 	6.10, -7.90
681     	-0.34, -14.62 	-2.18, -15.61 	6.10, -7.90
760     	-0.34, -14.63 	-2.18, -15.65 	6.10, -7.90
795     	-0.21, -14.80 	-2.18, -15.65 	6.10, -7.90
813     	-0.01, -14.79 	-2.17, -15.70 	6.10, -7.90
837     	0.20, -13.37 	-2.17, -15.70 	6.10, -7.90
854     	1.49, -12.18 	-2.17, -15.70 	6.10, -7.90
872     	1.68, -11.64 	-2.18, -15.73 	6.10, -7.90
889     	1.91, -11.27 	-2.18, -15.70 	6.10, -7.90
970     	3.45, -3.85 	-2.18, -15.68 	6.10, -7.90
996     	4.75, -8.95 	-2.19, -15.56 	6.10, -7.90
