#Time 	Sensor1         	Sensor2         	Target         
#================================================================

16      	9.31, -18.30 	-34.33, 143.39 	15.25, 3.12
32      	9.30, -18.34 	-34.32, 143.31 	15.25, 3.12
48      	9.30, -18.30 	-34.31, 143.30 	15.25, 3.12
64      	9.30, -18.30 	59.80, 601.56 	15.25, 3.12
80      	9.32, -18.42 	-34.33, 143.63 	15.25, 3.12
95      	9.30, -18.58 	-34.32, 144.01 	15.25, 3.12
110     	9.27, -18.71 	-34.36, 143.79 	15.25, 3.12
193     	9.18, -19.22 	-34.28, 142.96 	15.25, 3.12
209     	9.20, -18.42 	-34.28, 142.93 	15.25, 3.12
225     	9.29, -17.48 	-34.28, 142.89 	15.25, 3.12
241     	9.29, -17.01 	-34.28, 142.69 	15.25, 3.12
318     	9.27, -16.19 	-34.30, 142.78 	15.25, 3.12
333     	9.25, -16.19 	-34.31, 143.08 	15.25, 3.12
348     	9.27, -16.39 	-34.31, 142.85 	15.25, 3.12
363     	9.25, -16.32 	-34.29, 142.65 	15.25, 3.12
378     	9.26, -16.31 	-34.24, 142.92 	15.25, 3.12
458     	9.26, -16.24 	-34.29, 143.39 	15.25, 3.12
474     	9.26, -16.32 	-34.27, 143.42 	15.25, 3.12
490     	9.26, -16.32 	-34.27, 143.42 	15.25, 3.12
506     	9.26, -16.32 	-34.30, 143.49 	15.25, 3.12
584     	9.27, -16.43 	-34.24, 143.27 	15.25, 3.12
599     	9.26, -16.31 	-34.25, 143.11 	15.25, 3.12
614     	9.25, -16.31 	-34.26, 143.04 	15.25, 3.12
629     	9.25, -16.35 	59.84, 601.05 	15.25, 3.12
644     	9.26, -16.43 	-34.32, 143.38 	15.25, 3.12
723     	9.23, -16.35 	-34.30, 143.76 	15.25, 3.12
739     	9.25, -16.35 	-34.32, 143.63 	15.25, 3.12
754     	9.27, -16.35 	-34.31, 143.66 	15.25, 3.12
770     	9.27, -16.43 	-34.28, 143.62 	15.25, 3.12
849     	9.21, -16.29 	-34.25, 143.52 	15.25, 3.12
864     	9.21, -16.23 	-34.29, 143.49 	15.25, 3.12
879     	9.15, -16.35 	-34.30, 143.84 	15.25, 3.12
894     	9.10, -16.29 	-34.29, 144.21 	15.25, 3.12
909     	9.02, -16.07 	-34.21, 144.02 	15.25, 3.12
990     	8.79, -16.07 	-34.19, 144.06 	15.25, 3.12
1006    	8.77, -16.02 	-34.21, 144.00 	15.25, 3.12
1021    	8.70, -16.20 	-34.21, 144.04 	15.25, 3.12
1085    	7.67, -15.83 	-34.28, 143.57 	15.25, 3.12
1100    	7.65, -15.74 	-34.28, 143.57 	15.25, 3.12
1115    	7.63, -15.48 	-34.22, 143.62 	15.25, 3.12
1130    	7.60, -15.57 	-34.22, 143.62 	15.25, 3.12
1145    	7.57, -15.75 	-34.26, 143.89 	15.25, 3.12
1226    	7.46, -14.86 	-34.26, 144.30 	15.25, 3.12
1242    	7.44, -14.73 	59.72, 600.79 	15.25, 3.12
1257    	7.42, -14.77 	-34.21, 144.05 	15.25, 3.12
1321    	7.35, -14.73 	-34.18, 143.24 	15.25, 3.12
1336    	7.34, -14.60 	59.71, 601.10 	15.25, 3.12
1351    	7.34, -14.57 	-34.23, 143.10 	15.25, 3.12
1366    	7.30, -14.56 	-34.23, 143.10 	15.25, 3.12
1381    	7.29, -14.58 	-34.22, 143.12 	15.25, 3.12
1461    	7.19, -14.59 	-34.27, 143.14 	15.25, 3.12
1477    	7.17, -14.59 	-34.27, 142.74 	15.25, 3.12
1492    	7.13, -14.47 	-34.28, 142.82 	15.25, 3.12
1508    	7.12, -14.59 	-34.24, 142.85 	15.25, 3.12
1587    	6.99, -14.42 	-34.19, 143.24 	15.25, 3.12
1602    	6.15, -14.36 	-34.21, 143.31 	15.25, 3.12
1617    	6.13, -14.34 	-34.22, 143.14 	15.25, 3.12
1633    	6.11, -14.29 	-34.22, 143.18 	15.25, 3.12
1648    	6.05, -14.38 	-34.22, 143.18 	15.25, 3.12
1728    	5.84, -14.13 	-34.27, 143.06 	15.25, 3.12
1744    	5.84, -14.06 	-34.28, 142.74 	15.25, 3.12
1759    	5.84, -14.10 	-34.24, 142.37 	15.25, 3.12
1775    	5.77, -14.08 	-34.24, 142.66 	15.25, 3.12
1858    	5.57, -13.25 	-34.24, 142.86 	15.25, 3.12
1873    	5.52, -13.14 	-34.22, 142.66 	15.25, 3.12
1888    	5.47, -13.03 	-34.26, 142.62 	15.25, 3.12
1903    	5.42, -13.10 	-34.26, 142.66 	15.25, 3.12
1918    	5.41, -13.15 	-34.29, 142.48 	15.25, 3.12
1995    	4.38, -13.14 	-34.31, 142.95 	15.25, 3.12
2011    	4.33, -13.15 	-34.31, 143.19 	15.25, 3.12
2026    	4.31, -13.07 	-34.29, 143.39 	15.25, 3.12
2042    	4.28, -12.93 	-34.34, 143.24 	15.25, 3.12
2125    	4.14, -12.96 	-34.38, 142.71 	15.25, 3.12
2140    	4.08, -12.91 	59.67, 601.80 	15.25, 3.12
2160    	4.05, -12.86 	-34.38, 142.74 	15.25, 3.12
2175    	4.00, -12.61 	-34.38, 142.52 	15.25, 3.12
2191    	3.94, -12.66 	-34.33, 142.53 	15.25, 3.12
2273    	3.84, -12.72 	-34.29, 142.62 	15.25, 3.12
2292    	3.84, -12.75 	-34.30, 142.71 	15.25, 3.12
2312    	3.78, -12.68 	-34.33, 142.69 	15.25, 3.12
2332    	3.75, -12.70 	-34.30, 142.86 	15.25, 3.12
2351    	2.91, -12.68 	-34.28, 142.71 	15.25, 3.12
2371    	2.84, -12.61 	-34.29, 142.70 	15.25, 3.12
2453    	2.73, -11.91 	-34.27, 142.33 	15.25, 3.12
2472    	2.70, -11.76 	-34.24, 142.13 	15.25, 3.12
2492    	2.65, -11.77 	-34.26, 142.54 	15.25, 3.12
2511    	2.63, -11.71 	-34.25, 143.05 	15.25, 3.12
2530    	2.56, -11.53 	-34.25, 143.41 	15.25, 3.12
2550    	2.55, -11.58 	-34.26, 143.30 	15.25, 3.12
2631    	2.41, -11.44 	-34.30, 143.49 	15.25, 3.12
2650    	2.33, -11.30 	-34.29, 143.67 	15.25, 3.12
2670    	2.26, -11.27 	-34.35, 144.15 	15.25, 3.12
2689    	2.22, -11.24 	-34.32, 143.91 	15.25, 3.12
2708    	2.18, -11.41 	-34.33, 143.80 	15.25, 3.12
2728    	1.32, -11.41 	-34.30, 143.90 	15.25, 3.12
2809    	1.13, -10.42 	-34.32, 143.67 	15.25, 3.12
2837    	1.05, -10.39 	-34.34, 143.75 	15.25, 3.12
2855    	0.98, -10.48 	-34.37, 143.79 	15.25, 3.12
2874    	0.90, -10.45 	-34.34, 143.85 	15.25, 3.12
2891    	0.85, -10.46 	-34.39, 144.17 	15.25, 3.12
2908    	0.80, -10.36 	-34.35, 144.21 	15.25, 3.12
2983    	0.66, -10.29 	-34.32, 144.10 	15.25, 3.12
3001    	0.60, -10.34 	-34.29, 144.02 	15.25, 3.12
3017    	-0.28, -10.27 	-34.32, 144.13 	15.25, 3.12
3034    	-0.36, -10.09 	-34.29, 144.01 	15.25, 3.12
3050    	-0.39, -9.94 	-34.26, 143.62 	15.25, 3.12
3140    	-0.52, -10.01 	-34.22, 143.82 	15.25, 3.12
3161    	-0.62, -9.86 	-34.22, 143.85 	15.25, 3.12
3178    	-0.64, -9.18 	-34.22, 143.85 	15.25, 3.12
3194    	-0.71, -9.07 	-34.25, 143.85 	15.25, 3.12
3211    	-0.72, -9.05 	-34.28, 143.68 	15.25, 3.12
3228    	-0.77, -9.05 	-34.26, 143.88 	15.25, 3.12
3317    	-0.88, -9.15 	-34.29, 143.54 	15.25, 3.12
3333    	-0.96, -9.00 	-34.27, 143.47 	15.25, 3.12
3351    	-1.00, -8.95 	-34.26, 143.15 	15.25, 3.12
3367    	-1.04, -9.00 	-34.22, 143.18 	15.25, 3.12
3427    	-1.98, -8.97 	-34.24, 142.79 	15.25, 3.12
3448    	-2.00, -8.84 	-34.25, 143.05 	15.25, 3.12
3466    	-2.04, -8.85 	-34.26, 143.55 	15.25, 3.12
3482    	-2.06, -8.83 	-34.25, 143.83 	15.25, 3.12
3499    	-2.11, -8.84 	-34.28, 144.04 	15.25, 3.12
3582    	-2.21, -8.79 	-34.24, 143.88 	15.25, 3.12
3599    	-2.22, -8.15 	-34.29, 143.13 	15.25, 3.12
3615    	-2.25, -8.18 	-34.33, 143.40 	15.25, 3.12
3631    	-2.26, -8.17 	-34.30, 143.19 	15.25, 3.12
3648    	-2.30, -8.03 	-34.31, 143.21 	15.25, 3.12
3730    	-2.43, -8.01 	-34.24, 142.55 	15.25, 3.12
3751    	-2.46, -7.87 	-34.22, 142.43 	15.25, 3.12
3767    	-2.51, -7.78 	-34.24, 142.67 	15.25, 3.12
3788    	-2.53, -7.89 	-34.21, 142.91 	15.25, 3.12
3804    	-2.58, -7.85 	-34.26, 142.93 	15.25, 3.12
3821    	-2.61, -7.83 	-34.22, 142.80 	15.25, 3.12
3912    	-3.58, -7.62 	-34.28, 142.89 	15.25, 3.12
3928    	-3.64, -7.62 	-34.29, 142.92 	15.25, 3.12
3945    	-3.67, -7.56 	-34.27, 142.82 	15.25, 3.12
3961    	-3.70, -7.56 	-34.26, 142.59 	15.25, 3.12
3986    	-3.75, -7.49 	-34.26, 142.47 	15.25, 3.12
4003    	-3.81, -7.47 	-34.25, 142.50 	15.25, 3.12
4082    	-3.97, -6.79 	-34.24, 142.55 	15.25, 3.12
4098    	-4.02, -6.68 	-34.25, 142.33 	15.25, 3.12
4120    	-4.05, -6.66 	-34.22, 142.69 	15.25, 3.12
4136    	-4.09, -6.62 	-34.27, 142.64 	15.25, 3.12
4153    	-4.11, -6.53 	-34.29, 142.56 	15.25, 3.12
4231    	-5.11, -6.49 	-34.30, 143.00 	15.25, 3.12
4252    	-5.13, -6.50 	-34.28, 142.99 	15.25, 3.12
4269    	-5.18, -6.43 	-34.33, 143.05 	15.25, 3.12
4290    	-5.21, -6.41 	-34.32, 142.48 	15.25, 3.12
4306    	-5.29, -6.28 	-34.30, 142.51 	15.25, 3.12
4327    	-5.33, -6.22 	-34.32, 142.62 	15.25, 3.12
4410    	-5.55, -5.58 	-34.32, 142.46 	15.25, 3.12
