#Time 	Sensor1         	Sensor2         	Target         
#================================================================

17      	-0.49, -15.24 	-1.76, -15.88 	-6.10, -7.90
33      	-0.49, -15.24 	-1.76, -15.88 	-6.10, -7.90
49      	-0.49, -15.24 	-1.79, -15.92 	-6.10, -7.90
73      	-0.49, -15.24 	-1.75, -15.92 	-6.10, -7.90
90      	-0.48, -15.25 	-1.76, -15.92 	-6.10, -7.90
107     	-0.48, -15.25 	-1.78, -15.92 	-6.10, -7.90
123     	-0.48, -15.25 	-1.78, -15.92 	-6.10, -7.90
200     	-0.49, -15.21 	-1.78, -15.92 	-6.10, -7.90
216     	-0.49, -15.21 	-1.78, -15.92 	-6.10, -7.90
232     	-0.49, -15.21 	-1.78, -15.92 	-6.10, -7.90
248     	-0.49, -15.21 	-97.26, 351.47 	-6.10, -7.90
264     	-0.49, -15.21 	-1.78, -15.92 	-6.10, -7.90
344     	-0.51, -15.21 	-1.77, -15.96 	-6.10, -7.90
360     	-0.49, -15.20 	-1.77, -15.96 	-6.10, -7.90
375     	-0.49, -15.20 	-1.77, -15.96 	-6.10, -7.90
391     	-0.50, -15.25 	-1.77, -15.96 	-6.10, -7.90
407     	-0.51, -15.21 	-1.77, -15.96 	-6.10, -7.90
489     	-0.48, -15.25 	-1.76, -15.88 	-6.10, -7.90
506     	-0.50, -15.25 	-1.76, -16.00 	-6.10, -7.90
522     	-0.50, -15.25 	-1.76, -15.88 	-6.10, -7.90
539     	-0.50, -15.25 	-1.76, -15.88 	-6.10, -7.90
615     	-0.49, -15.29 	-1.78, -15.84 	-6.10, -7.90
632     	-0.49, -15.29 	-1.78, -15.87 	-6.10, -7.90
648     	-0.47, -15.33 	-1.79, -15.74 	-6.10, -7.90
664     	-0.48, -15.21 	-1.78, -15.72 	-6.10, -7.90
680     	-0.48, -15.21 	-1.76, -15.80 	-6.10, -7.90
757     	-0.46, -15.20 	-2.00, -14.60 	-6.10, -7.90
774     	-0.46, -15.19 	-2.16, -14.33 	-6.10, -7.90
790     	-0.45, -15.11 	-3.23, -13.10 	-6.10, -7.90
806     	-0.46, -15.27 	-3.33, -13.05 	-6.10, -7.90
822     	-0.46, -15.31 	-3.52, -12.48 	-6.10, -7.90
904     	-0.46, -15.31 	-6.33, -9.53 	-6.10, -7.90
