#Time 	Sensor1         	Sensor2         	Target         
#================================================================

17      	-0.44, -15.40 	-1.66, -15.72 	1.59, -11.08
34      	-0.44, -15.40 	-1.66, -15.80 	1.59, -11.08
50      	-0.44, -15.40 	-1.68, -15.81 	1.59, -11.08
67      	-0.44, -15.28 	-1.68, -15.81 	1.59, -11.08
83      	-0.44, -15.28 	-1.67, -15.81 	1.59, -11.08
99      	-0.43, -15.32 	-1.68, -15.65 	1.59, -11.08
115     	-0.43, -15.32 	-1.67, -15.69 	1.59, -11.08
195     	-0.41, -15.32 	-1.69, -15.76 	1.59, -11.08
211     	-0.42, -15.28 	-1.69, -15.76 	1.59, -11.08
227     	-0.41, -15.28 	-1.69, -15.76 	1.59, -11.08
244     	-0.41, -15.28 	-1.68, -15.76 	1.59, -11.08
265     	-0.42, -15.40 	-1.69, -15.76 	1.59, -11.08
349     	-0.42, -15.40 	-1.67, -15.80 	1.59, -11.08
370     	-0.42, -15.40 	-1.67, -15.88 	1.59, -11.08
386     	-0.42, -15.40 	-1.66, -15.88 	1.59, -11.08
402     	-0.42, -15.40 	-1.67, -15.80 	1.59, -11.08
419     	-0.42, -15.40 	-1.66, -15.85 	1.59, -11.08
500     	-0.40, -15.36 	-1.69, -15.93 	1.59, -11.08
516     	-0.40, -15.36 	-1.68, -15.88 	1.59, -11.08
532     	-0.42, -15.32 	-1.68, -15.88 	1.59, -11.08
549     	-0.42, -15.32 	-1.67, -15.85 	1.59, -11.08
566     	-0.42, -15.28 	-1.68, -15.84 	1.59, -11.08
653     	-0.41, -15.62 	-1.70, -15.93 	1.59, -11.08
669     	-0.43, -15.84 	-1.70, -15.82 	1.59, -11.08
693     	-0.39, -15.33 	-1.70, -15.65 	1.59, -11.08
719     	-0.08, -15.01 	-1.67, -15.88 	1.59, -11.08
735     	0.09, -13.08 	-1.67, -15.99 	1.59, -11.08
