#Time 	Sensor1         	Sensor2         	Target         
#================================================================

16      	-0.14, -16.66 	-0.69, -17.13 	6.35, 1.41
32      	-0.14, -16.66 	-0.69, -17.13 	6.35, 1.41
47      	-0.15, -16.70 	-0.69, -17.13 	6.35, 1.41
63      	-0.14, -16.65 	-0.70, -17.20 	6.35, 1.41
78      	-0.14, -16.61 	-0.70, -17.20 	6.35, 1.41
94      	-0.14, -16.61 	-0.68, -17.24 	6.35, 1.41
171     	-0.13, -16.58 	-0.70, -17.21 	6.35, 1.41
186     	-0.14, -16.57 	-0.70, -17.21 	6.35, 1.41
201     	-0.13, -16.58 	-0.71, -17.09 	6.35, 1.41
216     	-0.13, -16.58 	-0.70, -17.05 	6.35, 1.41
231     	-0.13, -16.58 	-0.70, -17.05 	6.35, 1.41
311     	-0.14, -16.65 	-0.70, -17.05 	6.35, 1.41
327     	-0.14, -16.50 	-0.70, -17.05 	6.35, 1.41
342     	-0.14, -16.49 	-0.70, -17.05 	6.35, 1.41
358     	-0.15, -16.49 	-0.70, -17.05 	6.35, 1.41
437     	-0.15, -16.58 	-0.70, -17.09 	6.35, 1.41
452     	-0.14, -16.61 	-94.37, 359.63 	6.35, 1.41
467     	-0.15, -16.61 	-0.70, -17.09 	6.35, 1.41
482     	-0.15, -16.57 	-0.70, -17.09 	6.35, 1.41
497     	-0.15, -16.69 	-0.69, -17.13 	6.35, 1.41
578     	-0.16, -16.61 	-0.70, -17.09 	6.35, 1.41
594     	-0.16, -16.61 	-0.70, -17.09 	6.35, 1.41
609     	-0.16, -16.61 	-0.70, -17.09 	6.35, 1.41
625     	-0.15, -16.61 	-0.70, -17.09 	6.35, 1.41
705     	-0.16, -16.63 	-0.68, -17.09 	6.35, 1.41
720     	-0.16, -16.70 	-0.68, -17.09 	6.35, 1.41
735     	-0.16, -16.70 	-0.70, -17.09 	6.35, 1.41
750     	-0.16, -16.63 	-0.71, -17.09 	6.35, 1.41
765     	-0.16, -16.63 	-0.71, -17.09 	6.35, 1.41
845     	-0.17, -16.58 	-0.72, -17.01 	6.35, 1.41
861     	-0.17, -16.58 	-0.71, -16.93 	6.35, 1.41
876     	-0.17, -16.58 	-0.71, -17.05 	6.35, 1.41
892     	-0.17, -16.58 	-0.71, -17.05 	6.35, 1.41
972     	-0.16, -16.58 	-0.71, -16.97 	6.35, 1.41
987     	-0.16, -16.71 	-0.71, -16.97 	6.35, 1.41
1002    	-0.16, -16.66 	-0.71, -17.09 	6.35, 1.41
1017    	-0.19, -16.54 	-94.44, 359.60 	6.35, 1.41
1032    	-0.17, -16.54 	-0.71, -17.02 	6.35, 1.41
1112    	-0.20, -16.82 	-94.48, 359.55 	6.35, 1.41
1128    	-0.21, -16.53 	-0.72, -17.13 	6.35, 1.41
1143    	-0.22, -16.47 	-0.72, -17.13 	6.35, 1.41
1159    	-0.24, -16.42 	-0.72, -17.05 	6.35, 1.41
1238    	-0.46, -11.07 	-0.71, -17.13 	6.35, 1.41
1253    	-0.43, -11.03 	-0.72, -17.05 	6.35, 1.41
1268    	-0.47, -10.54 	-0.73, -17.09 	6.35, 1.41
1283    	-0.46, -10.94 	-0.71, -17.16 	6.35, 1.41
1298    	-0.18, -15.62 	-0.74, -17.05 	6.35, 1.41
1378    	0.00, -14.79 	-0.74, -17.08 	6.35, 1.41
1393    	0.14, -14.63 	-0.73, -17.12 	6.35, 1.41
1408    	1.03, -14.05 	-0.73, -17.12 	6.35, 1.41
1473    	1.24, -12.48 	-0.75, -16.84 	6.35, 1.41
1488    	1.42, -11.76 	-0.74, -17.00 	6.35, 1.41
1503    	1.26, -5.93 	-0.76, -16.92 	6.35, 1.41
1518    	1.33, -5.18 	-94.79, 359.33 	6.35, 1.41
1533    	1.68, -10.32 	-0.75, -16.88 	6.35, 1.41
1613    	3.12, -6.59 	-0.74, -16.83 	6.35, 1.41
1628    	3.23, -6.22 	-0.74, -16.83 	6.35, 1.41
1660    	3.42, -5.26 	-94.84, 359.35 	6.35, 1.41
1675    	3.68, -4.02 	-0.74, -16.84 	6.35, 1.41
1691    	3.82, -3.78 	-0.73, -16.96 	6.35, 1.41
1772    	5.37, -0.67 	-0.75, -16.91 	6.35, 1.41
