#Time 	Sensor1         	Sensor2         	Target         
#================================================================

20      	-0.51, -15.37 	-1.78, -15.83 	-1.59, -11.08
39      	-0.51, -15.42 	-1.80, -15.83 	-1.59, -11.08
58      	-0.51, -15.46 	-1.80, -15.83 	-1.59, -11.08
77      	-0.52, -15.38 	-1.80, -15.87 	-1.59, -11.08
95      	-0.52, -15.33 	-1.79, -15.91 	-1.59, -11.08
114     	-0.52, -15.25 	-1.79, -15.91 	-1.59, -11.08
133     	-0.52, -15.25 	-1.79, -15.91 	-1.59, -11.08
151     	-0.52, -15.25 	-1.79, -16.03 	-1.59, -11.08
231     	-0.51, -15.25 	-1.79, -15.87 	-1.59, -11.08
249     	-0.51, -15.21 	-1.79, -15.91 	-1.59, -11.08
277     	-0.51, -15.25 	-1.79, -15.91 	-1.59, -11.08
301     	-0.51, -15.25 	-1.79, -15.87 	-1.59, -11.08
318     	-0.51, -15.22 	-1.79, -15.91 	-1.59, -11.08
336     	-0.53, -15.26 	-1.79, -15.91 	-1.59, -11.08
353     	-0.53, -15.26 	-1.78, -15.90 	-1.59, -11.08
431     	-0.53, -15.26 	-1.79, -15.83 	-1.59, -11.08
449     	-0.53, -15.26 	-1.79, -15.83 	-1.59, -11.08
465     	-0.53, -15.26 	-1.79, -15.78 	-1.59, -11.08
483     	-0.53, -15.26 	-1.79, -15.78 	-1.59, -11.08
505     	-0.53, -15.26 	-1.79, -15.78 	-1.59, -11.08
591     	-0.53, -15.25 	-1.79, -15.82 	-1.59, -11.08
609     	-0.51, -15.25 	-1.80, -15.86 	-1.59, -11.08
626     	-0.50, -15.33 	-1.78, -15.86 	-1.59, -11.08
642     	-0.50, -15.29 	-1.76, -15.90 	-1.59, -11.08
659     	-0.50, -15.29 	-1.79, -15.78 	-1.59, -11.08
680     	-0.50, -15.29 	-1.76, -15.69 	-1.59, -11.08
760     	-0.49, -15.29 	-1.68, -15.07 	-1.59, -11.08
778     	-0.49, -15.29 	-1.75, -14.61 	-1.59, -11.08
799     	-0.49, -15.29 	-1.83, -13.65 	-1.59, -11.08
