#Time 	Sensor1         	Sensor2         	Target         
#================================================================

20      	-0.33, -14.71 	-1.66, -15.70 	4.28, -12.34
39      	-0.33, -14.70 	-1.66, -15.66 	4.28, -12.34
57      	-0.33, -14.70 	-1.66, -15.66 	4.28, -12.34
76      	-0.33, -14.70 	-1.66, -15.66 	4.28, -12.34
95      	-0.32, -14.79 	-1.65, -15.74 	4.28, -12.34
113     	-0.32, -14.82 	-1.64, -15.73 	4.28, -12.34
131     	-0.32, -14.83 	-1.64, -15.73 	4.28, -12.34
149     	-0.32, -14.71 	-1.65, -15.61 	4.28, -12.34
235     	-0.32, -14.82 	-1.65, -15.73 	4.28, -12.34
261     	-0.32, -14.82 	-1.65, -15.65 	4.28, -12.34
278     	-0.32, -14.82 	-1.66, -15.66 	4.28, -12.34
295     	-0.32, -14.82 	-1.66, -15.66 	4.28, -12.34
312     	-0.32, -14.82 	-1.66, -15.70 	4.28, -12.34
330     	-0.32, -14.82 	-1.66, -15.70 	4.28, -12.34
407     	-0.32, -14.86 	-1.65, -15.69 	4.28, -12.34
424     	-0.32, -14.86 	-1.65, -15.73 	4.28, -12.34
446     	-0.32, -14.86 	-1.65, -15.69 	4.28, -12.34
468     	-0.32, -14.86 	-1.64, -15.69 	4.28, -12.34
502     	-0.33, -14.86 	-1.66, -15.65 	4.28, -12.34
520     	-0.32, -14.86 	-1.65, -15.72 	4.28, -12.34
537     	-0.32, -14.86 	-1.65, -15.72 	4.28, -12.34
622     	-0.32, -14.86 	-1.65, -15.72 	4.28, -12.34
648     	-0.33, -14.86 	-1.65, -15.76 	4.28, -12.34
665     	-0.33, -14.77 	-1.65, -15.76 	4.28, -12.34
681     	-0.32, -14.86 	-1.65, -15.76 	4.28, -12.34
703     	-0.32, -14.86 	-1.65, -15.76 	4.28, -12.34
720     	-0.34, -14.78 	-1.65, -15.68 	4.28, -12.34
736     	-0.32, -14.74 	-1.65, -15.68 	4.28, -12.34
828     	-0.29, -14.84 	-1.65, -15.73 	4.28, -12.34
854     	-0.25, -14.83 	-1.65, -15.77 	4.28, -12.34
871     	-0.17, -14.90 	-1.64, -15.72 	4.28, -12.34
887     	-0.15, -14.73 	-1.64, -15.72 	4.28, -12.34
909     	-0.09, -14.75 	-1.65, -15.80 	4.28, -12.34
926     	-0.07, -14.51 	-1.65, -15.80 	4.28, -12.34
942     	0.02, -14.35 	-1.66, -15.76 	4.28, -12.34
1034    	1.25, -14.21 	-1.64, -15.80 	4.28, -12.34
