#Time 	Sensor1         	Sensor2         	Target         
#================================================================

2728    	0.02, -14.48 	-11.82, -14.64 	0.00, 2.08
2810    	0.02, -14.47 	-11.80, -14.64 	0.00, 2.08
2829    	0.02, -14.47 	-11.80, -14.64 	0.00, 2.08
2849    	0.02, -14.47 	-11.80, -14.64 	0.00, 2.08
2868    	0.02, -14.52 	-11.80, -14.64 	0.00, 2.08
2887    	0.02, -14.52 	-11.80, -14.64 	0.00, 2.08
2907    	0.02, -14.52 	-11.80, -14.64 	0.00, 2.08
2986    	0.02, -14.52 	-11.81, -14.60 	0.00, 2.08
3004    	0.02, -14.52 	-11.81, -14.60 	0.00, 2.08
3023    	0.02, -14.52 	-11.83, -14.60 	0.00, 2.08
3040    	0.02, -14.52 	-11.83, -14.60 	0.00, 2.08
3058    	0.02, -14.52 	-11.83, -14.60 	0.00, 2.08
3134    	0.01, -14.44 	-11.81, -14.60 	0.00, 2.08
3152    	0.01, -14.44 	-11.81, -14.60 	0.00, 2.08
3168    	0.02, -14.52 	-11.81, -14.60 	0.00, 2.08
3186    	0.02, -14.52 	-11.81, -14.60 	0.00, 2.08
3203    	0.02, -14.52 	-11.81, -14.60 	0.00, 2.08
3283    	0.01, -14.51 	-11.81, -14.60 	0.00, 2.08
3300    	0.02, -14.52 	-11.81, -14.60 	0.00, 2.08
3316    	0.02, -14.52 	-11.81, -14.60 	0.00, 2.08
3371    	0.02, -14.52 	-11.81, -14.60 	0.00, 2.08
3388    	0.01, -14.48 	-11.81, -14.60 	0.00, 2.08
3404    	0.02, -14.52 	-11.81, -14.56 	0.00, 2.08
3422    	0.01, -14.48 	-11.81, -14.56 	0.00, 2.08
3439    	0.01, -14.48 	-11.81, -14.56 	0.00, 2.08
3520    	0.02, -14.52 	-11.81, -14.56 	0.00, 2.08
3554    	0.02, -14.52 	-11.82, -14.56 	0.00, 2.08
3571    	0.02, -14.52 	-11.81, -14.60 	0.00, 2.08
3588    	0.02, -14.52 	-11.81, -14.60 	0.00, 2.08
3613    	0.02, -14.52 	-11.81, -14.60 	0.00, 2.08
3669    	0.02, -14.52 	-11.82, -14.56 	0.00, 2.08
3686    	0.01, -14.51 	-11.82, -14.56 	0.00, 2.08
3702    	0.02, -14.52 	-11.82, -14.56 	0.00, 2.08
3719    	0.02, -14.52 	-11.82, -14.56 	0.00, 2.08
3736    	0.03, -14.51 	-11.82, -14.56 	0.00, 2.08
3821    	0.02, -14.52 	-11.81, -14.60 	0.00, 2.08
3839    	0.02, -14.52 	-11.81, -14.60 	0.00, 2.08
3855    	0.02, -14.52 	-11.81, -14.60 	0.00, 2.08
3871    	0.02, -14.52 	-11.81, -14.56 	0.00, 2.08
3888    	0.02, -14.52 	-11.81, -14.60 	0.00, 2.08
3966    	0.04, -14.51 	-11.82, -14.56 	0.00, 2.08
3991    	0.02, -14.52 	-11.82, -14.56 	0.00, 2.08
4008    	0.04, -14.51 	-11.82, -14.56 	0.00, 2.08
4029    	0.04, -14.51 	-11.82, -14.56 	0.00, 2.08
4046    	0.04, -14.51 	-11.82, -14.56 	0.00, 2.08
4063    	0.02, -14.52 	-11.83, -14.56 	0.00, 2.08
4150    	0.01, -14.48 	-11.82, -14.65 	0.00, 2.08
4171    	0.03, -14.48 	-11.81, -14.65 	0.00, 2.08
4188    	0.03, -14.48 	-11.82, -14.65 	0.00, 2.08
4204    	0.03, -14.48 	-11.82, -14.65 	0.00, 2.08
4221    	0.03, -14.48 	-11.82, -14.65 	0.00, 2.08
4243    	0.03, -14.48 	-11.83, -14.69 	0.00, 2.08
4329    	0.02, -14.51 	-11.82, -14.61 	0.00, 2.08
4350    	0.02, -14.51 	-11.83, -14.65 	0.00, 2.08
4366    	0.02, -14.43 	-11.82, -14.65 	0.00, 2.08
4382    	0.02, -14.43 	-11.82, -14.65 	0.00, 2.08
4452    	0.02, -14.47 	-11.82, -14.69 	0.00, 2.08
4473    	0.02, -14.47 	-11.82, -14.73 	0.00, 2.08
4491    	0.03, -14.47 	-11.82, -14.73 	0.00, 2.08
4507    	0.03, -14.47 	-11.82, -14.73 	0.00, 2.08
4523    	0.03, -14.47 	-11.82, -14.69 	0.00, 2.08
4540    	0.03, -14.47 	-11.82, -14.69 	0.00, 2.08
4622    	0.04, -14.47 	-11.81, -14.65 	0.00, 2.08
4643    	0.04, -14.47 	-11.82, -14.65 	0.00, 2.08
4660    	0.03, -14.54 	-11.83, -14.65 	0.00, 2.08
4681    	0.03, -14.54 	-11.82, -14.65 	0.00, 2.08
4697    	0.04, -14.47 	-11.82, -14.65 	0.00, 2.08
4713    	0.04, -14.47 	-11.83, -14.60 	0.00, 2.08
4801    	0.03, -14.46 	-11.82, -14.69 	0.00, 2.08
4822    	0.03, -14.46 	-11.82, -14.61 	0.00, 2.08
4839    	0.03, -14.43 	-11.82, -14.61 	0.00, 2.08
4860    	0.03, -14.43 	-11.84, -14.65 	0.00, 2.08
4876    	0.03, -14.46 	-11.84, -14.65 	0.00, 2.08
4892    	0.03, -14.43 	-11.84, -14.65 	0.00, 2.08
4970    	0.04, -14.47 	-11.81, -14.65 	0.00, 2.08
4986    	0.04, -14.47 	-11.84, -14.65 	0.00, 2.08
5007    	0.04, -14.46 	-11.84, -14.61 	0.00, 2.08
5028    	0.04, -14.58 	-11.83, -14.61 	0.00, 2.08
