#Time 	Sensor1         	Sensor2         	Target         
#================================================================

2632    	-0.06, -14.57 	-11.77, -14.83 	-9.15, -4.23
2647    	-0.06, -14.57 	-11.77, -14.83 	-9.15, -4.23
2662    	-0.08, -14.70 	-11.77, -14.83 	-9.15, -4.23
2677    	-0.06, -14.57 	-11.77, -14.83 	-9.15, -4.23
2692    	-0.08, -14.70 	-11.77, -14.83 	-9.15, -4.23
2772    	-0.08, -14.57 	-11.77, -14.79 	-9.15, -4.23
2787    	-0.09, -14.53 	-11.77, -14.79 	-9.15, -4.23
2802    	-0.09, -14.53 	-11.77, -14.79 	-9.15, -4.23
2818    	-0.08, -14.54 	-103.68, 340.79 	-9.15, -4.23
2897    	-0.07, -14.54 	-103.68, 340.79 	-9.15, -4.23
2912    	-0.07, -14.57 	-11.77, -14.75 	-9.15, -4.23
2927    	-0.07, -14.57 	-11.77, -14.75 	-9.15, -4.23
2942    	-0.07, -14.57 	-11.77, -14.83 	-9.15, -4.23
2957    	-0.07, -14.53 	-11.77, -14.83 	-9.15, -4.23
3038    	-0.07, -14.53 	-11.76, -14.83 	-9.15, -4.23
3058    	-0.06, -14.57 	-11.77, -14.79 	-9.15, -4.23
3073    	-0.08, -14.57 	-11.76, -14.91 	-9.15, -4.23
3092    	-0.06, -14.57 	-11.76, -14.91 	-9.15, -4.23
3116    	-0.07, -14.58 	-11.76, -14.87 	-9.15, -4.23
3195    	-0.08, -14.41 	-11.76, -14.82 	-9.15, -4.23
3211    	-0.08, -14.41 	-11.76, -14.82 	-9.15, -4.23
3229    	-0.08, -14.45 	-11.76, -14.82 	-9.15, -4.23
3246    	-0.08, -14.42 	-11.76, -14.82 	-9.15, -4.23
3266    	-0.08, -14.42 	-11.76, -14.82 	-9.15, -4.23
3345    	-0.08, -14.46 	-11.76, -14.79 	-9.15, -4.23
3364    	-0.09, -14.45 	-11.76, -14.79 	-9.15, -4.23
3384    	-0.09, -14.49 	-11.76, -14.79 	-9.15, -4.23
3403    	-0.08, -14.50 	-11.77, -14.79 	-9.15, -4.23
3422    	-0.08, -14.41 	-11.77, -14.79 	-9.15, -4.23
3442    	-0.08, -14.45 	-11.77, -14.79 	-9.15, -4.23
3525    	-0.08, -14.46 	-11.78, -14.71 	-9.15, -4.23
3544    	-0.08, -14.50 	-11.77, -14.71 	-9.15, -4.23
3564    	-0.08, -14.50 	-11.78, -14.71 	-9.15, -4.23
3583    	-0.08, -14.50 	-11.78, -14.71 	-9.15, -4.23
3602    	-0.08, -14.46 	-11.78, -14.71 	-9.15, -4.23
3622    	-0.06, -14.49 	-11.77, -14.71 	-9.15, -4.23
3703    	-0.07, -14.49 	-11.77, -14.71 	-9.15, -4.23
3721    	-0.07, -14.49 	-11.77, -14.71 	-9.15, -4.23
3749    	-0.07, -14.48 	-11.77, -14.71 	-9.15, -4.23
3766    	-0.07, -14.49 	-11.77, -14.71 	-9.15, -4.23
