#Time 	Sensor1         	Sensor2         	Target         
#================================================================

17      	-0.63, -15.55 	-2.17, -15.13 	0.00, 6.41
34      	-0.63, -15.55 	-2.17, -15.13 	0.00, 6.41
50      	-0.63, -15.55 	-2.16, -15.20 	0.00, 6.41
74      	-0.63, -15.55 	-2.16, -15.16 	0.00, 6.41
91      	-0.64, -15.58 	-2.17, -15.12 	0.00, 6.41
107     	-0.62, -15.63 	-2.16, -15.16 	0.00, 6.41
124     	-0.62, -15.63 	-2.15, -15.16 	0.00, 6.41
201     	-0.62, -15.63 	-2.17, -15.15 	0.00, 6.41
217     	-0.62, -15.63 	-2.17, -15.15 	0.00, 6.41
233     	-0.62, -15.63 	-2.17, -15.15 	0.00, 6.41
253     	-0.62, -15.63 	-2.18, -15.15 	0.00, 6.41
319     	-0.61, -15.67 	-2.18, -15.04 	0.00, 6.41
336     	-0.61, -15.67 	-2.19, -15.08 	0.00, 6.41
361     	-0.61, -15.67 	-2.25, -15.04 	0.00, 6.41
377     	-0.61, -15.66 	-2.22, -15.01 	0.00, 6.41
394     	-0.61, -15.66 	-2.26, -15.09 	0.00, 6.41
410     	-0.62, -15.66 	-2.29, -15.77 	0.00, 6.41
492     	-0.62, -15.66 	-2.32, -15.65 	0.00, 6.41
515     	-0.62, -15.66 	-2.31, -15.74 	0.00, 6.41
531     	-0.62, -15.66 	-2.31, -15.74 	0.00, 6.41
547     	-0.62, -15.62 	-2.31, -15.70 	0.00, 6.41
563     	-0.62, -15.66 	-2.32, -15.66 	0.00, 6.41
640     	-0.62, -15.57 	-2.18, -14.97 	0.00, 6.41
657     	-0.63, -15.62 	-2.15, -15.07 	0.00, 6.41
673     	-0.63, -15.62 	-2.17, -15.13 	0.00, 6.41
697     	-0.63, -15.62 	-2.19, -14.99 	0.00, 6.41
714     	-0.63, -15.66 	-2.21, -15.01 	0.00, 6.41
795     	-0.69, -15.43 	-3.21, -14.42 	0.00, 6.41
811     	-0.66, -15.50 	-3.23, -14.26 	0.00, 6.41
827     	-0.65, -15.50 	-3.26, -14.39 	0.00, 6.41
843     	-0.68, -15.59 	-3.24, -14.41 	0.00, 6.41
860     	-0.67, -15.67 	-3.25, -14.45 	0.00, 6.41
942     	-0.66, -15.58 	-3.31, -14.28 	0.00, 6.41
958     	-0.68, -15.78 	-3.32, -14.32 	0.00, 6.41
974     	-0.69, -15.61 	-3.30, -14.39 	0.00, 6.41
990     	-0.53, -15.58 	-3.31, -14.44 	0.00, 6.41
1007    	-0.39, -15.64 	-3.30, -14.57 	0.00, 6.41
1090    	-0.03, -6.29 	-3.32, -14.53 	0.00, 6.41
1106    	0.02, -5.68 	-3.32, -14.57 	0.00, 6.41
1122    	0.06, -4.92 	-3.32, -14.61 	0.00, 6.41
1138    	0.08, -4.61 	-3.32, -14.58 	0.00, 6.41
1155    	0.12, -3.35 	-3.31, -14.57 	0.00, 6.41
1238    	0.43, -4.18 	-3.35, -14.61 	0.00, 6.41
1254    	0.42, -3.89 	-3.32, -14.52 	0.00, 6.41
1270    	0.46, -2.65 	-3.33, -14.53 	0.00, 6.41
1287    	0.30, 3.78 	-3.33, -14.64 	0.00, 6.41
