#Time 	Sensor1         	Sensor2         	Target         
#================================================================

16      	-0.28, -15.91 	-1.61, -16.25 	6.35, 1.41
32      	-0.28, -15.91 	-1.62, -16.22 	6.35, 1.41
48      	-0.28, -15.91 	-1.60, -16.21 	6.35, 1.41
64      	-0.28, -15.91 	-94.21, 354.53 	6.35, 1.41
80      	-0.30, -15.87 	-1.60, -16.17 	6.35, 1.41
141     	-0.29, -15.83 	-1.59, -16.34 	6.35, 1.41
156     	-0.28, -15.87 	-1.59, -16.34 	6.35, 1.41
171     	-0.29, -15.83 	-1.60, -16.34 	6.35, 1.41
187     	-0.29, -15.80 	-1.61, -16.26 	6.35, 1.41
202     	-0.29, -15.87 	-1.59, -16.29 	6.35, 1.41
282     	-0.31, -15.95 	-1.60, -16.38 	6.35, 1.41
298     	-0.31, -15.95 	-1.58, -16.38 	6.35, 1.41
314     	-0.31, -15.95 	-1.59, -16.46 	6.35, 1.41
330     	-0.31, -15.95 	-1.59, -16.46 	6.35, 1.41
408     	-0.31, -15.83 	-1.59, -16.45 	6.35, 1.41
423     	-0.30, -15.87 	-94.03, 354.48 	6.35, 1.41
438     	-0.29, -16.00 	-1.60, -16.49 	6.35, 1.41
453     	-0.29, -16.00 	-1.60, -16.45 	6.35, 1.41
468     	-0.30, -15.88 	-1.60, -16.49 	6.35, 1.41
549     	-0.30, -16.02 	-1.62, -16.21 	6.35, 1.41
564     	-0.30, -16.02 	-1.62, -16.37 	6.35, 1.41
579     	-0.29, -15.95 	-1.63, -16.25 	6.35, 1.41
595     	-0.29, -15.95 	-1.62, -16.29 	6.35, 1.41
674     	-0.30, -15.87 	-1.61, -16.29 	6.35, 1.41
689     	-0.30, -15.87 	-1.60, -16.33 	6.35, 1.41
704     	-0.29, -15.82 	-1.60, -16.29 	6.35, 1.41
719     	-0.28, -15.95 	-1.62, -16.17 	6.35, 1.41
738     	-0.27, -15.90 	-1.61, -16.17 	6.35, 1.41
815     	-0.35, -15.49 	-1.59, -16.29 	6.35, 1.41
831     	-0.34, -15.49 	-1.60, -16.33 	6.35, 1.41
847     	-0.34, -15.57 	-1.58, -16.24 	6.35, 1.41
863     	-0.35, -15.57 	-1.60, -16.09 	6.35, 1.41
941     	-0.67, -9.50 	-1.61, -16.12 	6.35, 1.41
956     	-0.62, -9.92 	-1.61, -16.08 	6.35, 1.41
971     	-0.38, -15.50 	-1.62, -16.13 	6.35, 1.41
987     	-0.33, -15.77 	-1.63, -16.20 	6.35, 1.41
1002    	-0.29, -16.08 	-1.64, -16.16 	6.35, 1.41
1082    	-0.26, -7.48 	-1.67, -16.19 	6.35, 1.41
1098    	-0.19, -6.85 	-1.66, -16.15 	6.35, 1.41
1114    	-0.14, -6.06 	-1.67, -16.30 	6.35, 1.41
1130    	-0.05, -6.02 	-1.68, -16.18 	6.35, 1.41
1208    	1.76, -7.81 	-1.69, -16.17 	6.35, 1.41
1223    	2.00, -6.34 	-1.69, -16.10 	6.35, 1.41
1238    	2.01, 0.24 	-1.69, -16.10 	6.35, 1.41
1253    	2.12, 0.56 	-1.69, -16.22 	6.35, 1.41
