#Time 	Sensor1         	Sensor2         	Target         
#================================================================

16      	-0.41, -15.25 	-1.69, -15.64 	-12.83, -6.55
31      	-0.41, -15.25 	-1.69, -15.68 	-12.83, -6.55
47      	-0.41, -15.25 	-1.69, -15.67 	-12.83, -6.55
63      	-0.41, -15.25 	-1.69, -15.68 	-12.83, -6.55
79      	-0.41, -15.25 	-115.51, 349.01 	-12.83, -6.55
94      	-0.41, -15.25 	-1.69, -15.72 	-12.83, -6.55
170     	-0.41, -15.25 	-1.69, -15.76 	-12.83, -6.55
185     	-0.41, -15.25 	-1.69, -15.80 	-12.83, -6.55
200     	-0.42, -15.25 	-1.68, -15.84 	-12.83, -6.55
215     	-0.42, -15.25 	-1.68, -15.84 	-12.83, -6.55
230     	-0.42, -15.25 	-1.68, -15.84 	-12.83, -6.55
310     	-0.42, -15.34 	-1.69, -15.72 	-12.83, -6.55
326     	-0.41, -15.38 	-1.69, -15.71 	-12.83, -6.55
342     	-0.41, -15.26 	-115.50, 348.93 	-12.83, -6.55
358     	-0.41, -15.26 	-1.68, -15.67 	-12.83, -6.55
436     	-0.41, -15.26 	-1.68, -15.67 	-12.83, -6.55
451     	-0.42, -15.30 	-1.68, -15.67 	-12.83, -6.55
467     	-0.42, -15.30 	-1.69, -15.67 	-12.83, -6.55
482     	-0.42, -15.30 	-1.69, -15.67 	-12.83, -6.55
554     	-0.41, -15.22 	-1.68, -15.63 	-12.83, -6.55
569     	-0.42, -15.25 	-1.68, -15.67 	-12.83, -6.55
584     	-0.42, -15.22 	-1.68, -15.59 	-12.83, -6.55
600     	-0.41, -15.25 	-1.68, -15.63 	-12.83, -6.55
615     	-0.42, -15.25 	-1.68, -15.63 	-12.83, -6.55
695     	-0.42, -15.38 	-1.69, -15.72 	-12.83, -6.55
711     	-0.41, -15.26 	-1.68, -15.72 	-12.83, -6.55
727     	-0.41, -15.26 	-1.68, -15.68 	-12.83, -6.55
743     	-0.41, -15.26 	-1.68, -15.64 	-12.83, -6.55
820     	-0.42, -15.17 	-1.69, -15.71 	-12.83, -6.55
835     	-0.42, -15.17 	-1.69, -15.71 	-12.83, -6.55
850     	-0.42, -15.17 	-1.69, -15.71 	-12.83, -6.55
865     	-0.42, -15.17 	-1.69, -15.71 	-12.83, -6.55
880     	-0.42, -15.17 	-115.47, 348.95 	-12.83, -6.55
960     	-0.41, -15.25 	-1.69, -15.66 	-12.83, -6.55
976     	-0.42, -15.17 	-1.68, -15.78 	-12.83, -6.55
992     	-0.42, -15.17 	-1.69, -15.79 	-12.83, -6.55
1008    	-0.42, -15.17 	-1.69, -15.70 	-12.83, -6.55
1086    	-0.42, -15.17 	-1.70, -15.79 	-12.83, -6.55
1101    	-0.42, -15.21 	-1.75, -15.70 	-12.83, -6.55
1116    	-0.42, -15.21 	-1.74, -15.73 	-12.83, -6.55
1131    	-0.42, -15.21 	-1.75, -14.97 	-12.83, -6.55
1146    	-0.42, -15.21 	-1.78, -15.04 	-12.83, -6.55
1225    	-0.40, -15.16 	-2.17, -15.61 	-12.83, -6.55
1241    	-0.40, -15.17 	-3.19, -15.42 	-12.83, -6.55
1257    	-0.41, -15.13 	-3.52, -14.40 	-12.83, -6.55
1273    	-0.40, -15.16 	-3.75, -14.39 	-12.83, -6.55
1352    	-0.37, -14.57 	-6.64, -13.29 	-12.83, -6.55
1367    	-0.37, -14.49 	-6.87, -12.77 	-12.83, -6.55
1382    	-0.41, -15.16 	-7.86, -12.77 	-12.83, -6.55
1397    	-0.37, -14.57 	92.74, 312.99 	-12.83, -6.55
1412    	-0.35, -14.57 	-8.49, -12.09 	-12.83, -6.55
1492    	-0.37, -14.60 	-11.28, -10.30 	-12.83, -6.55
1508    	-0.37, -14.60 	-11.53, -9.95 	-12.83, -6.55
1524    	-0.37, -14.60 	-11.68, -9.85 	-12.83, -6.55
1540    	-0.36, -14.60 	-11.86, -9.02 	-12.83, -6.55
