#Time 	Sensor1         	Sensor2         	Target         
#================================================================

16      	-0.35, -15.21 	-1.61, -15.83 	15.52, -9.55
33      	-0.35, -15.21 	-1.60, -15.91 	15.52, -9.55
49      	-0.35, -15.21 	-1.61, -15.91 	15.52, -9.55
73      	-0.35, -15.20 	-1.60, -15.91 	15.52, -9.55
90      	-0.35, -15.25 	-1.60, -15.91 	15.52, -9.55
106     	-0.35, -15.25 	-1.61, -15.96 	15.52, -9.55
123     	-0.35, -15.29 	-1.59, -15.95 	15.52, -9.55
202     	-0.35, -15.33 	-1.63, -15.99 	15.52, -9.55
218     	-0.34, -15.36 	-1.63, -15.99 	15.52, -9.55
234     	-0.34, -15.36 	-1.63, -15.87 	15.52, -9.55
250     	-0.34, -15.37 	-1.63, -15.87 	15.52, -9.55
267     	-0.34, -15.37 	-1.63, -15.87 	15.52, -9.55
350     	-0.34, -15.37 	-1.63, -15.87 	15.52, -9.55
366     	-0.34, -15.37 	-1.62, -15.83 	15.52, -9.55
382     	-0.34, -15.37 	-1.63, -15.91 	15.52, -9.55
398     	-0.34, -15.37 	-1.63, -15.87 	15.52, -9.55
415     	-0.33, -15.44 	-1.61, -15.90 	15.52, -9.55
506     	-0.34, -15.37 	-1.61, -15.87 	15.52, -9.55
522     	-0.34, -15.37 	-1.61, -15.87 	15.52, -9.55
539     	-0.34, -15.37 	-1.62, -15.95 	15.52, -9.55
555     	-0.34, -15.29 	-1.62, -15.95 	15.52, -9.55
571     	-0.54, -10.08 	-1.62, -15.95 	15.52, -9.55
587     	-0.55, -10.04 	-1.62, -15.95 	15.52, -9.55
669     	-0.08, -14.62 	-1.63, -15.99 	15.52, -9.55
686     	0.09, -14.79 	-1.62, -16.05 	15.52, -9.55
706     	1.03, -14.76 	-1.65, -15.78 	15.52, -9.55
722     	1.28, -14.05 	-1.66, -15.82 	15.52, -9.55
738     	1.38, -13.79 	-1.66, -15.90 	15.52, -9.55
817     	4.94, -11.94 	-1.65, -15.80 	15.52, -9.55
834     	5.17, -11.81 	-1.67, -15.72 	15.52, -9.55
850     	6.42, -11.47 	-1.66, -15.84 	15.52, -9.55
866     	6.93, -10.88 	-1.66, -15.80 	15.52, -9.55
882     	8.20, -10.64 	-1.67, -15.76 	15.52, -9.55
964     	11.45, -9.29 	-1.64, -15.88 	15.52, -9.55
