#Time 	Sensor1         	Sensor2         	Target         
#================================================================

17      	-0.46, -15.21 	-1.70, -15.60 	12.83, -6.55
33      	-0.47, -15.22 	-1.69, -15.64 	12.83, -6.55
49      	-0.46, -15.26 	-1.69, -15.65 	12.83, -6.55
65      	-0.46, -15.26 	-1.68, -15.68 	12.83, -6.55
81      	-0.46, -15.26 	-1.68, -15.68 	12.83, -6.55
140     	-0.46, -15.34 	-1.68, -15.65 	12.83, -6.55
156     	-0.46, -15.34 	-1.67, -15.65 	12.83, -6.55
172     	-0.46, -15.34 	-1.68, -15.68 	12.83, -6.55
188     	-0.46, -15.26 	-1.67, -15.73 	12.83, -6.55
204     	-0.46, -15.22 	-1.67, -15.73 	12.83, -6.55
281     	-0.47, -15.30 	-1.69, -15.72 	12.83, -6.55
298     	-0.47, -15.22 	-1.68, -15.72 	12.83, -6.55
314     	-0.47, -15.22 	-1.68, -15.72 	12.83, -6.55
330     	-0.47, -15.22 	-1.68, -15.72 	12.83, -6.55
406     	-0.46, -15.26 	-1.70, -15.73 	12.83, -6.55
422     	-0.46, -15.26 	-1.70, -15.64 	12.83, -6.55
438     	-0.45, -15.30 	-1.69, -15.69 	12.83, -6.55
454     	-0.45, -15.18 	-1.69, -15.69 	12.83, -6.55
524     	-0.46, -15.22 	-1.68, -15.80 	12.83, -6.55
544     	-0.46, -15.22 	-1.66, -15.80 	12.83, -6.55
561     	-0.46, -15.22 	-1.66, -15.85 	12.83, -6.55
577     	-0.46, -15.22 	-1.65, -15.85 	12.83, -6.55
594     	-0.46, -15.22 	-1.65, -15.85 	12.83, -6.55
673     	-0.45, -15.25 	-1.66, -15.92 	12.83, -6.55
694     	-0.48, -15.26 	-1.66, -15.92 	12.83, -6.55
715     	-0.45, -15.22 	-1.67, -15.85 	12.83, -6.55
731     	-0.49, -15.26 	-1.68, -15.84 	12.83, -6.55
747     	-0.49, -15.47 	-1.68, -15.84 	12.83, -6.55
763     	-0.44, -15.57 	-1.67, -15.84 	12.83, -6.55
845     	-0.44, -15.34 	-1.69, -15.79 	12.83, -6.55
868     	-0.43, -15.24 	-1.67, -15.79 	12.83, -6.55
884     	-0.20, -14.52 	-1.67, -15.75 	12.83, -6.55
900     	-0.04, -14.36 	-1.66, -15.83 	12.83, -6.55
921     	0.08, -14.22 	-1.65, -15.91 	12.83, -6.55
1000    	1.88, -12.84 	-1.62, -15.72 	12.83, -6.55
1016    	3.01, -12.07 	-1.62, -15.72 	12.83, -6.55
1032    	3.20, -11.74 	-1.63, -15.80 	12.83, -6.55
1048    	3.33, -11.56 	-1.60, -15.76 	12.83, -6.55
1064    	4.51, -11.42 	-1.61, -15.76 	12.83, -6.55
1145    	6.73, -9.53 	-1.61, -15.63 	12.83, -6.55
1161    	7.09, -9.52 	-1.61, -15.63 	12.83, -6.55
1177    	8.33, -9.11 	-1.61, -15.60 	12.83, -6.55
1193    	8.71, -8.20 	-1.62, -15.56 	12.83, -6.55
1209    	9.92, -8.36 	-1.61, -15.60 	12.83, -6.55
