#Time 	Sensor1         	Sensor2         	Target         
#================================================================

16      	-0.17, -16.54 	-0.66, -16.98 	-6.10, -7.90
32      	-0.17, -16.54 	-0.66, -16.94 	-6.10, -7.90
48      	-0.16, -16.62 	-0.66, -16.94 	-6.10, -7.90
64      	-0.16, -16.62 	-0.67, -17.02 	-6.10, -7.90
80      	-0.16, -16.62 	-0.68, -17.07 	-6.10, -7.90
96      	-0.16, -16.57 	-0.66, -17.02 	-6.10, -7.90
111     	-0.16, -16.57 	-96.01, 359.50 	-6.10, -7.90
194     	-0.20, -16.49 	-0.68, -16.99 	-6.10, -7.90
210     	-0.20, -16.45 	-0.65, -17.03 	-6.10, -7.90
226     	-0.20, -16.45 	-0.67, -17.07 	-6.10, -7.90
242     	-0.17, -16.49 	-96.01, 359.59 	-6.10, -7.90
320     	-0.17, -16.54 	-0.68, -16.95 	-6.10, -7.90
335     	-0.16, -16.57 	-0.69, -16.88 	-6.10, -7.90
350     	-0.16, -16.62 	-0.68, -16.99 	-6.10, -7.90
365     	-0.16, -16.58 	-0.69, -16.91 	-6.10, -7.90
380     	-0.16, -16.61 	-0.68, -16.95 	-6.10, -7.90
460     	-0.19, -16.58 	-0.67, -17.03 	-6.10, -7.90
476     	-0.19, -16.58 	-0.68, -17.03 	-6.10, -7.90
492     	-0.19, -16.58 	-0.68, -17.03 	-6.10, -7.90
508     	-0.19, -16.58 	-0.68, -16.91 	-6.10, -7.90
586     	-0.18, -16.66 	-0.70, -16.95 	-6.10, -7.90
601     	-0.18, -16.66 	-95.94, 359.54 	-6.10, -7.90
616     	-0.18, -16.66 	-0.70, -16.95 	-6.10, -7.90
631     	-0.18, -16.66 	-0.70, -16.95 	-6.10, -7.90
646     	-0.18, -16.66 	-0.70, -16.95 	-6.10, -7.90
726     	-0.18, -16.66 	-0.69, -16.78 	-6.10, -7.90
742     	-0.18, -16.66 	-0.69, -16.85 	-6.10, -7.90
758     	-0.18, -16.66 	-0.65, -16.78 	-6.10, -7.90
774     	-0.18, -16.65 	-0.67, -16.56 	-6.10, -7.90
853     	-0.19, -16.57 	-1.92, -14.62 	-6.10, -7.90
868     	-0.19, -16.57 	-2.01, -14.44 	-6.10, -7.90
883     	-0.18, -16.65 	-2.14, -14.41 	-6.10, -7.90
898     	-0.16, -16.60 	-3.21, -13.01 	-6.10, -7.90
913     	-0.16, -16.65 	-99.95, 335.10 	-6.10, -7.90
993     	-0.17, -16.52 	-4.84, -10.68 	-6.10, -7.90
