#Time 	Sensor1         	Sensor2         	Target         
#================================================================

16      	-0.60, -9.92 	-1.61, -15.70 	-6.35, 1.41
32      	-0.59, -9.92 	-1.59, -15.78 	-6.35, 1.41
47      	-0.57, -9.92 	-1.60, -15.77 	-6.35, 1.41
63      	-0.58, -9.97 	-1.58, -15.81 	-6.35, 1.41
78      	-0.39, -15.14 	-1.58, -15.85 	-6.35, 1.41
94      	-0.39, -15.14 	-1.61, -15.70 	-6.35, 1.41
171     	-0.38, -15.25 	-1.60, -15.64 	-6.35, 1.41
186     	-0.37, -15.17 	-1.62, -15.65 	-6.35, 1.41
201     	-0.56, -9.96 	-1.62, -15.65 	-6.35, 1.41
217     	-0.57, -10.00 	-1.60, -15.77 	-6.35, 1.41
232     	-0.58, -9.96 	-1.59, -15.85 	-6.35, 1.41
313     	-0.58, -9.92 	-1.59, -15.80 	-6.35, 1.41
329     	-0.39, -15.12 	-1.59, -15.80 	-6.35, 1.41
344     	-0.39, -15.12 	-1.60, -15.76 	-6.35, 1.41
360     	-0.39, -15.17 	-1.59, -15.76 	-6.35, 1.41
439     	-0.59, -10.00 	-1.61, -15.71 	-6.35, 1.41
454     	-0.57, -10.00 	-1.61, -15.63 	-6.35, 1.41
469     	-0.57, -10.00 	-1.61, -15.71 	-6.35, 1.41
485     	-0.58, -9.88 	-1.61, -15.71 	-6.35, 1.41
500     	-0.59, -9.91 	-1.60, -15.75 	-6.35, 1.41
580     	-0.59, -10.00 	-1.61, -15.67 	-6.35, 1.41
596     	-0.59, -9.95 	-1.59, -15.80 	-6.35, 1.41
611     	-0.57, -9.98 	-1.59, -15.86 	-6.35, 1.41
627     	-0.59, -9.87 	-1.57, -15.77 	-6.35, 1.41
706     	-0.37, -15.20 	-1.81, -14.20 	-6.35, 1.41
721     	-0.40, -15.11 	-1.89, -14.04 	-6.35, 1.41
736     	-0.43, -15.05 	-1.96, -13.41 	-6.35, 1.41
751     	-0.41, -15.11 	-2.12, -12.88 	-6.35, 1.41
766     	-0.42, -15.15 	-109.98, 329.59 	-6.35, 1.41
846     	-0.44, -15.27 	-3.51, -8.74 	-6.35, 1.41
862     	-0.46, -15.28 	-108.32, 292.64 	-6.35, 1.41
877     	-0.45, -15.24 	-4.65, -1.52 	-6.35, 1.41
