#Time 	Sensor1         	Sensor2         	Target         
#================================================================

16      	-8.93, -16.59 	-34.31, 142.81 	-9.15, -4.23
33      	-8.94, -16.59 	58.21, 600.76 	-9.15, -4.23
50      	-8.92, -16.51 	-34.29, 142.88 	-9.15, -4.23
66      	-8.96, -16.40 	-34.33, 143.37 	-9.15, -4.23
81      	-8.96, -16.47 	-34.33, 143.41 	-9.15, -4.23
141     	-8.97, -16.26 	-34.28, 143.52 	-9.15, -4.23
157     	-8.98, -16.25 	-34.29, 143.31 	-9.15, -4.23
173     	-8.98, -16.31 	-34.29, 143.55 	-9.15, -4.23
188     	-9.00, -16.35 	-34.32, 143.34 	-9.15, -4.23
203     	-8.99, -16.35 	-34.34, 143.42 	-9.15, -4.23
283     	-8.98, -16.35 	-34.29, 142.98 	-9.15, -4.23
299     	-8.98, -16.34 	-34.28, 142.69 	-9.15, -4.23
315     	-8.97, -16.46 	-34.25, 142.90 	-9.15, -4.23
379     	-8.95, -16.48 	-34.29, 142.95 	-9.15, -4.23
395     	-8.95, -16.41 	-34.26, 142.69 	-9.15, -4.23
410     	-8.95, -16.33 	-34.30, 142.48 	-9.15, -4.23
425     	-8.97, -16.26 	-34.29, 142.64 	-9.15, -4.23
440     	-8.97, -16.25 	-34.28, 142.68 	-9.15, -4.23
520     	-8.88, -16.31 	-34.31, 143.06 	-9.15, -4.23
536     	-8.80, -15.89 	-34.32, 143.06 	-9.15, -4.23
552     	-8.75, -15.64 	-34.26, 142.73 	-9.15, -4.23
568     	-8.61, -15.73 	-34.29, 142.77 	-9.15, -4.23
645     	-7.47, -14.67 	-34.31, 143.13 	-9.15, -4.23
660     	-7.32, -14.45 	-34.24, 142.95 	-9.15, -4.23
675     	-7.21, -14.37 	-34.24, 142.95 	-9.15, -4.23
694     	-7.04, -14.23 	-34.28, 143.22 	-9.15, -4.23
709     	-6.07, -14.04 	-34.26, 143.27 	-9.15, -4.23
786     	-5.56, -13.59 	-34.29, 143.46 	-9.15, -4.23
802     	-5.46, -13.19 	-34.32, 143.61 	-9.15, -4.23
818     	-5.39, -12.89 	-34.31, 143.47 	-9.15, -4.23
834     	-5.36, -12.93 	-34.38, 143.70 	-9.15, -4.23
913     	-4.12, -12.58 	-34.25, 143.74 	-9.15, -4.23
929     	-3.98, -11.72 	-34.26, 143.22 	-9.15, -4.23
944     	-3.93, -11.50 	-34.25, 143.39 	-9.15, -4.23
959     	-3.91, -11.52 	-34.27, 143.43 	-9.15, -4.23
974     	-3.75, -11.52 	-34.32, 143.47 	-9.15, -4.23
1053    	-2.71, -11.27 	-34.31, 143.44 	-9.15, -4.23
1069    	-2.63, -11.21 	-34.34, 143.55 	-9.15, -4.23
1085    	-2.55, -11.25 	-34.36, 143.39 	-9.15, -4.23
1101    	-2.52, -11.16 	-34.35, 143.16 	-9.15, -4.23
1203    	-2.12, -10.39 	59.06, 600.77 	-9.15, -4.23
1219    	-2.01, -10.32 	-34.32, 142.45 	-9.15, -4.23
1235    	-1.98, -10.25 	-34.31, 142.02 	-9.15, -4.23
1254    	-1.92, -10.23 	-34.30, 142.11 	-9.15, -4.23
1269    	-1.08, -10.24 	-34.28, 142.05 	-9.15, -4.23
1284    	-1.06, -10.19 	-34.20, 142.04 	-9.15, -4.23
1299    	-1.02, -10.20 	-34.17, 141.80 	-9.15, -4.23
1379    	-0.73, -10.17 	-34.22, 141.82 	-9.15, -4.23
1395    	-0.62, -9.78 	-34.22, 141.78 	-9.15, -4.23
1411    	-0.59, -9.75 	-34.26, 141.83 	-9.15, -4.23
1427    	-0.50, -9.20 	-34.28, 141.76 	-9.15, -4.23
1509    	0.66, -9.14 	-34.09, 136.19 	-9.15, -4.23
1525    	0.75, -9.02 	-34.12, 136.18 	-9.15, -4.23
1540    	0.79, -9.21 	-34.13, 136.03 	-9.15, -4.23
1555    	0.83, -9.35 	-34.13, 136.23 	-9.15, -4.23
1624    	1.26, -8.73 	-34.35, 141.88 	-9.15, -4.23
1639    	1.27, -8.59 	59.09, 600.51 	-9.15, -4.23
1654    	1.28, -8.44 	-34.30, 142.16 	-9.15, -4.23
1669    	1.34, -7.88 	-34.29, 142.03 	-9.15, -4.23
1684    	1.37, -7.91 	-34.27, 142.06 	-9.15, -4.23
1764    	2.29, -7.97 	-34.35, 142.59 	-9.15, -4.23
1780    	2.31, -8.00 	-34.31, 142.41 	-9.15, -4.23
