#Time 	Sensor1         	Sensor2         	Target         
#================================================================

16      	-0.42, -15.24 	-99.24, 351.71 	-7.93, 5.57
31      	-0.42, -15.22 	-1.68, -15.69 	-7.93, 5.57
46      	-0.42, -15.23 	-1.68, -15.69 	-7.93, 5.57
62      	-0.42, -15.22 	-1.68, -15.69 	-7.93, 5.57
78      	-0.42, -15.22 	-1.68, -15.69 	-7.93, 5.57
94      	-0.43, -15.27 	-1.68, -15.69 	-7.93, 5.57
171     	-0.42, -15.31 	-1.66, -15.69 	-7.93, 5.57
186     	-0.43, -15.31 	-1.66, -15.69 	-7.93, 5.57
201     	-0.43, -15.27 	-1.68, -15.72 	-7.93, 5.57
216     	-0.43, -15.27 	-1.67, -15.73 	-7.93, 5.57
231     	-0.43, -15.27 	-99.21, 351.70 	-7.93, 5.57
311     	-0.42, -15.27 	-1.67, -15.61 	-7.93, 5.57
327     	-0.42, -15.27 	-1.67, -15.65 	-7.93, 5.57
343     	-0.42, -15.27 	-1.67, -15.65 	-7.93, 5.57
358     	-0.41, -15.31 	-1.67, -15.61 	-7.93, 5.57
460     	-0.41, -15.35 	-1.67, -15.65 	-7.93, 5.57
476     	-0.41, -15.39 	-99.16, 351.76 	-7.93, 5.57
491     	-0.41, -15.39 	-1.67, -15.66 	-7.93, 5.57
506     	-0.40, -15.47 	-1.68, -15.57 	-7.93, 5.57
521     	-0.41, -15.35 	-1.66, -15.46 	-7.93, 5.57
544     	-0.41, -15.35 	-1.68, -15.37 	-7.93, 5.57
559     	-0.41, -15.39 	-1.68, -15.35 	-7.93, 5.57
639     	-0.40, -15.42 	-1.60, -16.21 	-7.93, 5.57
655     	-0.40, -15.42 	-1.61, -16.05 	-7.93, 5.57
670     	-0.40, -15.42 	-1.64, -15.36 	-7.93, 5.57
686     	-0.41, -15.42 	-1.74, -15.21 	-7.93, 5.57
765     	-0.41, -15.46 	-3.37, -11.91 	-7.93, 5.57
780     	-0.39, -15.46 	-3.50, -11.78 	-7.93, 5.57
795     	-0.38, -15.49 	-3.91, -5.04 	-7.93, 5.57
810     	-0.37, -15.69 	-4.95, -3.37 	-7.93, 5.57
825     	-0.38, -15.65 	-100.19, 303.36 	-7.93, 5.57
913     	-0.39, -15.27 	-6.27, -5.03 	-7.93, 5.57
928     	-0.40, -15.39 	-6.52, 1.18 	-7.93, 5.57
943     	-0.40, -15.51 	-6.39, -3.01 	-7.93, 5.57
958     	-0.39, -15.47 	-6.42, -2.98 	-7.93, 5.57
973     	-0.38, -15.39 	-6.48, -2.55 	-7.93, 5.57
1053    	-0.39, -15.54 	-6.50, 0.04 	-7.93, 5.57
1069    	-0.39, -15.54 	-7.34, 1.02 	-7.93, 5.57
1084    	-0.39, -15.54 	-7.36, 1.21 	-7.93, 5.57
1100    	-0.38, -15.74 	-7.34, 1.94 	-7.93, 5.57
1179    	-0.38, -15.70 	-7.62, 3.76 	-7.93, 5.57
