#Time 	Sensor1         	Sensor2         	Target         
#================================================================

16      	18.81, -16.17 	-34.09, 135.60 	0.00, -10.91
32      	18.81, -16.01 	-34.10, 135.79 	0.00, -10.91
48      	18.81, -16.17 	-34.12, 135.86 	0.00, -10.91
64      	18.81, -16.17 	-34.12, 135.86 	0.00, -10.91
80      	18.81, -16.17 	-34.14, 135.94 	0.00, -10.91
96      	18.80, -16.21 	-34.14, 135.91 	0.00, -10.91
111     	18.80, -16.13 	-34.17, 135.93 	0.00, -10.91
194     	18.81, -15.97 	-34.13, 135.60 	0.00, -10.91
210     	18.81, -16.17 	-34.15, 135.46 	0.00, -10.91
226     	18.81, -16.17 	-34.15, 135.41 	0.00, -10.91
242     	18.81, -16.17 	49.39, 604.85 	0.00, -10.91
319     	18.82, -16.14 	-34.18, 135.99 	0.00, -10.91
334     	18.82, -16.14 	49.48, 604.63 	0.00, -10.91
350     	18.82, -16.14 	-34.24, 135.72 	0.00, -10.91
365     	18.82, -16.14 	-34.25, 135.59 	0.00, -10.91
381     	18.82, -16.10 	-34.26, 135.99 	0.00, -10.91
460     	18.81, -16.18 	-34.20, 136.02 	0.00, -10.91
476     	18.79, -16.18 	-34.24, 136.20 	0.00, -10.91
492     	18.79, -16.18 	-34.24, 135.86 	0.00, -10.91
555     	18.80, -16.10 	-34.20, 136.10 	0.00, -10.91
571     	18.80, -16.10 	-34.21, 136.13 	0.00, -10.91
586     	18.80, -16.10 	-34.20, 136.32 	0.00, -10.91
601     	18.80, -16.06 	-34.21, 136.28 	0.00, -10.91
616     	18.79, -16.10 	-34.20, 136.19 	0.00, -10.91
696     	18.80, -16.22 	-34.39, 141.44 	0.00, -10.91
712     	18.81, -16.17 	-34.39, 141.46 	0.00, -10.91
728     	18.80, -16.42 	-34.36, 141.53 	0.00, -10.91
744     	18.80, -16.29 	49.37, 605.91 	0.00, -10.91
821     	18.80, -16.27 	-34.19, 136.20 	0.00, -10.91
836     	18.80, -16.47 	-34.15, 136.13 	0.00, -10.91
851     	18.81, -16.50 	-34.15, 136.24 	0.00, -10.91
866     	18.81, -16.42 	48.55, 605.65 	0.00, -10.91
881     	18.80, -16.34 	-34.35, 141.54 	0.00, -10.91
961     	18.77, -16.35 	49.41, 605.38 	0.00, -10.91
977     	18.59, -16.35 	-34.34, 141.47 	0.00, -10.91
993     	17.33, -16.33 	-34.16, 136.29 	0.00, -10.91
1009    	17.30, -16.06 	-34.34, 141.54 	0.00, -10.91
