#Time 	Sensor1         	Sensor2         	Target         
#================================================================

16      	0.68, -15.64 	-34.32, 135.10 	12.83, -6.55
32      	0.68, -15.64 	-34.30, 135.03 	12.83, -6.55
48      	0.67, -15.64 	-34.30, 134.82 	12.83, -6.55
64      	0.67, -15.64 	47.86, 604.11 	12.83, -6.55
80      	0.67, -15.64 	-34.25, 135.33 	12.83, -6.55
95      	0.67, -15.64 	-34.29, 135.22 	12.83, -6.55
110     	0.67, -15.64 	-34.28, 135.30 	12.83, -6.55
192     	0.67, -15.64 	-34.28, 135.20 	12.83, -6.55
208     	0.67, -15.64 	47.91, 603.85 	12.83, -6.55
224     	0.67, -15.64 	-34.32, 135.14 	12.83, -6.55
240     	0.67, -15.64 	-34.32, 135.12 	12.83, -6.55
317     	0.66, -15.64 	-34.27, 134.72 	12.83, -6.55
333     	0.66, -15.64 	-34.27, 134.72 	12.83, -6.55
348     	0.67, -15.64 	-34.28, 135.11 	12.83, -6.55
363     	0.69, -15.72 	-34.30, 135.17 	12.83, -6.55
378     	0.67, -15.64 	-34.30, 135.14 	12.83, -6.55
458     	0.69, -15.54 	-34.34, 135.31 	12.83, -6.55
474     	0.69, -15.43 	-34.33, 135.44 	12.83, -6.55
491     	0.69, -15.14 	-34.35, 135.65 	12.83, -6.55
506     	0.71, -15.18 	-34.35, 135.49 	12.83, -6.55
584     	0.75, -15.52 	-34.33, 135.44 	12.83, -6.55
599     	0.76, -15.67 	-34.32, 135.32 	12.83, -6.55
614     	0.76, -15.54 	47.92, 603.98 	12.83, -6.55
630     	0.77, -15.61 	-34.33, 135.25 	12.83, -6.55
702     	0.84, -15.37 	-34.29, 135.23 	12.83, -6.55
717     	0.84, -15.39 	-34.29, 135.47 	12.83, -6.55
732     	0.85, -15.29 	-34.25, 135.39 	12.83, -6.55
747     	0.85, -15.33 	-34.28, 135.39 	12.83, -6.55
762     	0.88, -14.55 	-34.28, 135.39 	12.83, -6.55
842     	0.90, -14.13 	-34.26, 135.40 	12.83, -6.55
858     	0.90, -14.03 	-34.25, 135.10 	12.83, -6.55
874     	0.92, -14.10 	-34.26, 135.25 	12.83, -6.55
937     	0.91, -14.01 	-34.27, 135.14 	12.83, -6.55
952     	0.94, -13.92 	-34.25, 135.11 	12.83, -6.55
967     	0.91, -13.69 	-34.26, 135.20 	12.83, -6.55
983     	0.91, -13.67 	-34.23, 135.01 	12.83, -6.55
998     	0.92, -13.55 	-34.23, 135.03 	12.83, -6.55
1078    	0.95, -12.87 	-34.25, 135.43 	12.83, -6.55
1094    	0.96, -12.94 	-34.25, 135.39 	12.83, -6.55
1110    	0.95, -12.99 	-34.27, 135.68 	12.83, -6.55
1126    	0.97, -12.89 	-34.29, 135.57 	12.83, -6.55
1203    	0.96, -12.76 	-34.31, 135.41 	12.83, -6.55
1218    	0.96, -12.78 	-34.29, 135.31 	12.83, -6.55
1233    	0.95, -12.91 	-34.29, 135.27 	12.83, -6.55
1248    	0.96, -12.94 	-34.30, 135.53 	12.83, -6.55
1263    	0.94, -12.89 	-34.29, 135.27 	12.83, -6.55
1343    	0.93, -12.53 	-34.24, 134.98 	12.83, -6.55
1359    	0.93, -12.51 	-34.25, 134.90 	12.83, -6.55
1375    	0.92, -12.32 	-34.26, 135.01 	12.83, -6.55
1391    	0.93, -11.69 	-34.24, 135.02 	12.83, -6.55
1469    	0.95, -11.58 	-34.33, 135.18 	12.83, -6.55
1485    	0.94, -11.55 	-34.35, 135.15 	12.83, -6.55
1500    	0.93, -11.47 	-34.32, 135.02 	12.83, -6.55
1515    	0.93, -11.54 	-34.31, 134.87 	12.83, -6.55
1530    	0.93, -11.43 	-34.32, 134.82 	12.83, -6.55
1610    	0.94, -11.19 	-34.30, 134.55 	12.83, -6.55
1626    	0.93, -11.21 	-34.30, 134.55 	12.83, -6.55
1645    	0.93, -10.38 	-34.33, 134.69 	12.83, -6.55
1660    	0.94, -10.29 	-34.28, 134.87 	12.83, -6.55
1675    	0.94, -10.47 	-34.26, 134.77 	12.83, -6.55
1758    	0.90, -10.24 	-34.26, 134.73 	12.83, -6.55
1774    	0.89, -10.14 	-34.25, 134.69 	12.83, -6.55
1789    	0.88, -10.18 	-34.29, 134.29 	12.83, -6.55
1805    	0.87, -10.12 	-34.31, 134.25 	12.83, -6.55
1884    	0.87, -10.02 	-34.35, 134.32 	12.83, -6.55
1899    	0.86, -10.09 	47.70, 603.53 	12.83, -6.55
1914    	0.85, -10.14 	-35.18, 133.99 	12.83, -6.55
