#Time 	Sensor1         	Sensor2         	Target         
#================================================================

17      	-0.20, -15.84 	-0.72, -16.15 	6.10, -7.90
34      	-0.20, -15.84 	-0.72, -16.10 	6.10, -7.90
50      	-0.20, -15.84 	-0.72, -16.10 	6.10, -7.90
66      	-0.20, -15.84 	-1.55, -16.19 	6.10, -7.90
82      	-0.20, -15.84 	-1.57, -16.19 	6.10, -7.90
98      	-0.20, -15.84 	-1.56, -16.27 	6.10, -7.90
124     	-0.20, -15.84 	-1.56, -16.23 	6.10, -7.90
201     	-0.20, -15.72 	-1.55, -16.19 	6.10, -7.90
217     	-0.20, -15.72 	-1.56, -16.12 	6.10, -7.90
233     	-0.20, -15.84 	-1.57, -16.08 	6.10, -7.90
257     	-0.20, -15.84 	-1.56, -16.11 	6.10, -7.90
274     	-0.20, -15.80 	-1.56, -16.03 	6.10, -7.90
350     	-0.20, -15.83 	-1.57, -16.16 	6.10, -7.90
366     	-0.20, -15.83 	-1.58, -16.07 	6.10, -7.90
382     	-0.20, -15.83 	-1.58, -16.07 	6.10, -7.90
398     	-0.23, -15.72 	-1.58, -16.19 	6.10, -7.90
414     	-0.23, -15.72 	-1.58, -16.19 	6.10, -7.90
496     	-0.20, -15.79 	-1.57, -16.15 	6.10, -7.90
512     	-0.22, -15.80 	-1.57, -16.15 	6.10, -7.90
528     	-0.22, -15.80 	-1.56, -16.19 	6.10, -7.90
544     	-0.22, -15.80 	-1.58, -16.19 	6.10, -7.90
560     	-0.22, -15.80 	-1.58, -16.23 	6.10, -7.90
637     	-0.22, -15.68 	-1.58, -16.07 	6.10, -7.90
653     	-0.22, -15.68 	-1.58, -16.15 	6.10, -7.90
669     	-0.22, -15.80 	-1.58, -16.11 	6.10, -7.90
685     	-0.22, -15.80 	-1.58, -16.23 	6.10, -7.90
701     	-0.22, -15.80 	-1.58, -16.19 	6.10, -7.90
783     	-0.23, -15.69 	-1.56, -16.18 	6.10, -7.90
800     	-0.23, -15.72 	-1.56, -16.18 	6.10, -7.90
824     	-0.23, -15.48 	-1.58, -16.14 	6.10, -7.90
840     	-0.21, -15.89 	-1.57, -16.27 	6.10, -7.90
857     	-0.21, -15.78 	-1.57, -16.26 	6.10, -7.90
939     	-0.25, -15.61 	-1.56, -16.31 	6.10, -7.90
955     	-0.24, -15.52 	-1.56, -16.43 	6.10, -7.90
971     	-0.24, -15.45 	-1.56, -16.39 	6.10, -7.90
987     	-0.21, -15.49 	-1.55, -16.23 	6.10, -7.90
1003    	-0.19, -15.50 	-1.57, -16.23 	6.10, -7.90
1079    	0.01, -15.58 	-1.57, -16.35 	6.10, -7.90
1096    	1.20, -14.90 	-1.57, -16.31 	6.10, -7.90
1117    	1.53, -14.29 	-1.58, -16.22 	6.10, -7.90
1133    	1.82, -13.01 	-1.59, -16.13 	6.10, -7.90
1149    	2.87, -12.61 	-1.61, -16.14 	6.10, -7.90
1227    	4.86, -10.80 	-1.60, -16.18 	6.10, -7.90
