#Time 	Sensor1         	Sensor2         	Target         
#================================================================

17      	-8.68, -16.25 	-34.37, 143.17 	0.00, -10.91
40      	-8.67, -16.33 	-34.38, 143.17 	0.00, -10.91
56      	-8.68, -16.25 	-34.42, 142.93 	0.00, -10.91
72      	-8.69, -16.17 	-34.42, 142.67 	0.00, -10.91
96      	-8.68, -16.21 	-34.42, 142.39 	0.00, -10.91
112     	-8.69, -16.17 	-34.40, 142.39 	0.00, -10.91
133     	-8.69, -16.17 	-34.36, 142.09 	0.00, -10.91
157     	-8.68, -16.25 	-34.36, 142.52 	0.00, -10.91
230     	-8.69, -16.25 	-34.36, 142.56 	0.00, -10.91
251     	-8.69, -16.29 	-34.40, 142.65 	0.00, -10.91
274     	-8.69, -16.29 	-34.40, 142.63 	0.00, -10.91
290     	-8.70, -16.21 	-34.42, 142.56 	0.00, -10.91
306     	-8.70, -16.21 	-34.43, 142.56 	0.00, -10.91
322     	-8.70, -16.21 	-34.41, 142.44 	0.00, -10.91
401     	-8.68, -16.21 	-34.36, 142.25 	0.00, -10.91
418     	-8.68, -16.21 	-34.37, 141.84 	0.00, -10.91
434     	-8.68, -16.21 	-34.37, 141.87 	0.00, -10.91
450     	-8.68, -16.21 	-34.38, 141.94 	0.00, -10.91
466     	-8.68, -16.21 	-34.38, 142.03 	0.00, -10.91
549     	-8.69, -16.25 	-34.15, 136.26 	0.00, -10.91
574     	-8.70, -16.25 	-34.16, 136.19 	0.00, -10.91
590     	-8.70, -16.25 	-34.14, 136.43 	0.00, -10.91
606     	-8.70, -16.25 	-34.33, 141.59 	0.00, -10.91
623     	-8.70, -16.25 	-34.34, 141.87 	0.00, -10.91
702     	-8.71, -15.98 	-34.31, 141.62 	0.00, -10.91
727     	-8.66, -16.07 	-34.31, 141.62 	0.00, -10.91
744     	-8.64, -15.92 	-34.28, 141.48 	0.00, -10.91
760     	-8.61, -15.98 	-34.31, 141.57 	0.00, -10.91
781     	-8.62, -15.99 	-34.29, 141.77 	0.00, -10.91
798     	-8.62, -15.94 	-34.31, 141.97 	0.00, -10.91
880     	-8.60, -15.99 	-34.30, 141.86 	0.00, -10.91
905     	-7.72, -16.01 	-34.34, 142.40 	0.00, -10.91
930     	-7.65, -15.63 	-34.31, 142.39 	0.00, -10.91
960     	-7.53, -15.58 	-34.31, 141.79 	0.00, -10.91
977     	-7.36, -15.77 	-34.32, 141.63 	0.00, -10.91
993     	-7.36, -15.52 	-34.36, 141.60 	0.00, -10.91
1010    	-7.29, -15.54 	-34.33, 141.60 	0.00, -10.91
1089    	-7.12, -15.30 	-34.28, 141.70 	0.00, -10.91
1109    	-7.03, -15.22 	-34.27, 141.90 	0.00, -10.91
1126    	-6.92, -14.56 	-34.26, 142.23 	0.00, -10.91
1142    	-5.97, -14.58 	-34.25, 142.18 	0.00, -10.91
1159    	-5.90, -14.41 	-34.26, 142.50 	0.00, -10.91
1238    	-5.60, -13.92 	-34.28, 143.20 	0.00, -10.91
1254    	-5.50, -14.07 	-34.27, 143.11 	0.00, -10.91
1270    	-5.35, -14.01 	-34.26, 143.34 	0.00, -10.91
1286    	-5.31, -13.86 	-34.26, 143.34 	0.00, -10.91
1303    	-4.39, -13.79 	-34.26, 143.33 	0.00, -10.91
1385    	-3.99, -13.09 	-34.28, 143.05 	0.00, -10.91
1406    	-3.97, -12.92 	-34.28, 142.95 	0.00, -10.91
1423    	-3.84, -12.79 	-34.31, 143.39 	0.00, -10.91
1440    	-3.80, -12.90 	-34.30, 143.60 	0.00, -10.91
1456    	-3.72, -12.80 	-34.33, 143.40 	0.00, -10.91
1534    	-2.62, -12.49 	-34.35, 143.37 	0.00, -10.91
