#Time 	Sensor1         	Sensor2         	Target         
#================================================================

2645    	0.02, -14.45 	-11.84, -14.76 	-12.20, -0.55
2737    	0.01, -14.41 	-11.84, -14.72 	-12.20, -0.55
2758    	0.01, -14.41 	-11.84, -14.72 	-12.20, -0.55
2774    	0.01, -14.41 	-11.84, -14.72 	-12.20, -0.55
2790    	0.01, -14.41 	-11.83, -14.72 	-12.20, -0.55
2807    	0.01, -14.33 	-11.83, -14.72 	-12.20, -0.55
2823    	0.01, -14.41 	-11.83, -14.72 	-12.20, -0.55
2910    	0.01, -14.44 	-11.83, -14.72 	-12.20, -0.55
2926    	0.01, -14.41 	-11.83, -14.72 	-12.20, -0.55
2943    	0.01, -14.41 	-11.83, -14.72 	-12.20, -0.55
2964    	0.01, -14.44 	-11.83, -14.72 	-12.20, -0.55
2980    	0.01, -14.41 	-11.83, -14.72 	-12.20, -0.55
2996    	0.01, -14.41 	-11.83, -14.72 	-12.20, -0.55
3087    	0.01, -14.45 	-11.83, -14.72 	-12.20, -0.55
3103    	0.01, -14.41 	-11.84, -14.72 	-12.20, -0.55
3119    	0.01, -14.41 	-11.84, -14.72 	-12.20, -0.55
3135    	0.01, -14.49 	-11.83, -14.73 	-12.20, -0.55
3160    	0.01, -14.46 	-11.84, -14.73 	-12.20, -0.55
3176    	0.01, -14.41 	-11.83, -14.73 	-12.20, -0.55
3254    	0.01, -14.45 	-11.84, -14.73 	-12.20, -0.55
3271    	0.01, -14.45 	-11.83, -14.73 	-12.20, -0.55
3287    	0.01, -14.45 	-11.83, -14.73 	-12.20, -0.55
3303    	0.01, -14.45 	-11.83, -14.73 	-12.20, -0.55
3379    	0.01, -14.45 	-11.83, -14.73 	-12.20, -0.55
3405    	0.01, -14.44 	-11.85, -14.68 	-12.20, -0.55
3422    	0.01, -14.49 	-11.83, -14.68 	-12.20, -0.55
3438    	0.01, -14.49 	-11.83, -14.68 	-12.20, -0.55
3454    	0.01, -14.49 	-11.83, -14.68 	-12.20, -0.55
