#Time 	Sensor1         	Sensor2         	Target         
#================================================================

24      	-0.31, -15.77 	-1.66, -16.31 	0.00, -6.58
39      	-0.34, -15.73 	-1.67, -16.31 	0.00, -6.58
55      	-0.34, -15.73 	-1.66, -16.38 	0.00, -6.58
70      	-0.33, -15.69 	-1.66, -16.38 	0.00, -6.58
85      	-0.32, -15.70 	-94.19, 354.42 	0.00, -6.58
100     	-0.32, -15.70 	-1.64, -16.37 	0.00, -6.58
115     	-0.32, -15.69 	-1.64, -16.37 	0.00, -6.58
203     	-0.31, -15.73 	-1.66, -16.18 	0.00, -6.58
218     	-0.31, -15.73 	-1.65, -16.30 	0.00, -6.58
233     	-0.31, -15.65 	-1.66, -16.38 	0.00, -6.58
248     	-0.30, -15.69 	-1.66, -16.26 	0.00, -6.58
263     	-0.30, -15.69 	-94.22, 354.38 	0.00, -6.58
342     	-0.29, -15.85 	-1.67, -16.26 	0.00, -6.58
358     	-0.31, -15.85 	-1.67, -16.26 	0.00, -6.58
374     	-0.31, -15.85 	-1.67, -16.26 	0.00, -6.58
390     	-0.32, -15.70 	-1.67, -16.26 	0.00, -6.58
469     	-0.31, -15.70 	-1.68, -16.26 	0.00, -6.58
484     	-0.30, -15.74 	-1.68, -16.26 	0.00, -6.58
499     	-0.30, -15.74 	-1.68, -16.26 	0.00, -6.58
514     	-0.30, -15.74 	-1.66, -16.18 	0.00, -6.58
529     	-0.30, -15.74 	-1.66, -16.30 	0.00, -6.58
610     	-0.30, -15.78 	-1.64, -16.33 	0.00, -6.58
626     	-0.30, -15.78 	-1.64, -16.33 	0.00, -6.58
642     	-0.30, -15.78 	-1.64, -16.33 	0.00, -6.58
658     	-0.30, -15.78 	-94.21, 354.35 	0.00, -6.58
759     	-0.29, -15.89 	-1.64, -16.33 	0.00, -6.58
775     	-0.29, -15.89 	-1.64, -16.33 	0.00, -6.58
791     	-0.29, -15.89 	-1.65, -16.46 	0.00, -6.58
807     	-0.29, -15.89 	-1.65, -16.34 	0.00, -6.58
823     	-0.29, -15.89 	-1.65, -16.34 	0.00, -6.58
838     	-0.29, -15.89 	-94.24, 354.37 	0.00, -6.58
914     	-0.28, -15.85 	-1.61, -16.32 	0.00, -6.58
929     	-0.29, -15.73 	-1.60, -16.55 	0.00, -6.58
944     	-0.28, -15.77 	-94.51, 354.72 	0.00, -6.58
959     	-0.28, -15.81 	-1.55, -16.46 	0.00, -6.58
1032    	-0.28, -15.85 	-1.60, -16.10 	0.00, -6.58
1047    	-0.28, -15.85 	-1.71, -16.04 	0.00, -6.58
1062    	-0.28, -15.85 	-1.78, -15.08 	0.00, -6.58
1077    	-0.28, -15.81 	-1.82, -14.62 	0.00, -6.58
1092    	-0.27, -15.74 	-1.97, -14.05 	0.00, -6.58
1172    	-0.28, -15.84 	-1.87, -12.56 	0.00, -6.58
1187    	-0.26, -15.79 	-1.96, -11.85 	0.00, -6.58
1203    	-0.25, -16.00 	-2.02, -11.66 	0.00, -6.58
1218    	-0.25, -16.00 	-2.04, -10.89 	0.00, -6.58
1297    	-0.25, -16.04 	-2.92, -9.00 	0.00, -6.58
