#Time 	Sensor1         	Sensor2         	Target         
#================================================================

17      	-0.49, -9.97 	-1.54, -15.87 	3.17, -6.92
42      	-0.50, -10.01 	-1.55, -15.87 	3.17, -6.92
63      	-0.50, -10.01 	-1.54, -15.87 	3.17, -6.92
79      	-0.30, -15.13 	-1.55, -15.87 	3.17, -6.92
96      	-0.29, -15.18 	-1.55, -15.78 	3.17, -6.92
112     	-0.29, -15.18 	-1.54, -15.82 	3.17, -6.92
128     	-0.29, -15.18 	-1.54, -15.82 	3.17, -6.92
144     	-0.49, -9.93 	-1.54, -15.82 	3.17, -6.92
225     	-0.50, -9.97 	-1.55, -15.71 	3.17, -6.92
242     	-0.50, -9.97 	-1.54, -15.75 	3.17, -6.92
258     	-0.50, -9.97 	-1.55, -15.78 	3.17, -6.92
274     	-0.50, -9.97 	-1.55, -15.79 	3.17, -6.92
290     	-0.49, -10.01 	-1.56, -15.66 	3.17, -6.92
373     	-0.49, -9.97 	-1.54, -15.66 	3.17, -6.92
390     	-0.49, -9.97 	-1.54, -15.74 	3.17, -6.92
406     	-0.49, -9.97 	-1.55, -15.74 	3.17, -6.92
422     	-0.49, -9.97 	-1.55, -15.66 	3.17, -6.92
438     	-0.49, -9.97 	-1.55, -15.66 	3.17, -6.92
520     	-0.30, -15.14 	-1.54, -15.70 	3.17, -6.92
537     	-0.30, -15.14 	-1.54, -15.82 	3.17, -6.92
553     	-0.30, -15.14 	-1.54, -15.82 	3.17, -6.92
569     	-0.49, -10.02 	-1.54, -15.82 	3.17, -6.92
645     	-0.49, -9.97 	-1.54, -15.90 	3.17, -6.92
661     	-0.50, -9.98 	-1.54, -15.82 	3.17, -6.92
677     	-0.30, -15.18 	-0.69, -15.86 	3.17, -6.92
693     	-0.56, -9.93 	-1.53, -15.90 	3.17, -6.92
709     	-0.36, -15.19 	-1.53, -15.90 	3.17, -6.92
785     	-0.21, -14.83 	-1.60, -15.85 	3.17, -6.92
802     	-0.16, -13.90 	-1.63, -15.68 	3.17, -6.92
818     	-0.27, -13.29 	-1.66, -15.72 	3.17, -6.92
834     	-0.24, -12.85 	-1.65, -15.88 	3.17, -6.92
850     	-0.39, -7.34 	-1.65, -15.92 	3.17, -6.92
