#Time 	Sensor1         	Sensor2         	Target         
#================================================================

16      	-0.55, -10.10 	-1.60, -15.76 	-6.10, -7.90
40      	-0.55, -10.10 	-1.59, -15.63 	-6.10, -7.90
55      	-0.55, -10.10 	-1.59, -15.71 	-6.10, -7.90
70      	-0.55, -10.10 	-1.59, -15.71 	-6.10, -7.90
85      	-0.55, -10.10 	-1.59, -15.71 	-6.10, -7.90
100     	-0.55, -10.10 	-1.58, -15.71 	-6.10, -7.90
115     	-0.55, -10.10 	-1.58, -15.71 	-6.10, -7.90
192     	-0.55, -10.10 	-1.58, -15.79 	-6.10, -7.90
208     	-0.55, -10.10 	-1.57, -15.79 	-6.10, -7.90
223     	-0.57, -10.06 	-1.58, -15.75 	-6.10, -7.90
239     	-0.57, -10.06 	-1.58, -15.75 	-6.10, -7.90
319     	-0.57, -10.06 	-1.58, -15.83 	-6.10, -7.90
334     	-0.57, -10.06 	-1.58, -15.75 	-6.10, -7.90
349     	-0.57, -10.06 	-1.58, -15.75 	-6.10, -7.90
364     	-0.57, -10.06 	-1.57, -15.88 	-6.10, -7.90
379     	-0.57, -10.06 	-1.57, -15.71 	-6.10, -7.90
460     	-0.37, -15.23 	-100.49, 351.67 	-6.10, -7.90
483     	-0.37, -15.23 	-1.59, -15.79 	-6.10, -7.90
498     	-0.37, -15.23 	-1.59, -15.79 	-6.10, -7.90
513     	-0.37, -15.23 	-1.58, -15.87 	-6.10, -7.90
528     	-0.37, -15.23 	-1.57, -15.79 	-6.10, -7.90
608     	-0.58, -10.09 	-1.55, -15.98 	-6.10, -7.90
624     	-0.55, -10.09 	-1.68, -14.73 	-6.10, -7.90
639     	-0.37, -15.22 	-1.77, -14.62 	-6.10, -7.90
655     	-0.37, -15.22 	-101.97, 334.95 	-6.10, -7.90
735     	-0.35, -15.40 	-3.52, -10.69 	-6.10, -7.90
750     	-0.35, -15.40 	-4.86, -4.99 	-6.10, -7.90
