#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	1.50, -8.82, 2.85 	0.12, 0.75, -6.36 	0.00, 30.00 	11,29,9,938		inf,inf	0,0 	0
0       	1.26, -8.88, 2.77 	0.06, 0.76, -6.40 	0.00, 30.00 	11,29,9,938		inf,inf	0,0 	0
0       	1.23, -8.93, 2.80 	0.04, 0.77, -6.39 	0.00, 30.00 	11,29,9,938		inf,inf	0,0 	0
0       	1.25, -8.92, 2.79 	0.04, 0.76, -6.41 	0.00, 30.00 	11,29,9,938		inf,inf	0,0 	0
0       	1.38, -8.98, 2.76 	0.04, 0.79, -6.41 	0.00, 30.00 	11,29,9,938		inf,inf	0,0 	0
0       	1.42, -8.98, 2.76 	0.09, 0.76, -6.42 	0.00, 30.00 	11,29,9,939		inf,inf	0,0 	0
0       	1.53, -9.00, 2.76 	0.09, 0.78, -6.42 	0.00, 30.00 	11,29,9,939		inf,inf	0,0 	0
0       	1.56, -8.98, 2.76 	0.14, 0.78, -6.41 	0.00, 30.00 	11,29,9,939		inf,inf	0,0 	0
0       	1.56, -8.98, 2.76 	0.13, 0.77, -6.39 	0.00, 30.00 	11,29,9,939		-nan,inf	0,0 	0
0       	1.52, -8.98, 2.77 	0.13, 0.77, -6.39 	0.00, 30.00 	11,29,9,939		inf,-nan	0,0 	0
0       	1.51, -8.99, 2.76 	0.14, 0.78, -6.40 	0.00, 30.00 	11,29,9,939		inf,inf	0,0 	0
0       	1.53, -8.99, 2.77 	0.13, 0.77, -6.40 	0.00, 30.00 	11,29,9,939		inf,inf	0,0 	0
0       	1.48, -9.00, 2.76 	0.14, 0.75, -6.39 	0.00, 30.00 	11,29,9,939		inf,inf	0,0 	0
0       	1.47, -9.00, 2.75 	0.10, 0.76, -6.39 	0.00, 30.00 	11,29,9,939		inf,inf	0,0 	0
0       	1.52, -9.02, 2.74 	0.10, 0.76, -6.39 	0.00, 30.00 	11,29,9,939		inf,-nan	0,0 	0
0       	1.56, -9.01, 2.72 	0.10, 0.76, -6.39 	0.00, 30.00 	11,29,9,939		inf,-nan	0,0 	0
0       	1.65, -9.04, 2.71 	0.10, 0.76, -6.39 	0.00, 30.00 	11,29,9,939		inf,-nan	0,0 	0
