#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-58.67, 24.10, 0.36 	-7.26, -5.11, -9.52 	0.00, 30.00 	11,43,13,411		inf,inf	0,0 	0
0       	-58.67, 24.12, 0.36 	-6.80, -5.07, -9.48 	0.00, 30.00 	11,43,13,411		inf,inf	0,0 	0
0       	-58.67, 24.12, 0.35 	-6.52, -5.11, -9.39 	0.00, 30.00 	11,43,13,411		-nan,inf	0,0 	0
0       	-58.67, 24.09, 0.35 	-6.39, -5.20, -9.29 	0.00, 30.00 	11,43,13,411		inf,inf	0,0 	0
0       	-58.67, 24.09, 0.36 	-6.30, -5.27, -9.22 	0.00, 30.00 	11,43,13,411		-nan,inf	0,0 	0
0       	-58.66, 24.10, 0.35 	-6.31, -5.31, -9.15 	0.00, 30.00 	11,43,13,411		inf,inf	0,0 	0
0       	-58.66, 24.11, 0.35 	-6.31, -5.39, -9.08 	0.00, 30.00 	11,43,13,411		inf,inf	0,0 	0
0       	-58.67, 24.12, 0.35 	-6.30, -5.46, -9.04 	0.00, 30.00 	11,43,13,411		inf,inf	0,0 	0
0       	-58.66, 24.12, 0.36 	-6.23, -5.47, -9.02 	0.00, 30.00 	11,43,13,411		inf,inf	0,0 	0
0       	-58.66, 24.12, 0.36 	-6.04, -5.44, -9.05 	0.00, 30.00 	11,43,13,411		-nan,inf	0,0 	0
0       	-58.66, 24.12, 0.36 	-5.70, -5.43, -9.05 	0.00, 30.00 	11,43,13,411		-nan,inf	0,0 	0
0       	-58.67, 24.13, 0.35 	-5.32, -5.46, -9.01 	0.00, 30.00 	11,43,13,411		inf,inf	0,0 	0
0       	-58.67, 24.09, 0.36 	-4.97, -5.49, -8.95 	0.00, 30.00 	11,43,13,411		inf,inf	0,0 	0
0       	-58.66, 24.08, 0.36 	-4.69, -5.51, -8.88 	0.00, 30.00 	11,43,13,411		inf,inf	0,0 	0
0       	-58.66, 24.08, 0.36 	-4.47, -5.57, -8.78 	0.00, 30.00 	11,43,13,411		-nan,inf	0,0 	0
0       	-58.67, 24.12, 0.35 	-4.34, -5.67, -8.70 	0.00, 30.00 	11,43,13,411		inf,inf	0,0 	0
0       	-58.66, 24.11, 0.35 	-4.26, -5.73, -8.70 	0.00, 30.00 	11,43,13,412		inf,inf	0,0 	0
0       	-58.66, 24.11, 0.36 	-4.17, -5.69, -8.77 	0.00, 30.00 	11,43,13,412		-nan,inf	0,0 	0
0       	-58.67, 24.09, 0.35 	-4.09, -5.65, -8.82 	0.00, 30.00 	11,43,13,412		inf,inf	0,0 	0
0       	-58.67, 24.12, 0.35 	-4.04, -5.65, -8.84 	0.00, 30.00 	11,43,13,412		inf,inf	0,0 	0
0       	-58.67, 24.12, 0.36 	-3.95, -5.65, -8.83 	0.00, 30.00 	11,43,13,412		-nan,inf	0,0 	0
0       	-58.66, 24.10, 0.36 	-3.84, -5.65, -8.80 	0.00, 30.00 	11,43,13,412		inf,inf	0,0 	0
0       	-58.68, 24.10, 0.36 	-3.72, -5.67, -8.76 	0.00, 30.00 	11,43,13,412		inf,inf	0,0 	0
0       	-58.68, 24.10, 0.36 	-3.64, -5.70, -8.72 	0.00, 30.00 	11,43,13,412		-nan,inf	0,0 	0
0       	-58.68, 24.09, 0.37 	-3.57, -5.72, -8.70 	0.00, 30.00 	11,43,13,412		inf,inf	0,0 	0
0       	-58.67, 24.08, 0.36 	-3.54, -5.70, -8.69 	0.00, 30.00 	11,43,13,412		inf,inf	0,0 	0
0       	-58.67, 24.09, 0.36 	-3.56, -5.67, -8.68 	0.00, 30.00 	11,43,13,412		inf,inf	0,0 	0
0       	-58.68, 24.09, 0.36 	-3.56, -5.66, -8.69 	0.00, 30.00 	11,43,13,412		inf,inf	0,0 	0
0       	-58.67, 24.09, 0.37 	-3.56, -5.66, -8.72 	0.00, 30.00 	11,43,13,412		inf,-nan	0,0 	0
0       	-58.67, 24.09, 0.36 	-3.45, -5.63, -8.75 	0.00, 30.00 	11,43,13,412		-nan,inf	0,0 	0
0       	-58.66, 24.11, 0.36 	-3.28, -5.62, -8.78 	0.00, 30.00 	11,43,13,412		inf,inf	0,0 	0
0       	-58.68, 24.11, 0.37 	-3.07, -5.58, -8.79 	0.00, 30.00 	11,43,13,412		inf,inf	0,0 	0
0       	-58.68, 24.09, 0.37 	-2.91, -5.52, -8.81 	0.00, 30.00 	11,43,13,412		inf,inf	0,0 	0
0       	-58.68, 24.08, 0.36 	-2.85, -5.49, -8.82 	0.00, 30.00 	11,43,13,412		inf,inf	0,0 	0
0       	-58.67, 24.10, 0.36 	-2.85, -5.50, -8.82 	0.00, 30.00 	11,43,13,412		inf,inf	0,0 	0
0       	-58.67, 24.09, 0.36 	-2.97, -5.59, -8.81 	0.00, 30.00 	11,43,13,413		inf,inf	0,0 	0
0       	-58.67, 24.09, 0.36 	-3.09, -5.66, -8.79 	0.00, 30.00 	11,43,13,413		-nan,inf	0,0 	0
0       	-58.67, 24.10, 0.36 	-3.14, -5.73, -8.77 	0.00, 30.00 	11,43,13,413		inf,inf	0,0 	0
0       	-58.66, 24.12, 0.36 	-3.14, -5.79, -8.75 	0.00, 30.00 	11,43,13,413		inf,inf	0,0 	0
0       	-58.66, 24.12, 0.36 	-3.08, -5.82, -8.76 	0.00, 30.00 	11,43,13,413		-nan,inf	0,0 	0
0       	-58.66, 24.12, 0.37 	-2.98, -5.80, -8.78 	0.00, 30.00 	11,43,13,413		-nan,inf	0,0 	0
0       	-58.68, 24.14, 0.36 	-2.83, -5.80, -8.84 	0.00, 30.00 	11,43,13,413		inf,inf	0,0 	0
0       	-58.69, 24.15, 0.36 	-2.66, -5.85, -8.87 	0.00, 30.00 	11,43,13,413		inf,inf	0,0 	0
0       	-58.68, 24.10, 0.37 	-2.49, -5.95, -8.88 	0.00, 30.00 	11,43,13,413		inf,inf	0,0 	0
0       	-58.67, 24.10, 0.36 	-2.35, -6.13, -8.85 	0.00, 30.00 	11,43,13,413		inf,inf	0,0 	0
0       	-58.67, 24.09, 0.36 	-2.34, -6.34, -8.78 	0.00, 30.00 	11,43,13,413		inf,inf	0,0 	0
0       	-58.67, 24.12, 0.35 	-2.47, -6.52, -8.70 	0.00, 30.00 	11,43,13,413		inf,inf	0,0 	0
0       	-58.67, 24.12, 0.35 	-2.62, -6.64, -8.66 	0.00, 30.00 	11,43,13,413		-nan,inf	0,0 	0
0       	-58.66, 24.11, 0.35 	-2.72, -6.66, -8.68 	0.00, 30.00 	11,43,13,413		inf,inf	0,0 	0
0       	-58.68, 24.10, 0.35 	-2.77, -6.65, -8.73 	0.00, 30.00 	11,43,13,413		inf,inf	0,0 	0
0       	-58.69, 24.14, 0.35 	-2.79, -6.66, -8.77 	0.00, 30.00 	11,43,13,413		inf,inf	0,0 	0
0       	-58.70, 24.14, 0.36 	-2.78, -6.63, -8.81 	0.00, 30.00 	11,43,13,413		inf,inf	0,0 	0
0       	-58.67, 24.13, 0.36 	-2.74, -6.57, -8.85 	0.00, 30.00 	11,43,13,414		inf,inf	0,0 	0
0       	-58.69, 24.13, 0.36 	-2.70, -6.56, -8.88 	0.00, 30.00 	11,43,13,414		inf,inf	0,0 	0
0       	-58.68, 24.11, 0.36 	-2.66, -6.53, -8.89 	0.00, 30.00 	11,43,13,414		inf,inf	0,0 	0
0       	-58.67, 24.10, 0.36 	-2.66, -6.54, -8.89 	0.00, 30.00 	11,43,13,414		inf,inf	0,0 	0
0       	-58.67, 24.09, 0.36 	-2.70, -6.57, -8.88 	0.00, 30.00 	11,43,13,414		inf,inf	0,0 	0
0       	-58.67, 24.09, 0.36 	-2.75, -6.60, -8.87 	0.00, 30.00 	11,43,13,414		-nan,inf	0,0 	0
0       	-58.67, 24.10, 0.36 	-2.81, -6.62, -8.86 	0.00, 30.00 	11,43,13,414		inf,inf	0,0 	0
0       	-58.66, 24.10, 0.37 	-2.87, -6.64, -8.86 	0.00, 30.00 	11,43,13,414		inf,inf	0,0 	0
0       	-58.67, 24.12, 0.37 	-2.89, -6.63, -8.86 	0.00, 30.00 	11,43,13,414		inf,inf	0,0 	0
0       	-58.68, 24.11, 0.37 	-2.90, -6.64, -8.87 	0.00, 30.00 	11,43,13,414		inf,inf	0,0 	0
0       	-58.70, 24.12, 0.37 	-2.91, -6.64, -8.88 	0.00, 30.00 	11,43,13,414		inf,inf	0,0 	0
0       	-58.67, 24.10, 0.37 	-2.91, -6.63, -8.88 	0.00, 30.00 	11,43,13,414		inf,inf	0,0 	0
0       	-58.67, 24.10, 0.37 	-2.92, -6.62, -8.88 	0.00, 30.00 	11,43,13,414		-nan,inf	0,0 	0
0       	-58.67, 24.12, 0.36 	-2.92, -6.62, -8.88 	0.00, 30.00 	11,43,13,414		inf,-nan	0,0 	0
0       	-58.68, 24.11, 0.37 	-2.94, -6.61, -8.88 	0.00, 30.00 	11,43,13,414		inf,inf	0,0 	0
0       	-58.67, 24.09, 0.36 	-2.97, -6.63, -8.87 	0.00, 30.00 	11,43,13,414		inf,inf	0,0 	0
0       	-58.66, 24.11, 0.36 	-2.99, -6.62, -8.87 	0.00, 30.00 	11,43,13,414		inf,inf	0,0 	0
0       	-58.70, 24.14, 0.36 	-3.06, -6.61, -8.87 	0.00, 30.00 	11,43,13,414		inf,inf	0,0 	0
0       	-58.69, 24.13, 0.36 	-3.14, -6.60, -8.87 	0.00, 30.00 	11,43,13,415		inf,inf	0,0 	0
0       	-58.66, 24.12, 0.36 	-3.23, -6.56, -8.89 	0.00, 30.00 	11,43,13,415		inf,inf	0,0 	0
0       	-58.70, 24.15, 0.36 	-3.29, -6.51, -8.91 	0.00, 30.00 	11,43,13,415		inf,inf	0,0 	0
0       	-58.69, 24.13, 0.36 	-3.31, -6.47, -8.93 	0.00, 30.00 	11,43,13,415		inf,inf	0,0 	0
0       	-58.69, 24.13, 0.36 	-3.32, -6.43, -8.95 	0.00, 30.00 	11,43,13,415		-nan,inf	0,0 	0
0       	-58.67, 24.10, 0.36 	-3.33, -6.40, -8.96 	0.00, 30.00 	11,43,13,415		inf,inf	0,0 	0
0       	-58.67, 24.10, 0.36 	-3.35, -6.39, -8.96 	0.00, 30.00 	11,43,13,415		-nan,inf	0,0 	0
0       	-58.66, 24.11, 0.36 	-3.42, -6.39, -8.94 	0.00, 30.00 	11,43,13,415		inf,inf	0,0 	0
0       	-58.67, 24.12, 0.36 	-3.46, -6.40, -8.94 	0.00, 30.00 	11,43,13,415		inf,inf	0,0 	0
0       	-58.66, 24.11, 0.35 	-3.54, -6.40, -8.94 	0.00, 30.00 	11,43,13,415		inf,inf	0,0 	0
0       	-58.68, 24.11, 0.36 	-3.57, -6.39, -8.94 	0.00, 30.00 	11,43,13,415		inf,inf	0,0 	0
0       	-58.67, 24.13, 0.35 	-3.61, -6.38, -8.96 	0.00, 30.00 	11,43,13,415		inf,inf	0,0 	0
0       	-58.68, 24.11, 0.36 	-3.64, -6.34, -8.97 	0.00, 30.00 	11,43,13,415		inf,inf	0,0 	0
0       	-58.68, 24.11, 0.36 	-3.65, -6.31, -8.98 	0.00, 30.00 	11,43,13,415		-nan,inf	0,0 	0
0       	-58.68, 24.11, 0.35 	-3.63, -6.29, -9.00 	0.00, 30.00 	11,43,13,415		-nan,inf	0,0 	0
0       	-58.68, 24.11, 0.36 	-3.60, -6.27, -8.99 	0.00, 30.00 	11,43,13,415		-nan,inf	0,0 	0
0       	-58.68, 24.11, 0.36 	-3.58, -6.25, -8.98 	0.00, 30.00 	11,43,13,415		-nan,inf	0,0 	0
0       	-58.68, 24.10, 0.36 	-3.63, -6.23, -8.96 	0.00, 30.00 	11,43,13,415		inf,inf	0,0 	0
0       	-58.68, 24.10, 0.35 	-3.69, -6.22, -8.93 	0.00, 30.00 	11,43,13,416		-nan,inf	0,0 	0
0       	-58.68, 24.11, 0.35 	-3.77, -6.19, -8.92 	0.00, 30.00 	11,43,13,416		inf,inf	0,0 	0
0       	-58.67, 24.12, 0.35 	-3.84, -6.15, -8.91 	0.00, 30.00 	11,43,13,416		inf,inf	0,0 	0
0       	-58.67, 24.13, 0.36 	-3.89, -6.07, -8.91 	0.00, 30.00 	11,43,13,416		inf,inf	0,0 	0
0       	-58.67, 24.13, 0.35 	-3.88, -5.99, -8.94 	0.00, 30.00 	11,43,13,416		-nan,inf	0,0 	0
0       	-58.67, 24.12, 0.35 	-3.84, -5.92, -8.95 	0.00, 30.00 	11,43,13,416		inf,inf	0,0 	0
0       	-58.68, 24.11, 0.35 	-3.83, -5.84, -8.95 	0.00, 30.00 	11,43,13,416		inf,inf	0,0 	0
0       	-58.68, 24.11, 0.35 	-3.79, -5.77, -8.94 	0.00, 30.00 	11,43,13,416		-nan,inf	0,0 	0
0       	-58.68, 24.11, 0.35 	-3.77, -5.73, -8.93 	0.00, 30.00 	11,43,13,416		-nan,inf	0,0 	0
0       	-58.68, 24.11, 0.35 	-3.77, -5.73, -8.89 	0.00, 30.00 	11,43,13,416		-nan,-nan	0,0 	0
0       	-58.68, 24.11, 0.35 	-3.82, -5.72, -8.86 	0.00, 30.00 	11,43,13,416		-nan,inf	0,0 	0
0       	-58.67, 24.12, 0.35 	-3.85, -5.71, -8.84 	0.00, 30.00 	11,43,13,416		inf,inf	0,0 	0
0       	-58.68, 24.11, 0.35 	-3.92, -5.73, -8.82 	0.00, 30.00 	11,43,13,416		inf,inf	0,0 	0
0       	-58.69, 24.13, 0.35 	-3.97, -5.73, -8.81 	0.00, 30.00 	11,43,13,416		inf,inf	0,0 	0
0       	-58.69, 24.13, 0.36 	-3.99, -5.71, -8.82 	0.00, 30.00 	11,43,13,416		-nan,inf	0,0 	0
0       	-58.70, 24.14, 0.36 	-3.98, -5.69, -8.83 	0.00, 30.00 	11,43,13,416		inf,inf	0,0 	0
0       	-58.70, 24.15, 0.35 	-3.93, -5.66, -8.85 	0.00, 30.00 	11,43,13,416		inf,inf	0,0 	0
0       	-58.70, 24.12, 0.35 	-3.90, -5.63, -8.86 	0.00, 30.00 	11,43,13,416		inf,inf	0,0 	0
0       	-58.67, 24.10, 0.35 	-3.87, -5.59, -8.88 	0.00, 30.00 	11,43,13,417		inf,inf	0,0 	0
0       	-58.68, 24.11, 0.35 	-3.87, -5.58, -8.88 	0.00, 30.00 	11,43,13,417		inf,inf	0,0 	0
0       	-58.69, 24.13, 0.35 	-3.88, -5.59, -8.86 	0.00, 30.00 	11,43,13,417		inf,inf	0,0 	0
0       	-58.69, 24.13, 0.35 	-3.90, -5.58, -8.85 	0.00, 30.00 	11,43,13,417		-nan,inf	0,0 	0
0       	-58.69, 24.13, 0.35 	-3.91, -5.59, -8.85 	0.00, 30.00 	11,43,13,417		-nan,inf	0,0 	0
0       	-58.68, 24.11, 0.35 	-3.94, -5.58, -8.85 	0.00, 30.00 	11,43,13,417		inf,inf	0,0 	0
0       	-58.68, 24.11, 0.35 	-3.94, -5.57, -8.86 	0.00, 30.00 	11,43,13,417		-nan,inf	0,0 	0
0       	-58.69, 24.13, 0.35 	-3.91, -5.54, -8.88 	0.00, 30.00 	11,43,13,417		inf,inf	0,0 	0
0       	-58.67, 24.13, 0.35 	-3.85, -5.48, -8.89 	0.00, 30.00 	11,43,13,417		inf,inf	0,0 	0
0       	-58.69, 24.14, 0.34 	-3.77, -5.39, -8.90 	0.00, 30.00 	11,43,13,417		inf,inf	0,0 	0
0       	-58.70, 24.14, 0.35 	-3.65, -5.30, -8.88 	0.00, 30.00 	11,43,13,417		inf,inf	0,0 	0
0       	-58.68, 24.10, 0.35 	-3.53, -5.18, -8.85 	0.00, 30.00 	11,43,13,417		inf,inf	0,0 	0
0       	-58.68, 24.11, 0.35 	-3.46, -5.10, -8.78 	0.00, 30.00 	11,43,13,417		inf,inf	0,0 	0
0       	-58.69, 24.13, 0.34 	-3.48, -5.06, -8.67 	0.00, 30.00 	11,43,13,417		inf,inf	0,0 	0
0       	-58.69, 24.13, 0.35 	-3.46, -5.04, -8.55 	0.00, 30.00 	11,43,13,417		-nan,inf	0,0 	0
0       	-58.67, 24.13, 0.36 	-3.37, -4.95, -8.48 	0.00, 30.00 	11,43,13,417		inf,inf	0,0 	0
0       	-58.69, 24.13, 0.36 	-3.09, -4.83, -8.42 	0.00, 30.00 	11,43,13,417		inf,inf	0,0 	0
0       	-58.70, 24.14, 0.35 	-2.68, -4.70, -8.35 	0.00, 30.00 	11,43,13,417		inf,inf	0,0 	0
0       	-58.70, 24.17, 0.36 	-2.19, -4.52, -8.28 	0.00, 30.00 	11,43,13,417		inf,inf	0,0 	0
0       	-58.69, 24.15, 0.36 	-1.87, -4.30, -8.21 	0.00, 30.00 	11,43,13,418		inf,inf	0,0 	0
0       	-58.70, 24.16, 0.35 	-1.72, -4.11, -8.13 	0.00, 30.00 	11,43,13,418		inf,inf	0,0 	0
0       	-58.70, 24.16, 0.35 	-1.62, -3.99, -8.04 	0.00, 30.00 	11,43,13,418		-nan,inf	0,0 	0
0       	-58.70, 24.16, 0.35 	-1.52, -3.88, -7.95 	0.00, 30.00 	11,43,13,418		-nan,inf	0,0 	0
0       	-58.69, 24.14, 0.36 	-1.49, -3.73, -7.90 	0.00, 30.00 	11,43,13,418		inf,inf	0,0 	0
0       	-58.69, 24.14, 0.36 	-1.52, -3.59, -7.84 	0.00, 30.00 	11,43,13,418		-nan,inf	0,0 	0
