#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-1.85, -6.66, 5.15 	-2.81, -17.62, -2.85 	0.00, 10.00 	11,32,57,349		-nan,inf	0,0 	0
0       	-1.85, -6.67, 5.14 	-2.74, -17.64, -2.81 	0.00, 10.00 	11,32,57,349		inf,inf	0,0 	0
0       	-1.86, -6.68, 5.14 	-2.70, -17.66, -2.72 	0.00, 10.00 	11,32,57,350		inf,inf	0,0 	0
0       	-1.84, -6.70, 5.14 	-2.65, -17.67, -2.66 	0.00, 10.00 	11,32,57,350		inf,inf	0,0 	0
0       	-1.83, -6.71, 5.15 	-2.66, -17.64, -2.58 	0.00, 10.00 	11,32,57,350		inf,inf	0,0 	0
0       	-1.81, -6.70, 5.14 	-2.70, -17.61, -2.49 	0.00, 10.00 	11,32,57,350		inf,inf	0,0 	0
0       	-1.82, -6.68, 5.15 	-2.78, -17.59, -2.46 	0.00, 10.00 	11,32,57,350		inf,inf	0,0 	0
0       	-1.84, -6.66, 5.14 	-2.71, -17.60, -2.46 	0.00, 10.00 	11,32,57,350		inf,inf	0,0 	0
0       	-1.82, -6.67, 5.14 	-2.62, -17.59, -2.48 	0.00, 10.00 	11,32,57,350		inf,inf	0,0 	0
0       	-1.82, -6.67, 5.15 	-2.54, -17.56, -2.54 	0.00, 10.00 	11,32,57,350		-nan,inf	0,0 	0
0       	-1.81, -6.68, 5.15 	-2.52, -17.55, -2.56 	0.00, 10.00 	11,32,57,350		inf,inf	0,0 	0
0       	-1.79, -6.69, 5.15 	-2.43, -17.52, -2.57 	0.00, 10.00 	11,32,57,350		inf,inf	0,0 	0
0       	-1.80, -6.71, 5.15 	-2.26, -17.46, -2.54 	0.00, 10.00 	11,32,57,350		inf,inf	0,0 	0
0       	-1.79, -6.70, 5.14 	-2.16, -17.35, -2.56 	0.00, 10.00 	11,32,57,350		inf,inf	0,0 	0
0       	-1.79, -6.71, 5.13 	-2.16, -17.33, -2.53 	0.00, 10.00 	11,32,57,350		inf,inf	0,0 	0
0       	-1.79, -6.69, 5.15 	-2.19, -17.30, -2.48 	0.00, 10.00 	11,32,57,350		inf,inf	0,0 	0
0       	-1.81, -6.68, 5.14 	-2.22, -17.33, -2.48 	0.00, 10.00 	11,32,57,350		inf,inf	0,0 	0
0       	-1.81, -6.67, 5.14 	-2.37, -17.37, -2.47 	0.00, 10.00 	11,32,57,350		inf,inf	0,0 	0
0       	-1.81, -6.66, 5.13 	-2.43, -17.38, -2.47 	0.00, 10.00 	11,32,57,350		inf,inf	0,0 	0
0       	-1.84, -6.66, 5.13 	-2.46, -17.40, -2.49 	0.00, 10.00 	11,32,57,350		inf,inf	0,0 	0
0       	-1.84, -6.67, 5.14 	-2.43, -17.43, -2.48 	0.00, 10.00 	11,32,57,350		inf,inf	0,0 	0
0       	-1.81, -6.67, 5.15 	-2.43, -17.45, -2.48 	0.00, 10.00 	11,32,57,350		inf,inf	0,0 	0
0       	-1.82, -6.69, 5.15 	-2.40, -17.44, -2.50 	0.00, 10.00 	11,32,57,351		inf,inf	0,0 	0
0       	-1.82, -6.69, 5.15 	-2.38, -17.42, -2.49 	0.00, 10.00 	11,32,57,351		-nan,inf	0,0 	0
0       	-1.83, -6.70, 5.14 	-2.40, -17.42, -2.47 	0.00, 10.00 	11,32,57,351		inf,inf	0,0 	0
0       	-1.82, -6.70, 5.15 	-2.48, -17.39, -2.46 	0.00, 10.00 	11,32,57,351		inf,inf	0,0 	0
0       	-1.83, -6.70, 5.14 	-2.52, -17.41, -2.43 	0.00, 10.00 	11,32,57,351		inf,inf	0,0 	0
0       	-1.82, -6.69, 5.14 	-2.66, -17.46, -2.35 	0.00, 10.00 	11,32,57,351		inf,inf	0,0 	0
0       	-1.83, -6.68, 5.14 	-2.86, -17.55, -2.23 	0.00, 10.00 	11,32,57,351		inf,inf	0,0 	0
0       	-1.83, -6.68, 5.14 	-3.08, -17.63, -2.12 	0.00, 10.00 	11,32,57,351		-nan,inf	0,0 	0
0       	-1.85, -6.67, 5.14 	-3.14, -17.67, -2.01 	0.00, 10.00 	11,32,57,351		inf,inf	0,0 	0
0       	-1.84, -6.69, 5.14 	-3.03, -17.59, -1.93 	0.00, 10.00 	11,32,57,351		inf,inf	0,0 	0
0       	-1.82, -6.69, 5.14 	-2.76, -17.39, -1.92 	0.00, 10.00 	11,32,57,351		inf,inf	0,0 	0
0       	-1.88, -6.71, 5.14 	-2.50, -17.16, -1.94 	0.00, 10.00 	11,32,57,351		inf,inf	0,0 	0
0       	-1.86, -6.71, 5.14 	-2.39, -17.03, -1.83 	0.00, 10.00 	11,32,57,351		inf,inf	0,0 	0
0       	-1.84, -6.70, 5.15 	-2.35, -16.89, -1.73 	0.00, 10.00 	11,32,57,351		inf,inf	0,0 	0
0       	-1.88, -6.71, 5.15 	-2.56, -16.77, -1.74 	0.00, 10.00 	11,32,57,351		inf,inf	0,0 	0
0       	-1.88, -6.71, 5.15 	-2.89, -16.66, -1.84 	0.00, 10.00 	11,32,57,351		-nan,inf	0,0 	0
0       	-1.89, -6.70, 5.14 	-3.13, -16.55, -1.97 	0.00, 10.00 	11,32,57,351		inf,inf	0,0 	0
0       	-1.90, -6.71, 5.14 	-3.17, -16.48, -2.10 	0.00, 10.00 	11,32,57,351		inf,inf	0,0 	0
0       	-1.90, -6.71, 5.14 	-3.04, -16.45, -2.21 	0.00, 10.00 	11,32,57,351		-nan,inf	0,0 	0
0       	-1.90, -6.71, 5.14 	-2.83, -16.43, -2.31 	0.00, 10.00 	11,32,57,351		-nan,inf	0,0 	0
0       	-1.89, -6.71, 5.14 	-2.54, -16.38, -2.35 	0.00, 10.00 	11,32,57,351		inf,inf	0,0 	0
