#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	4.01, -7.64, -14.47 	17.99, -24.68, -4.02 	0.00, 30.00 	14,7,10,771		inf,inf	0,0 	0
0       	4.02, -7.71, -14.42 	18.02, -24.69, -4.03 	0.00, 30.00 	14,7,10,771		inf,inf	0,0 	0
0       	4.19, -7.66, -14.44 	18.15, -24.74, -4.03 	0.00, 30.00 	14,7,10,771		inf,inf	0,0 	0
0       	4.19, -7.69, -14.45 	18.25, -24.75, -4.00 	0.00, 30.00 	14,7,10,771		inf,inf	0,0 	0
0       	4.28, -7.72, -14.44 	18.24, -24.85, -3.96 	0.00, 30.00 	14,7,10,772		inf,inf	0,0 	0
0       	4.38, -7.70, -14.45 	18.28, -24.92, -3.98 	0.00, 30.00 	14,7,10,772		inf,inf	0,0 	0
0       	4.41, -7.74, -14.47 	18.30, -24.84, -3.92 	0.00, 30.00 	14,7,10,772		inf,inf	0,0 	0
0       	4.40, -7.74, -14.49 	18.17, -24.83, -3.89 	0.00, 30.00 	14,7,10,772		inf,inf	0,0 	0
0       	4.44, -7.72, -14.50 	18.21, -24.83, -3.91 	0.00, 30.00 	14,7,10,772		inf,inf	0,0 	0
0       	4.46, -7.72, -14.48 	18.27, -24.82, -3.91 	0.00, 30.00 	14,7,10,772		inf,inf	0,0 	0
0       	4.54, -7.74, -14.48 	18.37, -24.81, -3.93 	0.00, 30.00 	14,7,10,772		inf,inf	0,0 	0
0       	4.55, -7.71, -14.51 	18.51, -24.88, -3.94 	0.00, 30.00 	14,7,10,772		inf,inf	0,0 	0
0       	4.54, -7.68, -14.51 	18.61, -24.91, -3.94 	0.00, 30.00 	14,7,10,772		inf,inf	0,0 	0
0       	4.54, -7.71, -14.48 	18.70, -24.91, -3.96 	0.00, 30.00 	14,7,10,772		inf,inf	0,0 	0
0       	4.49, -7.76, -14.48 	18.75, -24.91, -3.95 	0.00, 30.00 	14,7,10,772		inf,inf	0,0 	0
0       	4.56, -7.74, -14.48 	18.68, -24.93, -3.95 	0.00, 30.00 	14,7,10,772		inf,inf	0,0 	0
0       	4.54, -7.74, -14.50 	18.68, -24.97, -3.93 	0.00, 30.00 	14,7,10,772		inf,inf	0,0 	0
0       	4.47, -7.76, -14.51 	18.68, -24.94, -3.95 	0.00, 30.00 	14,7,10,772		inf,inf	0,0 	0
0       	4.53, -7.73, -14.51 	18.67, -24.93, -3.95 	0.00, 30.00 	14,7,10,772		inf,inf	0,0 	0
0       	4.49, -7.75, -14.48 	18.62, -24.93, -3.96 	0.00, 30.00 	14,7,10,772		inf,inf	0,0 	0
0       	4.50, -7.75, -14.46 	18.70, -24.92, -3.96 	0.00, 30.00 	14,7,10,772		inf,inf	0,0 	0
0       	4.49, -7.70, -14.47 	18.66, -24.91, -3.96 	0.00, 30.00 	14,7,10,773		inf,inf	0,0 	0
0       	4.44, -7.73, -14.46 	18.63, -24.94, -3.93 	0.00, 30.00 	14,7,10,773		inf,inf	0,0 	0
0       	4.47, -7.67, -14.45 	18.71, -24.91, -3.93 	0.00, 30.00 	14,7,10,773		inf,inf	0,0 	0
0       	4.49, -7.67, -14.48 	18.68, -24.93, -3.94 	0.00, 30.00 	14,7,10,773		inf,inf	0,0 	0
0       	4.45, -7.65, -14.47 	18.70, -24.88, -3.92 	0.00, 30.00 	14,7,10,773		inf,inf	0,0 	0
0       	4.46, -7.67, -14.42 	18.66, -24.86, -3.92 	0.00, 30.00 	14,7,10,773		inf,inf	0,0 	0
0       	4.44, -7.71, -14.43 	18.63, -24.90, -3.92 	0.00, 30.00 	14,7,10,773		inf,inf	0,0 	0
0       	4.40, -7.72, -14.42 	18.59, -24.88, -3.91 	0.00, 30.00 	14,7,10,773		inf,inf	0,0 	0
0       	4.40, -7.70, -14.44 	18.62, -24.83, -3.90 	0.00, 30.00 	14,7,10,773		inf,inf	0,0 	0
0       	4.41, -7.69, -14.44 	18.58, -24.85, -3.91 	0.00, 30.00 	14,7,10,773		inf,inf	0,0 	0
0       	4.39, -7.64, -14.46 	18.65, -24.85, -3.91 	0.00, 30.00 	14,7,10,773		inf,inf	0,0 	0
0       	4.42, -7.63, -14.44 	18.66, -24.85, -3.91 	0.00, 30.00 	14,7,10,773		inf,inf	0,0 	0
0       	4.44, -7.58, -14.44 	18.62, -24.87, -3.92 	0.00, 30.00 	14,7,10,773		inf,inf	0,0 	0
0       	4.46, -7.56, -14.42 	18.59, -24.87, -3.88 	0.00, 30.00 	14,7,10,773		inf,inf	0,0 	0
0       	4.52, -7.54, -14.44 	18.60, -24.86, -3.88 	0.00, 30.00 	14,7,10,773		inf,inf	0,0 	0
0       	4.45, -7.53, -14.44 	18.54, -24.85, -3.88 	0.00, 30.00 	14,7,10,773		inf,inf	0,0 	0
0       	4.37, -7.57, -14.44 	18.50, -24.81, -3.89 	0.00, 30.00 	14,7,10,773		inf,inf	0,0 	0
0       	4.32, -7.54, -14.43 	18.51, -24.81, -3.92 	0.00, 30.00 	14,7,10,774		inf,inf	0,0 	0
0       	4.29, -7.54, -14.44 	18.50, -24.79, -3.91 	0.00, 30.00 	14,7,10,774		inf,inf	0,0 	0
0       	4.16, -7.54, -14.43 	18.48, -24.79, -3.95 	0.00, 30.00 	14,7,10,774		inf,inf	0,0 	0
0       	4.12, -7.48, -14.41 	18.46, -24.81, -3.97 	0.00, 30.00 	14,7,10,774		inf,inf	0,0 	0
0       	4.07, -7.45, -14.41 	18.45, -24.80, -3.97 	0.00, 30.00 	14,7,10,774		inf,inf	0,0 	0
0       	4.04, -7.34, -14.39 	18.45, -24.78, -4.01 	0.00, 30.00 	14,7,10,774		inf,inf	0,0 	0
0       	3.88, -7.35, -14.36 	18.48, -24.77, -4.01 	0.00, 30.00 	14,7,10,774		inf,inf	0,0 	0
0       	3.79, -7.24, -14.31 	18.53, -24.77, -4.03 	0.00, 30.00 	14,7,10,774		inf,inf	0,0 	0
0       	3.68, -7.23, -14.26 	18.50, -24.81, -4.03 	0.00, 30.00 	14,7,10,774		inf,inf	0,0 	0
0       	3.57, -7.14, -14.24 	18.53, -24.79, -4.05 	0.00, 30.00 	14,7,10,774		inf,inf	0,0 	0
0       	3.45, -7.01, -14.27 	18.49, -24.79, -4.06 	0.00, 30.00 	14,7,10,774		inf,inf	0,0 	0
0       	3.43, -6.87, -14.24 	18.50, -24.79, -4.10 	0.00, 30.00 	14,7,10,774		inf,inf	0,0 	0
0       	3.40, -6.80, -14.26 	18.49, -24.81, -4.09 	0.00, 30.00 	14,7,10,774		inf,inf	0,0 	0
0       	3.40, -6.73, -14.23 	18.51, -24.83, -4.11 	0.00, 30.00 	14,7,10,774		inf,inf	0,0 	0
0       	3.38, -6.69, -14.22 	18.51, -24.86, -4.14 	0.00, 30.00 	14,7,10,774		inf,inf	0,0 	0
0       	3.32, -6.73, -14.19 	18.56, -24.83, -4.15 	0.00, 30.00 	14,7,10,774		inf,inf	0,0 	0
0       	3.27, -6.82, -14.13 	18.63, -24.82, -4.14 	0.00, 30.00 	14,7,10,774		inf,inf	0,0 	0
0       	3.25, -6.80, -14.13 	18.60, -24.82, -4.13 	0.00, 30.00 	14,7,10,775		inf,inf	0,0 	0
0       	3.26, -6.79, -14.11 	18.59, -24.80, -4.12 	0.00, 30.00 	14,7,10,775		inf,inf	0,0 	0
