#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-1.23, -0.56, -7.28 	13.42, -22.64, -5.31 	0.00, 30.00 	12,37,17,537		inf,inf	0,0 	0
0       	-1.24, -0.57, -7.28 	13.35, -22.67, -5.29 	0.00, 30.00 	12,37,17,537		inf,inf	0,0 	0
0       	-1.22, -0.58, -7.28 	13.29, -22.67, -5.29 	0.00, 30.00 	12,37,17,537		inf,inf	0,0 	0
0       	-1.23, -0.58, -7.28 	13.25, -22.71, -5.30 	0.00, 30.00 	12,37,17,537		inf,inf	0,0 	0
0       	-1.27, -0.59, -7.28 	13.24, -22.69, -5.31 	0.00, 30.00 	12,37,17,537		inf,inf	0,0 	0
0       	-1.27, -0.59, -7.28 	13.28, -22.69, -5.32 	0.00, 30.00 	12,37,17,537		-nan,inf	0,0 	0
0       	-1.27, -0.59, -7.28 	13.30, -22.67, -5.33 	0.00, 30.00 	12,37,17,537		-nan,inf	0,0 	0
0       	-1.27, -0.59, -7.28 	13.32, -22.66, -5.34 	0.00, 30.00 	12,37,17,537		-nan,inf	0,0 	0
0       	-1.24, -0.59, -7.29 	13.36, -22.66, -5.34 	0.00, 30.00 	12,37,17,537		inf,inf	0,0 	0
0       	-1.27, -0.59, -7.29 	13.39, -22.68, -5.34 	0.00, 30.00 	12,37,17,537		inf,inf	0,0 	0
0       	-1.23, -0.56, -7.29 	13.38, -22.67, -5.33 	0.00, 30.00 	12,37,17,537		inf,inf	0,0 	0
0       	-1.21, -0.57, -7.29 	13.42, -22.68, -5.33 	0.00, 30.00 	12,37,17,537		inf,inf	0,0 	0
0       	-1.24, -0.59, -7.29 	13.36, -22.67, -5.31 	0.00, 30.00 	12,37,17,537		inf,inf	0,0 	0
0       	-1.25, -0.61, -7.28 	13.37, -22.69, -5.32 	0.00, 30.00 	12,37,17,537		inf,inf	0,0 	0
0       	-1.24, -0.61, -7.28 	13.30, -22.69, -5.32 	0.00, 30.00 	12,37,17,537		inf,inf	0,0 	0
0       	-1.25, -0.61, -7.28 	13.30, -22.72, -5.31 	0.00, 30.00 	12,37,17,537		inf,inf	0,0 	0
0       	-1.24, -0.61, -7.28 	13.30, -22.70, -5.32 	0.00, 30.00 	12,37,17,537		inf,inf	0,0 	0
